"rownum","string_0","[rid]_8","[i32]_24","[rid]_40","bool_56","string_57","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_65"
0,"AltSpam","[0,1,2,3,4,5,6]","[1,200,100,1,3,20,1]",[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1
1,"Essences","[7,12,12,12,12,12,4,6]","[20,4,4,4,4,4,20,1]","[35,41,50,37]",1,"<whiteitem>{Normal} Essence craftable Item","<whiteitem>{Normal} Essence","<whiteitem>{normalen} mit Essenzen anfertigbaren Gegenstand","<whiteitem>{ノーマル} エッセンスでクラフトできるアイテム","<whiteitem>{일반} 에센스 제작 아이템","<whiteitem>{Normal} Item forjável com Essência","<whiteitem>{Обычный} предмет под ремесло с Сущностью","Objeto de fabricación de esencias <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}ที่​คราฟท์​ได้​ด้วย​เอสเซนส์","<whiteitem>{普通} 精髓工藝物品",1
2,"ChaosSpam","[8,9,4,5,10,6]","[1,200,6,20,20,1]",[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1
3,"ExaltAnnul","[8,11,4,5,10,6]","[1,100,100,5,5,1]",[],"","<whiteitem>{Normal} Item","Objet <whiteitem>{Normal}","<whiteitem>{normalen} Gegenstand","<whiteitem>{ノーマル}アイテム","<whiteitem>{일반} 아이템","<whiteitem>{Normal} Item","<whiteitem>{Обычный} предмет","Objeto <whiteitem>{normal}","ไอเทม<whiteitem>{ธรรมดา}","<whiteitem>{普通} 物品",1
4,"HardModeShieldCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[26],"","<whiteitem>{Normal} Shield","Bouclier <whiteitem>{Normal}","<whiteitem>{normalen} Schild","<whiteitem>{ノーマル}盾","<whiteitem>{일반} 방패","<whiteitem>{Normal} Escudo","<whiteitem>{Обычный} щит","Escudo <whiteitem>{normal}","โล่<whiteitem>{ธรรมดา}","<whiteitem>{普通} 盾牌",1
5,"HardModeBeltCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[21],"","<whiteitem>{Normal} Belt","Ceinture <whiteitem>{Normale}","<whiteitem>{normalen} Gürtel","<whiteitem>{ノーマル}ベルト","<whiteitem>{일반} 허리띠","<whiteitem>{Normal} Cinto","<whiteitem>{Обычный} пояс","Cinturón <whiteitem>{normal}","เข็มขัด<whiteitem>{ธรรมดา}","<whiteitem>{普通} 腰帶",1
6,"HardModeGloveCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[22],"","<whiteitem>{Normal} Gloves item","Gants <whiteitem>{Normaux}","<whiteitem>{normale} Handschuhe","<whiteitem>{ノーマル}手袋","<whiteitem>{일반} 장갑 아이템","<whiteitem>{Normal} Item Luvas","<whiteitem>{Обычные} перчатки","Guantes <whiteitem>{normales}","ไอเทมถุงมือ<whiteitem>{ธรรมดา}","<whiteitem>{普通} 手套",1
7,"HardModeBodyArmourCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[24],"","<whiteitem>{Normal} Body Armour","Armure <whiteitem>{Normale}","<whiteitem>{normale} Körperrüstung","<whiteitem>{ノーマル}鎧","<whiteitem>{일반} 갑옷","<whiteitem>{Normal} Peitoral","<whiteitem>{Обычный} нательный доспех","Armadura <whiteitem>{normal}","เสื้อเกราะ<whiteitem>{ธรรมดา}","<whiteitem>{普通} 胸甲",1
8,"HardModeHelmetCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[25],"","<whiteitem>{Normal} Helmet","Casque <whiteitem>{Normal}","<whiteitem>{normalen} Helm","<whiteitem>{ノーマル}兜","<whiteitem>{일반} 투구","<whiteitem>{Normal} Elmo","<whiteitem>{Обычный} шлем","Casco <whiteitem>{normal}","หมวก<whiteitem>{ธรรมดา}","<whiteitem>{普通} 頭盔",1
9,"HardModeRingCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[5],"","<whiteitem>{Normal} Ring","Bague <whiteitem>{Normale}","<whiteitem>{normalen} Ring","<whiteitem>{ノーマル}指輪","<whiteitem>{일반} 반지","<whiteitem>{Normal} Anel","<whiteitem>{Обычное} кольцо","Anillo <whiteitem>{normal}","แหวน<whiteitem>{ธรรมดา}","<whiteitem>{普通} 戒指",1
10,"HardModeBootsCraft","[0,1,2,3,4,11,6]","[1,20,20,1,20,20,1]",[23],"","<whiteitem>{Normal} Boots item","Bottes <whiteitem>{Normales} ","<whiteitem>{normale} Stiefel","<whiteitem>{ノーマル}靴","<whiteitem>{일반} 장화 아이템","<whiteitem>{Normal} Item Botas","<whiteitem>{Обычная} обувь","Botas <whiteitem>{normales}","ไอเทมรองเท้า<whiteitem>{ธรรมดา}","<whiteitem>{普通} 鞋子",1
