"rownum","rid_0","rid_16","i32_32"
0,16289,16289,3
1,16290,16290,3
2,16286,16286,0
3,16287,16287,0
4,16288,16288,0
5,16291,16291,0
6,16292,216,0
7,16294,6193,0
8,16297,216,1
9,16298,216,2
10,16299,216,3
11,16300,11792,1
12,16218,11792,2
13,16301,172,1
14,16302,172,2
15,16303,16045,1
16,16304,16045,2
17,16316,16213,3
18,16314,16314,1
19,16315,16315,3
20,16276,16276,4
21,16277,16277,4
22,16278,16278,4
23,16307,16307,0
24,16308,16307,1
25,16309,16307,3
26,16311,16310,1
27,16312,16310,2
28,16313,16313,3
29,16305,16305,0
30,16306,16305,3
31,16293,16293,0
32,16295,16293,2
33,16296,16293,3
34,16219,16219,4
35,16318,16339,1
36,16319,16319,0
37,16317,16317,3
38,16320,16340,3
39,16328,16328,3
40,16329,16329,2
41,16330,16330,1
42,16331,16331,2
43,16332,16332,2
44,16360,16307,2
45,16367,16367,4
46,16366,16366,4
