"rownum","Id","StoredItem","XOffset","YOffset","i32_32","i32_36","Width","Height","i32_48","bool_52","rid_53"
0,"Metadata/Items/Currency/CurrencyRefreshBarter",4041,366,571,0,4,1,1,74,1,""
1,"Metadata/Items/Currency/CurrencyRefreshDealer",4042,569,571,1,4,1,1,74,1,""
2,"Metadata/Items/Currency/CurrencyRefreshGambler",4043,168,571,2,4,1,1,74,1,""
3,"Metadata/Items/Currency/CurrencyRefreshSaga",4044,767,571,3,4,1,1,74,1,""
4,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_1",4045,118,183,0,0,1,1,74,1,0
5,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_2",4046,118,270,0,1,1,1,74,1,4
6,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_3",4047,211,183,1,0,1,2,82,1,8
7,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1_4",4048,123,365,0,2,2,2,82,1,12
8,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_1",4049,319,183,0,5,1,1,74,1,1
9,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_2",4050,319,270,0,6,1,1,74,1,5
10,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_3",4051,414,183,1,5,1,2,82,1,9
11,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2_4",4052,324,365,0,7,2,2,82,1,13
12,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_1",4053,517,183,2,0,1,1,74,1,2
13,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_2",4054,517,270,2,1,1,1,74,1,6
14,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_3",4055,613,183,3,0,1,2,82,1,10
15,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3_4",4056,523,365,2,2,2,2,82,1,14
16,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_1",4057,719,183,2,5,1,1,74,1,3
17,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_2",4058,719,270,2,6,1,1,74,1,7
18,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_3",4059,813,183,3,5,1,2,82,1,11
19,"Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4_4",4060,725,365,2,7,2,2,82,1,15
20,"Metadata/Items/Expedition/ExpeditionLogbook",4038,112,672,4,0,10,6,78,"",""
