"rownum","XOffset","YOffset","UnlockQuest","UnlockText","UnlockText (French)","UnlockText (German)","UnlockText (Japanese)","UnlockText (Korean)","UnlockText (Portuguese)","UnlockText (Russian)","UnlockText (Spanish)","UnlockText (Thai)","UnlockText (Traditional Chinese)"
0,1,0,355,"Complete a Tier 16+ Map","Terminez une Carte de palier 16+","Schließt eine Karte mit Level 16+ ab","ティア16+マップの完了","16등급 이상의 지도 완료하기","Complete um Mapa Tier 16+","Завершите карту 16+ уровня","Completar un mapa de grado 16+","ผ่านแผนที่ระดับ 16+ ด่านหนึ่ง","完成 1 張階級 16 以上的地圖"
1,2,0,356,"Defeat an Elder Guardian","Terrassez un Gardien de l'Ancien","Vernichtet einen Wächter des Ältesten","エルダーの守護者の撃破","엘더 수호자 처치하기","Derrote um Guardião do Ancião","Победите Хранителя Древнего","Derrotar a un guardián del Antiguo","สยบ องครักษ์เอลเดอร์ ตนหนึ่ง","擊敗異界尊師守護者"
2,3,0,357,"Defeat a Shaper Guardian","Terrassez un Gardien du Façonneur","Vernichtet einen Wächter des Schöpfers","シェイパーの守護者の撃破","쉐이퍼 수호자 처치하기","Derrote um Guardião do Criador","Победите Хранителя Создателя","Derrotar a un guardián del Creador","สยบ องครักษ์เชปเปอร์ ตนหนึ่ง","擊敗塑界者守護者"
3,4,0,1468,"Complete 100 Atlas Bonus Objectives","Terminez 100 Objectifs bonus de l'Atlas","Schließt 100 Atlas-Bonusziele ab","アトラスボーナス目標100完了","아틀라스 부가 목표 100개 완료하기","Complete 100 objetivos bônus do Atlas","Выполните 100 дополнительных заданий Атласа","Completar 100 objetivos bonus del Atlas","ผ่าน ภารกิจโบนัสแอตลาส 100 ภารกิจ","擊敗輿圖征服者"
4,5,0,1469,"Complete 115 Atlas Bonus Objectives","Terminez 115 Objectifs bonus de l'Atlas","Schließt 115 Atlas-Bonusziele ab","アトラスボーナス目標115完了","아틀라스 부가 목표 115개 완료하기","Complete 115 objetivos bônus do Atlas","Выполните 115 дополнительных заданий Атласа","Completar 115 objetivos bonus del Atlas","ผ่าน ภารกิจโบนัสแอตลาส 115 ภารกิจ","擊敗喚世者．賽勒斯"
5,0,1,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
6,1,1,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
7,2,1,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
8,3,1,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
9,4,1,350,"Complete the \""Call to Arms\"" quest","Terminez la quête « Un Appel aux armes »","Schließt die Quest \""Ruf zu den Waffen\"" ab","クエスト「召集令」の完了","\""소집\"" 퀘스트 완료하기","Complete a missão \""Um Chamado às Armas\""","Выполните задание \""Призыв к оружию\""","Completar la misión \""Llamada a las armas\""","ผ่านเควสต์ \""เตรียมเผชิญภัย\""","已解鎖"
