"rownum","i32_0","i32_4","i32_8","i32_12","i32_16","i32_20","rid_24","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","i32_68","i32_72","bool_76","bool_77","bool_78","i32_79","i32_83","i32_87","i32_91","i32_95","i32_99","bool_103","string_104","i32_112","bool_116","bool_117","i32_118","i32_122","bool_126"
0,1,2,20,60,10,0,4728,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
1,2,4,20,110,69,0,4729,0,56,-46,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
2,3,4,20,110,69,0,4729,0,56,-46,0,180,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
3,4,1,20,160,-80,0,4729,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,20,0,2,"","",2,1,"",0,0,""
4,5,2,20,60,10,0,4734,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
5,6,6,24,160,60,0,4734,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
6,7,6,24,160,60,0,4734,0,80,-35,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
7,8,2,20,60,20,-45,4728,90,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
8,9,2,30,165,58,-45,4729,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
9,10,2,30,165,58,-135,4729,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
10,11,2,30,165,-58,45,4729,90,58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
11,12,2,30,165,-58,135,4729,90,-58,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
12,13,6,24,100,20,-90,4734,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
13,14,6,24,100,20,-90,4734,60,20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
14,15,6,24,100,-20,90,4734,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
15,16,6,24,100,-20,90,4734,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
16,17,4,20,60,40,-45,4728,90,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
17,18,4,20,60,60,-45,4728,45,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
18,19,5,24,100,30,-45,4734,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
19,20,5,24,100,30,-45,4734,72,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
20,21,6,24,100,50,-45,4734,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
21,22,6,24,100,50,-45,4734,60,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
22,23,7,24,100,70,-45,4734,50,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
23,24,7,24,100,70,-45,4734,50,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
24,25,3,20,60,-30,90,4728,0,20,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
25,26,1,20,80,10,0,5993,0,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",2,1,"",0,0,""
26,27,1,1,8,0,0,4729,0,0,0,0,0,0,40,0,0,"",1,"",0,0,0,0,0,2,"","",4,1,"",0,0,""
27,28,2,50,120,0,0,4737,270,62,0,0,0,0,0,55,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
28,29,2,50,120,0,0,4737,270,62,0,0,90,0,0,55,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
29,30,2,50,120,0,0,4737,270,62,0,0,180,0,0,55,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
30,31,2,50,120,0,0,4737,270,62,0,0,270,0,0,55,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
31,32,1,25,50,0,0,4739,0,0,0,0,0,0,80,0,0,"","","",0,0,0,0,0,2,"","",4,1,"",0,0,""
32,33,6,25,75,-30,0,4731,0,0,12,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
33,34,2,90,60,10,0,4769,0,-20,-20,0,0,0,0,0,0,"","","",0,0,0,0,0,0,1,"",2,1,"",0,0,""
34,35,1,60,100,0,0,5993,0,-15,0,0,0,543,0,20,0,1,"","",0,0,0,0,0,0,"","",2,1,"",0,0,""
35,36,8,50,100,20,90,4738,45,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",3,1,"",0,0,""
36,37,1,50,100,0,0,"",0,0,0,0,0,0,0,0,0,1,"","",0,0,0,0,0,0,"","Metadata/Monsters/LeagueDelve/CityBosses/Objects/DelveProtoVaalCityBossBomber",2,1,"",0,0,""
37,39,3,35,70,0,30,7243,30,0,0,0,-60,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,0,""
38,40,1,60,100,0,0,7235,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,0,""
39,41,1,36,52,-15,15,7659,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
40,42,1,36,52,15,-15,7660,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
41,43,1,30,20,20,-90,7661,0,-30,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,0,""
42,44,1,30,20,-20,90,7662,0,-45,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,0,""
43,45,1,30,20,20,-90,7663,0,-60,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,0,""
44,46,1,30,20,-20,90,7664,0,-75,0,0,0,500,0,0,0,"","","",0,0,0,0,0,2,"","",2,"","",0,0,""
45,47,1,100,30,0,0,7667,0,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
46,48,4,30,100,0,0,7990,25,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",2,1,"",0,0,""
47,49,8,100,60,0,-45,7791,45,0,0,0,0,0,0,0,0,"",1,"",0,0,0,0,0,0,"","",2,1,"",0,0,""
48,50,5,50,100,0,0,4770,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
49,51,5,50,100,0,0,4770,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
50,52,5,50,100,0,0,4773,35,0,0,0,-90,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
51,53,1,20,50,0,90,8217,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,1,"",3,1,"",0,0,""
52,54,1,20,50,0,-90,8218,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,1,"",3,1,"",0,0,""
53,55,1,30,100,0,0,4773,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
54,56,5,40,25,0,0,4771,72,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,0,""
55,57,6,40,25,0,0,4772,60,-20,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",4,1,"",0,0,""
56,58,5,69,75,0,0,8465,72,-25,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",2,1,"",0,0,""
57,59,1,42,50,0,0,8465,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,"",0,0,""
58,60,1,50,50,0,-90,4774,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,0,""
59,61,1,50,50,0,90,4774,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,0,""
60,62,1,15,120,0,0,8532,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,1,0,0,""
61,63,1,20,200,0,0,4740,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,0,""
62,64,1,40,70,0,0,4741,0,0,0,0,0,0,0,10,0,"","","",0,0,0,0,0,0,"","",3,1,"",0,0,""
63,65,4,15,60,0,-90,8607,0,-30,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
64,66,4,15,60,0,90,8608,0,-40,0,-20,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
65,67,1,30,150,0,0,8617,0,35,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
66,68,1,20,70,0,0,8533,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,0,""
67,69,2,20,70,0,0,8533,180,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,"",0,0,""
68,70,1,200,20,30,-90,8551,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
69,71,1,200,20,-30,90,8552,0,-10,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
70,72,1,200,17,27,-90,8551,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,1,0,""
71,73,1,200,17,-27,90,8552,0,-20,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,1,0,""
72,74,1,200,20,30,-90,8551,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,2,0,""
73,75,1,200,20,-30,90,8552,0,-30,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,2,0,""
74,76,1,200,22,32,-90,8551,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,3,0,""
75,77,1,200,22,-32,90,8552,0,-40,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,3,0,""
76,78,1,200,20,30,-90,8551,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,4,0,""
77,79,1,200,20,-30,90,8552,0,-50,0,0,0,1500,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,4,0,""
78,80,1,40,100,30,180,8855,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
79,81,1,40,100,20,180,8856,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
80,82,1,40,100,10,180,8857,0,-50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
81,83,1,40,100,-10,0,8858,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
82,84,1,40,100,-20,0,8859,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
83,85,1,40,100,-30,0,8860,0,50,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
84,86,2,48,99,45,-90,4775,0,0,-90,0,0,1000,0,0,0,"","","",180,0,0,0,0,1,"","",4,1,"",0,0,""
85,87,3,48,99,-45,60,4775,0,20,45,0,0,1000,0,0,0,"","","",-60,0,0,0,0,1,"","",4,1,"",0,0,""
86,88,4,48,99,45,-90,4775,-90,0,0,0,0,1000,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
87,89,1,40,200,0,0,9262,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,0,"","",3,"","",0,0,""
88,90,1,40,400,0,0,4777,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
89,91,4,48,99,45,-90,4776,-90,0,0,0,0,1000,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
90,92,1,15,120,0,0,9916,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",3,1,1,0,0,""
91,93,3,20,70,0,0,8533,120,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0,0,""
92,94,4,20,70,0,0,8533,90,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,1,"","",2,1,"",0,0,""
93,95,1,30,150,0,0,10070,0,35,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",2,1,1,0,0,""
94,96,3,20,99,30,-120,4779,-120,0,0,0,0,800,0,0,0,"","","",0,0,0,0,0,1,"","",4,1,"",0,0,""
95,97,1,40,300,0,0,10166,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",12,1,"",0,0,""
96,98,1,40,300,0,0,10167,0,0,0,0,0,0,0,0,0,"","","",0,0,0,0,0,2,"","",12,1,"",0,0,""
