"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","bool_48"
0,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",57,59,44,0,1,1,72,""
1,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",58,59,143,1,1,1,72,""
2,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",59,59,246,2,1,1,72,""
3,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",60,59,348,3,1,1,72,""
4,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",61,806,143,4,1,1,72,""
5,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",62,161,143,5,1,1,72,""
6,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",63,161,246,6,1,1,72,""
7,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",64,161,348,7,1,1,72,""
8,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",65,161,450,8,1,1,72,1
9,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",66,262,245,9,1,1,72,""
10,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",67,262,348,10,1,1,72,""
11,"GenericSlot1","",432,145,11,1,1,72,""
12,"GenericSlot2","",432,247,12,1,1,72,""
13,"GenericSlot3","",432,349,13,1,1,72,""
14,"GenericSlot4","",432,452,14,1,1,72,""
15,"Metadata/Items/Currency/CurrencyAfflictionShard",210,306,67,15,1,1,72,""
16,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",2906,561,67,16,1,1,72,""
17,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",68,605,246,17,1,1,72,""
18,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",69,605,348,18,1,1,72,""
19,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",70,705,143,19,1,1,72,""
20,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",71,705,246,20,1,1,72,""
21,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",72,705,450,21,1,1,72,1
22,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",73,705,348,22,1,1,72,""
23,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",75,806,44,23,1,1,72,""
24,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",76,59,450,24,1,1,72,1
25,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",77,806,246,25,1,1,72,""
26,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",79,806,450,26,1,1,72,1
27,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",78,806,348,27,1,1,72,""
28,"DeliriousMapsSlots","",55,567,28,60,1,53,""
