"rownum","WorldAreasKey","ItemVisualIdentityKey","bool_32","Tier","i32_37","i32_41","bool_45"
0,1092,8469,"",12,1,5,""
1,1093,8322,"",14,1,5,""
2,1094,8336,"",5,6,10,""
3,1095,8335,"",2,6,10,""
4,1268,8381,"",11,1,5,""
5,1096,8459,"",15,1,5,""
6,1097,8461,"",0,1,5,""
7,1098,8320,"",8,1,5,""
8,1099,8326,"",0,1,5,""
9,1100,8327,"",2,1,5,""
10,1101,8330,"",3,1,5,""
11,1102,8467,"",0,6,10,""
12,1103,8453,"",3,1,5,""
13,1104,8424,"",3,1,5,""
14,1105,8396,"",0,1,5,""
15,1106,8417,"",10,6,10,""
16,1107,8341,"",0,1,5,""
17,1108,8390,"",11,6,10,""
18,1109,8340,"",10,1,5,""
19,1110,8363,"",4,6,10,""
20,1111,8317,"",13,1,5,""
21,1112,8464,"",8,6,10,""
22,1113,8460,"",4,1,5,""
23,1114,8465,"",12,11,15,""
24,1115,8356,"",3,1,5,""
25,1116,10071,"",3,0,0,""
26,1117,8395,"",7,6,10,""
27,1119,8329,"",11,1,5,""
28,1120,8412,"",13,6,10,""
29,1121,8425,"",0,1,5,""
30,1122,8411,"",16,11,15,""
31,1123,8349,"",0,11,15,""
32,1263,8400,"",0,1,5,""
33,1265,8394,"",0,1,5,""
34,1266,8421,"",11,1,5,""
35,1267,8416,"",0,1,5,""
36,1269,8345,"",8,1,5,""
37,1270,8353,"",7,1,5,""
38,1124,8463,"",0,6,10,""
39,1125,8458,"",10,1,5,""
40,1126,8450,"",9,1,5,""
41,1127,8419,"",14,1,5,""
42,1128,12820,"",14,0,0,1
43,1129,8328,"",7,1,5,""
44,1130,8331,"",9,6,10,""
45,1131,8358,"",5,6,10,""
46,1132,8406,"",0,6,10,""
47,1133,8347,"",9,6,10,""
48,1134,8371,"",0,1,5,""
49,1135,8451,"",4,1,5,""
50,1136,8457,"",5,1,5,""
51,1137,8321,"",8,1,5,""
52,1138,8337,"",0,11,15,""
53,1139,8333,"",15,6,10,""
54,1140,8357,"",0,1,5,""
55,1141,8359,"",0,1,5,""
