"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DDSFile","i32_24"
0,"Default_Foil","","","","","","","","","","","",0
1,"TealPurple","Amethyst","Améthyste","Amethystfarben","アメジスト","자수정","Ametista","Аметистовый","Amatista","ม่วงแอเมทิสต์","紫晶","Art/2DArt/Lookup/Gradients/TealPurple.dds",1
2,"Green","Verdant","Verdoyant","Grün","ヴァーダント","에메랄드","Verdejante","Зелёный","Verde","เขียวขจี","翠綠","Art/2DArt/Lookup/Gradients/Emerald.dds",1
3,"Pink","Ruby","Rubis","Rubinrot","ルビー","루비","Rubi","Рубиновый","Rubí","แดงทับทิม","紅玉","Art/2DArt/Lookup/Gradients/Pink.dds",1
4,"OceanBlue","Cobalt","Cobalt","Kobaltblau","コバルト","코발트","Cobalto","Кобальтовый","Cobalto","น้ำเงินโคบอลต์","鈷藍","Art/2DArt/Lookup/Gradients/OceanBlue.dds",1
5,"Sunset","Sunset","Soleil couchant","Sonnenuntergang","サンセット","노을빛","Por do Sol","Закатный","Atardecer","แสดตะวันตกดิน","日落","Art/2DArt/Lookup/Gradients/Sunrise.dds",1
6,"Gold","Aureate","Doré","Golden","オーリエイト","금빛","Áureo","Золотой","Dorado","ทองดั่งทองคำ","金光","Art/2DArt/Lookup/Gradients/Golden.dds",1
7,"Galaxy_1","Celestial Quartz","Quartz céleste","Himmlischer Quarz","天体の水晶","천공의 석영","Quartzo Celestial","Небесный кварцевый","Cuarzo celestial","ขาวควอตซ์ห้วงอวกาศ","眾星．石英","Art/2DArt/Lookup/Gradients/Two_01.dds",2
8,"Galaxy_2","Celestial Ruby","Rubis céleste","Himmlischer Rubin","天体の紅玉","천공의 루비","Rubi Celestial","Небесный рубиновый","Rubí celestial","แดงทับทิมห้วงอวกาศ","眾星．紅玉","Art/2DArt/Lookup/Gradients/Two_02.dds",2
9,"Galaxy_3","Celestial Emerald","Émeraude céleste","Himmlischer Smaragd","天体の翠玉","천공의 에메랄드","Esperalda Celestial","Небесный изумрудный","Esmeralda celestial","เขียวมรกตห้วงอวกาศ","眾星．翠綠","Art/2DArt/Lookup/Gradients/Two_03.dds",2
10,"Galaxy_4","Celestial Aureate","Doré céleste","Himmlisches Gold","天体の金色","천공의 금빛","Áureo Celestial","Небесный золотой","Dorado celestial","ทองดั่งทองคำห้วงอวกาศ","眾星．金光","Art/2DArt/Lookup/Gradients/Two_04.dds",2
11,"Galaxy_5","Celestial Pearl","Perle céleste","Himmlische Perle","天体の真珠","천공의 진주","Pérola Celestial","Небесный жемчужный","Perla celestial","ขาวไข่มุกห้วงอวกาศ","眾星．珍珠","Art/2DArt/Lookup/Gradients/Two_05.dds",2
12,"Galaxy_6","Celestial Amethyst","Améthyste céleste","Himmlischer Amethyst","天体の紫水晶","천공의 자수정","Ametista Celestial","Небесный аметистовый","Amatista celestial","ม่วงแอเมทิสต์ทับทิมห้วงอวกาศ","眾星．紫晶","Art/2DArt/Lookup/Gradients/Two_06.dds",2
