"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","rid","i32","[i32]","bool","bool","i32","bool"
0,"SkillGemTutorial","",58,"",0,[],11,100,[],"",1,0,1
1,"LifeFlaskTutorial","",58,"",0,[],22,100,[],"",1,0,1
2,"ManaFlaskTutorial","",58,"",0,[],220,100,[],"",1,0,1
3,"SupportGemTutorial","",58,"",0,[],219,100,[],"",1,0,1
4,"PassivePointTutorial","",58,"",0,[],281,100,[],"",1,0,1
5,"SecondPassivePointTutorial","",58,"",0,[],369,100,[],"",1,0,1
6,"StashTutorial","",58,"",0,[],432,100,[],"",1,0,1
7,"OverlapMapTutorial","",58,"",0,[],433,100,[],"",1,0,1
8,"AttackInPlaceTutorial","",58,"",0,[],894,100,[],"",1,0,1
9,"WaypointTutorial","",58,"",0,[],112,100,[],"",1,0,1
10,"ItemComparisonTutorial","",58,"",0,[],91,100,[],"",1,0,1
11,"WisdomScrollTutorial","",58,"",0,[],370,100,[],"",1,0,""
12,"GemLevelUpTutorial","",58,"",0,[],371,100,[],"",1,0,1
13,"PortalScrollTutorial","",58,"",0,[],1862,100,[],"",1,0,1
14,"ReturnToCoastTutorial","",58,"",0,[],1863,100,[],"",1,0,1
15,"ShopOrCosmeticsTabOpened","",58,"",0,[],1784,100,[],"",1,0,1
16,"XboxDelveBindingTutorial","",58,"",0,[],2027,100,[],"",1,0,1
17,"AllTutorials","",58,"",0,[],368,100,[],"",1,0,1
18,"WatchstoneTutorial","",58,"",0,[],1880,100,[],"",1,0,1
19,"Example","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",62,"",0,[],"",100,[],"",1,0,1
20,"LongText","Metadata/UI/InGameState/Tutorials/longtext.ui",111,"",0,[],"",100,[],"",1,0,1
21,"DisabledTutorialExample","Metadata/UI/InGameState/Tutorials/fplaceholder.ui",94,"",0,[],"",100,[],"",1,0,1
22,"HeapsOfPictures","Metadata/UI/InGameState/Tutorials/heapsofpictures.ui",170,"",0,[],"",100,[],"",1,0,1
23,"HelpPanelIntro","Metadata/UI/InGameState/TutorialPanel/TheHelpPanel.ui",3629,1,2,[2890],1761,3,[],"",1,0,1
24,"SkillGemBasics","Metadata/UI/InGameState/TutorialPanel/SkillGemBasics.ui",3058,1,2,[2890],1719,3,[],"","",0,1
25,"SupportGemRequirements","Metadata/UI/InGameState/TutorialPanel/SupportGems.ui",3034,1,2,[2890],1720,3,[],"","",0,1
26,"PassiveTree","Metadata/UI/InGameState/TutorialPanel/PassiveSkillTree.ui",3067,1,2,[2890],1721,4,[],"","",0,1
27,"Rarities","Metadata/UI/InGameState/TutorialPanel/Rarity.ui",3027,1,2,[2893],1722,4,[],"","",0,1
28,"StatsAndMods1","Metadata/UI/InGameState/TutorialPanel/StatsAndModsCalculations.ui",3028,1,2,[2893],1723,6,[],"","",0,1
29,"StatsAndMods2","Metadata/UI/InGameState/TutorialPanel/StatsAndModsWhatsImportant.ui",3029,1,2,[1723],1724,10,[],"","",0,1
30,"Flasks","Metadata/UI/InGameState/TutorialPanel/Flasks.ui",3136,1,2,[2890],1726,10,[],"",1,0,1
31,"Stash","Metadata/UI/InGameState/TutorialPanel/Stash.ui",3031,1,3,[2890],1725,7,[],"","",0,1
32,"Navigation","Metadata/UI/InGameState/TutorialPanel/Navigation.ui",3032,1,3,[1771],1727,7,[],"",1,0,1
33,"StatusAilments","Metadata/UI/InGameState/TutorialPanel/StatusAilments.ui",3030,1,3,[1772],1728,10,[],"","",0,1
34,"Strongboxes","Metadata/UI/InGameState/TutorialPanel/Strongboxes.ui",3133,1,2,[1785],1756,25,[],"",1,0,1
35,"CraftingAndCurrency","Metadata/UI/InGameState/TutorialPanel/CraftingAndCurrency.ui",3035,1,3,[1774],1731,10,[],"","",0,1
36,"AurasAndHeralds","Metadata/UI/InGameState/TutorialPanel/AurasAndHeralds.ui",3038,1,10,"[3641,0]",1733,20,[],"",1,0,1
37,"Jewels","Metadata/UI/InGameState/TutorialPanel/Jewels.ui",3039,1,5,[1776],1734,90,[],"",1,0,1
38,"Essences","Metadata/UI/InGameState/TutorialPanel/Essences.ui",3745,1,2,[1938],1939,90,[],"",1,0,1
39,"ForsakenMasters","Metadata/UI/InGameState/TutorialPanel/ForsakenMasters.ui",3040,"",3,[3641],1735,25,[],"",1,0,1
40,"Hideouts","Metadata/UI/InGameState/TutorialPanel/Hideouts.ui",3041,"",13,[3641],1736,43,[200],"",1,0,1
41,"TheLabyrinth","Metadata/UI/InGameState/TutorialPanel/Labyrinth.ui",3100,"",7,[938],1738,28,[],"",1,0,1
42,"Ascendancies","Metadata/UI/InGameState/TutorialPanel/Ascendancies.ui",3043,1,20,[900],1739,45,[],"",1,0,1
43,"Delve","Metadata/UI/InGameState/TutorialPanel/Delve.ui",4259,"",25,[],2024,90,[9],"",1,0,1
