"rownum","Id","string"
0,"life","Life"
1,"mana","Mana"
2,"energy","Energy"
3,"strength","Strength"
4,"dexterity","Dexterity"
5,"intelligence","Intelligence"
6,"accuracy","Accuracy"
7,"speed","Speed"
8,"movement","Movement"
9,"block","Block"
10,"resistance","Resistance"
11,"armour","Armour"
12,"shield","Shield"
13,"evasion","Evasion"
14,"two","Two"
15,"dual","Dual"
16,"melee","Melee"
17,"spell","Spell"
18,"attack","Attack"
19,"cast","Cast"
20,"damage","Damage"
21,"staff","Staff"
22,"sword","Sword"
23,"mace","Mace"
24,"axe","Axe"
25,"wand","Wand"
26,"dagger","Dagger"
27,"claw","Claw"
28,"minion","Minion"
29,"bow","Bow"
30,"spear","Spear"
31,"flask","Flask"
32,"jewel","Jewel"
33,"physical","Physical"
34,"elemental","Elemental"
35,"area","Area"
36,"critical","Critical"
37,"poison","Poison"
38,"projectile","Projectile"
39,"curse","Curse"
40,"ailment","Ailment"
41,"regeneration","Regeneration"
42,"leech","Leech"
43,"power","Power"
44,"frenzy","Frenzy"
45,"maim","Maim"
46,"stun","Stun"
47,"bleed","Bleed"
48,"shock","Shock"
49,"freeze","Freeze"
50,"chill","Chill"
51,"impale","Impale"
52,"ignite","Ignite"
53,"fire","Fire"
54,"cold","Cold"
55,"chaos","Chaos"
56,"lightning","Lightning"
57,"totem","Totem"
58,"aura","Aura"
59,"trap","Trap"
60,"mine","Mine"
61,"herald","Herald"
62,"summon","Summon"
63,"warcry","Warcry"
64,"reocup","Recoup"
65,"endurance","Endurance"
66,"wither","Wither"
67,"crossbow","Crossbow"
68,"flail","Flail"
69,"spirit","Spirit"
70,"wielding","Wielding"
71,"handed","Handed"
72,"charge","Charge"
73,"penetrates","Penetrates"
74,"chance","Chance"
75,"duration","Duration"
76,"maximum","Maximum"
77,"over","Over"
78,"time","Time"
79,"skill","Skill"
80,"effect","Effect"
81,"multiplier","Multiplier"
82,"additional","Additional"
83,"supress","Supress"
84,"cooldown","Cooldown"
85,"recover","Recover"
86,"slower","Slower"
87,"faster","Faster"
