"rownum","rid","[rid]","[rid]","[rid]","[rid]","i32","[string]"
0,17453,[],[],[1960],[],3,[]
1,9397,[],[],[1143],[],3,[]
2,9396,[],[],[1142],[],3,[]
3,3970,[],[],[575],[],3,[]
4,4009,[],[],[577],[],3,[]
5,12600,[],[],[1457],[],3,[]
6,10184,[],[],[871],[],3,[]
7,17052,[2547],[],[],[],3,[]
8,17517,[],[],[],"[563,564]",3,[]
9,17675,[3543],[],[],[],3,[]
10,17860,[],[],[1982],[],3,[]
11,18625,[8192],[],[],[],3,[]
12,18950,[],[],[],[],3,"[""\r""]"
13,20110,[8735],[],[],[],3,[]
14,20378,[8773],[],[],[],3,[]
15,20669,[],[],[2246],[],3,[]
16,20810,[8774],[],[],[],3,[]
