"rownum","BaseItemType","HASH32","i32","i32","[i32]","i32","MonsterMod","bool","CraftTag"
0,53,606369470,1,100,[3435],500,3427,"",316
1,54,1860412592,1,100,[3435],500,3428,"",323
2,55,3614522244,1,100,[3435],500,3429,"",317
3,56,371926669,1,100,[3435],250,3430,"",313
4,57,2825035247,1,100,[3435],300,3423,"",309
5,58,558387611,1,100,[3435],300,3424,"",310
6,59,4217435183,1,100,[3435],300,3425,"",311
7,60,3288707393,1,100,[3435],150,3431,"",312
8,61,3519825351,1,100,[3435],200,3432,"",319
9,62,2208274413,1,100,[3435],200,3433,"",34
10,63,1505875072,1,100,[3435],100,3426,"",324
11,64,2438800725,1,100,[3435],400,3434,"",581
12,65,3073452723,1,100,[3448],10,3440,"",316
13,66,394938549,1,100,[3448],10,3441,"",323
14,67,2074231179,1,100,[3448],10,3442,"",317
15,68,577438355,1,100,[3448],5,3443,"",313
16,69,4172909234,1,100,[3448],6,3436,"",309
17,70,3587074643,1,100,[3448],6,3437,"",310
18,71,1764598813,1,100,[3448],6,3438,"",311
19,72,3691047882,1,100,[3448],3,3444,"",312
20,73,122023020,1,100,[3448],4,3445,"",319
21,74,3406251003,1,100,[3448],4,3446,"",34
22,75,890988114,1,100,[3448],2,3439,"",324
23,76,1170564337,1,100,[3448],8,3447,"",581
