"rownum","string","[string]","string","[string]","rid"
0,"BasicArrow","[""Metadata/Items/Quivers/Arrow3.ao""]","Metadata/Items/Quivers/Arrow3.ao","[""Metadata/Items/Quivers/Arrow3.ao""]",7924
1,"BasicBolt","[""Metadata/Items/Weapons/TwoHandWeapons/Crossbows/Ammo/Bolt01.ao""]","Metadata/Items/Weapons/TwoHandWeapons/Crossbows/Ammo/Bolt01.ao","[""Metadata/Items/Weapons/TwoHandWeapons/Crossbows/Ammo/Bolt01.ao""]",""
2,"BurstShot","[""Metadata/Effects/Spells/crossbow_basic/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_basic/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_basic/burst_shard.ao""]",""
3,"BurstShotIncendiary","[""Metadata/Effects/Spells/crossbow_incendiary/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_incendiary/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_incendiary/burst_shard.ao""]",""
4,"BurstShotArmourPiercing","[""Metadata/Effects/Spells/crossbow_armour_piercing/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_armour_piercing/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_armour_piercing/burst_shard.ao""]",""
5,"BurstShotPermafrost","[""Metadata/Effects/Spells/crossbow_permafrost/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_permafrost/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_permafrost/burst_shard.ao""]",""
6,"BurstShotStormblast","[""Metadata/Effects/Spells/crossbow_stormblast/burst_shard.ao""]","Metadata/Effects/Spells/crossbow_stormblast/burst_shard.ao","[""Metadata/Effects/Spells/crossbow_stormblast/burst_shard.ao""]",""
7,"FourQuiver1Arrow","[""Metadata/Items/Quivers/QuiversFour/BroadheadQuiver/BroadheadQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/BroadheadQuiver/BroadheadQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/BroadheadQuiver/BroadheadQuiverArrowFlying.ao""]",14282
8,"FourQuiver2Arrow","[""Metadata/Items/Quivers/QuiversFour/FireQuiver/FireQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/FireQuiver/FireQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/FireQuiver/FireQuiverArrowFlying.ao""]",14283
9,"FourQuiver3Arrow","[""Metadata/Items/Quivers/QuiversFour/SacralQuiver/SacralQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/SacralQuiver/SacralQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/SacralQuiver/SacralQuiverArrowFlying.ao""]",14284
10,"FourQuiver4Arrow","[""Metadata/Items/Quivers/QuiversFour/TwoPointQuiver/TwoPointQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/TwoPointQuiver/TwoPointQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/TwoPointQuiver/TwoPointQuiverArrowFlying.ao""]",14285
11,"FourQuiver5Arrow","[""Metadata/Items/Quivers/QuiversFour/BluntQuiver/BluntQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/BluntQuiver/BluntQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/BluntQuiver/BluntQuiverArrowFlying.ao""]",14286
12,"FourQuiver6Arrow","[""Metadata/Items/Quivers/QuiversFour/ToxicQuiver/ToxicQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/ToxicQuiver/ToxicQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/ToxicQuiver/ToxicQuiverArrowFlying.ao""]",14287
13,"FourQuiver7Arrow","[""Metadata/Items/Quivers/QuiversFour/SerratedQuiver/SerratedQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/SerratedQuiver/SerratedQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/SerratedQuiver/SerratedQuiverArrowFlying.ao""]",14288
14,"FourQuiver8Arrow","[""Metadata/Items/Quivers/QuiversFour/PrimedQuiver/PrimedQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/PrimedQuiver/PrimedQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/PrimedQuiver/PrimedQuiverArrowFlying.ao""]",14289
15,"FourQuiver9Arrow","[""Metadata/Items/Quivers/QuiversFour/PenetratingQuiver/PenetratingQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/PenetratingQuiver/PenetratingQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/PenetratingQuiver/PenetratingQuiverArrowFlying.ao""]",14290
16,"FourQuiver10Arrow","[""Metadata/Items/Quivers/QuiversFour/VolantQuiver/VolantQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/VolantQuiver/VolantQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/VolantQuiver/VolantQuiverArrowFlying.ao""]",14291
17,"FourQuiver11Arrow","[""Metadata/Items/Quivers/QuiversFour/VisceralQuiver/VisceralQuiverArrowFlying.ao""]","Metadata/Items/Quivers/QuiversFour/VisceralQuiver/VisceralQuiverArrowFlying.ao","[""Metadata/Items/Quivers/QuiversFour/VisceralQuiver/VisceralQuiverArrowFlying.ao""]",14292
