"rownum","BaseItemTypesKey","bool","[rid]"
0,17,"",[]
1,0,"",[]
2,3,"",[]
3,11,"",[]
4,18,"",[]
5,30,"",[]
6,31,"",[]
7,32,"",[]
8,33,"",[]
9,110,"",[]
10,111,"",[]
11,112,"",[]
12,113,"",[]
13,114,"",[]
14,115,"",[]
15,116,"",[]
16,117,"",[]
17,118,"",[]
18,119,"",[]
19,12,"",[]
20,13,"",[]
21,8,"",[]
22,9,"",[]
23,21,"",[]
24,22,"",[]
25,10,1,[]
26,14,1,[]
27,28,1,[]
28,43,1,[]
29,20,1,[]
30,23,"",[]
31,444,1,[]
32,103,1,[]
33,411,1,[]
34,412,1,[]
35,413,1,[]
36,414,1,[]
37,415,1,[]
38,416,1,[]
39,417,1,[]
40,99,1,[373]
41,100,1,[373]
42,96,1,[373]
43,97,1,[373]
44,98,1,[373]
