"rownum","Id","UnavailablePin","AvailablePin","ActivePin","FailedPin","CompletePin"
0,"DefaultMap",8639,8640,8641,8640,8643
1,"DefaultTower",8644,8645,8646,8645,8648
2,"BaseCamp",8649,8649,8649,8649,8649
3,"CorruptedMap",8655,8656,8657,8656,8659
4,"CorruptedTower",8660,8661,8662,8661,8664
5,"UniqueMap",8639,8640,8641,8642,8643
6,"CorruptedUniqueMap",8655,8656,8657,8658,8659
7,"IronCitadel",8677,8666,8667,8668,8669
8,"CorruptedIronCitadel",8678,8671,8672,8673,8674
9,"CopperCitadel",8675,8666,8667,8668,8669
10,"CorruptedCopperCitadel",8676,8671,8672,8673,8674
11,"StoneCitadel",8679,8666,8667,8668,8669
12,"CorruptedStoneCitadel",8680,8671,8672,8673,8674
