"rownum","string","[rid]","bool","i32","[rid]","bool","i32","rid","bool","[rid]","i32","bool","[rid]","i32","rid","rid","i32","i32"
0,"IsNormal",[],"",1,[],"",1,0,"",[],0,"",[],1,"","",0,0
1,"IsMagic",[],"",1,[],"",1,1,"",[],0,"",[],1,"","",0,0
2,"IsRare",[],"",1,[],"",1,2,"",[],0,"",[],1,"","",0,0
3,"IsUnique",[],"",1,[],"",1,3,"",[],0,"",[],1,"","",0,0
4,"IsHarbinger",[],"",1,[6067],"",1,"","",[],0,"",[],1,"","",0,0
5,"IsRogueExile",[],"",1,[8405],"",1,"","",[],0,"",[],1,"","",0,0
6,"IsInvasionBoss",[],"",1,[3393],"",1,"","",[],0,"",[],1,"","",0,0
7,"IsMapBoss",[],"",1,[854],"",0,"",1,[],0,"",[],1,"","",0,0
8,"RhoaFullyEnraged",[695],"",3,[],"",1,"","",[],0,"",[],1,"","",0,0
9,"HasSoulEaterX30",[285],"",30,[],"",1,"","",[],0,"",[],1,"","",0,0
10,"HasNoLightningShield",[713],"",0,[],"",1,"","",[],0,"",[],1,"","",0,0
11,"Has4Totems",[],"",1,[3275],"",4,"","",[],0,"",[],1,"","",0,0
12,"HasDuetEnrage",[463],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
13,"IsPossessed",[],"",1,[2545],"",1,"","",[],0,"",[],1,"","",0,0
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,"","",[7231],0,"",[],1,"","",0,1
15,"IsBeyondBoss",[],"",1,[5510],"",1,"","",[],0,"",[],1,"","",0,0
16,"IsBreachMonster",[],"",1,[4965],"",1,"","",[],0,"",[],1,"","",0,0
17,"HasOnslaught",[],"",1,[16580],"",1,"","",[],0,"",[],1,"","",0,0
18,"IsPossessedByBootlegger",[],"",1,[2545],"",1,"","",[7159],0,"",[],1,"","",0,1
19,"IsPossessedByBuccaneer",[],"",1,[2545],"",1,"","",[7162],0,"",[],1,"","",0,1
20,"IsCursed",[],"",1,[700],"",1,"","",[],0,"",[],1,"","",0,0
21,"HasEssence",[],"",1,[],"",1,"","",[],1,"",[],1,"","",0,0
22,"HasEssenceX3",[],"",1,[],"",1,"","",[],3,"",[],1,"","",0,0
23,"HasEssenceX5",[],"",1,[],"",1,"","",[],5,"",[],1,"","",0,0
24,"HasEssenceX8",[],"",1,[],"",1,"","",[],8,"",[],1,"","",0,0
25,"HasTalisman",[],"",1,[],"",1,"","",[],0,1,[],1,"","",0,0
26,"IsPantingOrDancing",[],"",1,[],"",1,"","",[],0,"","[104,82]",1,"","",0,0
27,"HasIceTotemsX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
28,"HasIceMinionsX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
29,"HasBloodRavensX3",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
30,"HasFireSkelliesX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
31,"IsEnraged",[620],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
32,"IsScreeching",[],"",1,[],"",1,"","",[],0,"",[],1,303,"",0,0
33,"HasHotdogsX10",[],"",1,[],"",1,"","",[],0,"",[],10,"",270,0,0
34,"IsOnFullEnergyShield",[],"",1,[2307],"",1,"","",[],0,"",[],1,"","",0,0
35,"IsInAfflictionMist",[],"",1,[11151],"",1,"","",[],0,"",[],1,"","",0,0
36,"IsBleeding",[],"",1,[1992],"",1,"","",[],0,"",[],1,"","",0,0
37,"HasImmortalCall",[],"",1,[697],"",1,"","",[],0,"",[],1,"","",0,0
38,"CastingScorchingRay",[],"",1,[],"",1,"","",[],0,"",[],1,253,"",0,0
39,"IsMavenBuffed",[],"",1,[],"",1,"","",[11733],0,"",[],1,"","",0,1
40,"IsUsingWolfBarrage",[],"",1,[],"",1,"","",[],0,"",[],1,234,"",0,0
41,"IsTaunted",[],"",1,[3295],"",1,"","",[],0,"",[],1,"","",0,0
42,"HasMoltenShell",[130],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
43,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,"","",[],0,"",[57],1,"","",0,0
44,"HasVolatileSurge",[713],"",1,[],"",1,"","",[],0,"",[],1,"","",0,0
45,"IsTaggedBySentinel",[],"",1,[15386],"",1,"","",[],0,"",[],1,"","",0,0
46,"IsTaggedBySentinelUnique",[],"",1,[15508],"",1,"","",[],0,"",[],1,"","",0,0
47,"EssenceWith4Affixes",[],"",1,[],"",1,"","",[],1,"",[],1,"","",4,0
48,"HasAffixesX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",4,0
49,"HasSpecialEssences",[],"",1,[],"",1,"","",[8622],0,"",[],1,"","",0,1
50,"IsChilled",[],"",1,[1763],"",1,"","",[],0,"",[],1,"","",0,0
51,"HasEmpowerment50",[],"",1,[15568],"",50,"","",[],0,"",[],1,"","",0,0
52,"HasAffixesX5",[],"",1,[],"",1,"","",[],0,"",[],1,"","",5,0
53,"HasEssenceX6",[],"",1,[],"",1,"","",[],6,"",[],1,"","",0,0
54,"IsHarvestTier3OrAbove",[],"",1,[17893],"",3,"","",[],0,"",[],1,"","",0,0
