"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCAudios1","NPCAudios2","HASH16","row","Portrait","DialogueStyle","rid","string","bool","string","rid"
0,"Metadata/NPC/Oba","Oba","Metadata/NPC/NPC","","","",0,[],[],8075,"","","","","M",1,"",""
1,"Metadata/NPC/Missions/Wild/Fish","Krillson, Master Fisherman","Metadata/NPC/NPC",4626,"","Krillson",0,[],[],-2457,"","","","","M",1,"",""
2,"Metadata/NPC/Rigwald","Rigwald","Metadata/NPC/NPC","","","",0,[],[],-16610,"","","","","M",1,"",""
3,"Metadata/NPC/Info/RigwaldGlyph1","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,[],[],10751,"","","","","",1,"",""
4,"Metadata/NPC/Info/RigwaldGlyph2","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,[],[],-29519,"","","","","",1,"",""
5,"Metadata/NPC/Info/RigwaldGlyph3","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,[],[],-10413,"","","","","",1,"",""
6,"Metadata/NPC/Info/RigwaldGlyph4","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,[],[],-3791,"","","","","",1,"",""
7,"Metadata/NPC/Info/RigwaldGlyph5","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,[],[],-18753,"","","","","",1,"",""
8,"Metadata/NPC/Info/RigwaldGlyph6","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,[],[],4555,"","","","","",1,"",""
9,"Metadata/NPC/League/Perandus/Cadiro","Cadiro Perandus","Metadata/NPC/NPC","","","Cadiro",0,[55],[56],3122,"","","",0,"M",1,"",27
10,"Metadata/NPC/League/Prophecy/Navali","Navali","Metadata/NPC/NPC","","","",-1,[57],[58],2831,"","","","","F",1,"",""
11,"Metadata/NPC/League/Prophecy/ProphecyDarkTome","Dark Tome","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],30638,"","","","","",1,"",""
12,"Metadata/NPC/RigwaldMap","The Cursed King","Metadata/NPC/NPC","","","",0,[],[],-6653,"","","","","M",1,"",""
13,"Metadata/NPC/RigwaldMapSimplified","Lycius, Midnight's Howl","Metadata/NPC/NPC","","","",0,[],[],1246,"","","","","M",1,"",""
14,"Metadata/NPC/League/Prophecy/NavaliWild","Navali","Metadata/NPC/NPC","","","",1,[57],[58],-21016,"","","","","F",1,"",""
