"rownum","Id","LimitStat","ActiveCountStat","bool","bool","i32","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool","bool"
0,"SpectreMinion","",3338,1,1,0,1,"",1,"","","","","",1,1,"",""
1,"DominatedNormalMinion",7648,7654,1,1,0,"","",1,"","","","","",1,1,"",""
2,"DominatedMagicMinion",7649,7655,1,1,0,"","",1,"","","","","",1,1,"",""
3,"DominatedRareMinion",7650,7656,1,1,0,"","",1,"","","","","",1,1,"",""
4,"VaalDominatedMinion",17215,17254,1,1,0,"","",1,"","","","","",1,1,"",""
5,"TotemMinion",921,3275,"",1,0,"","",1,1,"","","","","",1,"",""
6,"TrapMinion",918,3583,"",1,0,"","",1,1,1,1,"","","",1,"",""
7,"ZombieMinion",705,3341,1,1,0,"","",1,"","","","","",1,1,"",""
8,"SkeletonMinion","",3339,1,1,0,1,"",1,"","","","","",1,1,"",""
9,"VaalSkeletonMinion",707,3339,1,1,0,"","",1,"","","","","",1,1,"",""
10,"SupportGhostMinion",7942,"",1,1,0,"","",1,"","","","","",1,1,"",""
11,"RemoteMineMinion",919,3582,"",1,0,"","",1,1,"",1,"","","",1,"",""
12,"IncaMinion",4417,"",1,1,0,"","",1,"","","","","",1,1,"",""
13,"InsectMinion",4418,"",1,1,0,"","",1,"","","","","",1,1,"",""
14,"WaterElementalMinion",1144,"",1,1,0,"","",1,"","","","","",1,1,"",""
15,"GenericUnlimitedMinion","","",1,1,0,1,"",1,"","","","","",1,1,"",""
16,"AxisSoldierMinion","","",1,1,0,1,"","","","","","","",1,1,"",""
17,"AnimatedArmourMinion","",7179,1,1,1,"",1,1,"","","","","",1,1,"",""
18,"AnimatedWeaponMinion",5516,5517,1,1,0,"",1,1,"","","","","",1,1,"",""
19,"RagingSpiritMinion",2056,3340,1,1,0,"","",1,"","","","","","",1,"",""
20,"DoubleMinion",13519,"","",1,0,"","",1,1,"","","","",1,1,"",""
21,"GenericUnlimitedMinionWithDrops","","",1,1,0,1,"","","","","","","",1,1,"",""
22,"TaniwhaTailMinion",4419,"",1,1,0,"","",1,"","","","","","",1,"",""
23,"GolemMinion",2799,"",1,1,0,"","",1,"","","","","",1,1,"",""
24,"MissionFollower","","","","",0,1,1,"","","","","","",1,1,"",""
25,"ManifestedUniqueWeaponMinion","",17892,1,1,0,1,"",1,"","","","","",1,1,"",""
26,"RangedAnimatedWeaponMinion",3327,"",1,1,0,"",1,1,"","","","","",1,1,"",""
27,"WolfMinion",4420,3735,1,1,0,"","",1,"","","","","",1,1,"",""
28,"GenericUnlimitedNonMinion","","","",1,0,1,"",1,"","","","","",1,1,"",""
29,"EssenceSpiritMinion",4709,4710,1,1,0,"","",1,"","","","","",1,1,"",""
30,"SpiderMinion",5116,5117,1,1,0,"","",1,"","","","","",1,1,"",""
31,"BeastMinion",5868,6076,1,1,0,"","",1,"","","","","",1,1,"",""
32,"GenericLimitedMinion",5287,5288,1,1,0,"","",1,"","","","","",1,1,"",""
33,"Harbinger","","",1,1,1,"","",1,"","","","","",1,1,"",""
34,"MirageArcher",6696,"","","",0,"","",1,"",1,1,"","",1,1,"",""
35,"Effigy",6839,"","",1,0,"","",1,"","","","","",1,1,"",""
36,"Clone",7647,"",1,1,0,"","",1,"","","","","",1,1,"",""
37,"HeraldScorpion",7707,"",1,1,0,"","",1,"","","","","",1,1,"",""
38,"HeraldChampion",7719,7867,1,1,0,"","",1,"","","","","",1,1,"",""
39,"Relic",7737,7738,1,1,0,"","",1,"","","","","",1,1,"",""
40,"ReplicateMinion",8998,8999,1,1,0,"","",1,"","","","","",1,1,"",""
41,"BurrowingViperMinion","","","",1,0,1,"",1,1,"","","","",1,1,"",""
42,"MirageWarrior",10136,10137,"",1,0,"","",1,1,"","","","",1,1,"",""
43,"DoubleCryWarrior",11228,11229,"",1,0,"","",1,1,"","","","","",1,"",""
44,"GenericLimitedTo3Minion","","",1,1,3,"","",1,"","","","","",1,1,"",""
45,"MirageChieftain","","",1,1,0,1,"",1,"","","","","",1,1,"",""
46,"GenericLimitedMinionWithDrops",5287,"",1,1,0,"","","","","","","","",1,1,"",""
47,"TauntingContraption","","",1,1,1,"","",1,"","","","","",1,1,"",""
48,"AbsolutionSentinel",13545,13569,1,1,0,"","",1,"","","","","",1,1,"",""
49,"VaalAbsolutionSentinel",17214,17255,1,1,0,"","",1,"","","","","",1,1,"",""
50,"Reaper",14003,"",1,1,0,"","",1,"","","","","",1,1,"",""
51,"ArbalistMinion",13802,"",1,1,0,"","",1,"","","","","",1,1,"",""
52,"Triggerbots","","",1,1,0,1,"",1,"","","","","",1,1,"",""
53,"VaalAnimatedWeaponMinion",5516,17095,1,1,0,"",1,1,"","","","","",1,1,"",""
54,"VaalRangedAnimatedWeaponMinion",3327,17096,1,1,0,"",1,1,"","","","","",1,1,"",""
55,"VaalIceShotMirage",17428,"","",1,0,"","",1,1,"","","","","",1,"",""
56,"MetaDemonCaster","","",1,1,0,1,1,1,"","","","",1,1,1,"",""
57,"InfernalFamiliar",13633,13634,1,1,0,"","",1,"","","","","",1,1,"",1
58,"IzaroSpiritMinion","","",1,1,1,"","",1,"","","","","",1,1,"",""
59,"WolfCompanion","","",1,1,0,1,"",1,"","","",1,"",1,1,"",""
60,"LingeringIllusion","","","","",0,1,"",1,"","","","","","",1,"",""
61,"DominatedAuraNormalMinion","","","","",0,1,"",1,"","","",1,"",1,1,"",""
62,"DominatedAuraMagicMinion","","","","",0,1,"",1,"","","",1,"",1,1,"",""
63,"DominatedAuraRareMinion",18389,18390,"","",0,"","",1,"","","",1,"",1,1,"",""
64,"MercenaryCompanion","","",1,1,1,"","",1,"","","","",1,1,1,"",""
65,"SkeletalConstruct",19099,"",1,1,0,"","",1,"","","","","",1,1,"",""
66,"RhoaMount","","",1,1,1,"","",1,"","","","",1,1,1,"",""
67,"BoneOfferingSpike",19093,19880,1,1,0,"","",1,"","","","","","","",1,""
68,"PainOfferingSpike",19094,19881,1,1,0,"","",1,"","","","","","","",1,""
69,"SoulOfferingSpike",19095,19882,1,1,0,"","",1,"","","","","","","",1,""
70,"DarkOfferingSpike",19096,19883,1,1,0,"","",1,"","","","","","","",1,""
