"rownum","BaseItemTypesKey","ModsKeys","AchievementItemsKey","MapFragmentFamilies","bool","bool","bool","bool","bool","bool","MinAreaLevel","i32","MapFragmentLimit","bool"
0,7866,[8344],"[1583,7005]",139,"","","","",1,"",1,100,1,""
1,7867,[8344],"[1583,7005]",139,"","","","",1,"",1,100,1,""
2,7868,[8344],"[1583,7005]",139,"","","","",1,"",1,100,1,""
3,7869,[8344],"[1583,7005]",139,"","","","",1,"",1,100,1,""
4,7871,[8345],[1583],139,"","","","",1,"",1,100,1,""
5,7872,[8345],[1583],139,"","","","",1,"",1,100,1,""
6,7873,[8345],[1583],139,"","","","",1,"",1,100,1,""
7,7874,[8345],[1583],139,"","","","",1,"",1,100,1,""
8,7881,[8348],[],139,"","","","",1,"",1,100,1,""
9,7882,[8348],[],139,"","","","",1,"",1,100,1,""
10,7883,[8348],[],139,"","","","",1,"",1,100,1,""
11,7884,[8348],[],139,"","","","",1,"",1,100,1,""
12,7886,[8349],[],139,"","","","",1,"",1,100,1,""
13,7887,[8349],[],139,"","","","",1,"",1,100,1,""
14,7888,[8349],[],139,"","","","",1,"",1,100,1,""
15,7889,[8349],[],139,"","","","",1,"",1,100,1,""
16,7891,[8350],[],139,"","","","",1,"",1,100,1,""
17,7892,[8350],[],139,"","","","",1,"",1,100,1,""
18,7893,[8350],[],139,"","","","",1,"",1,100,1,""
19,7894,[8350],[],139,"","","","",1,"",1,100,1,""
20,7896,[8351],[],139,"","","","",1,"",1,100,1,""
21,7897,[8351],[],139,"","","","",1,"",1,100,1,""
22,7898,[8351],[],139,"","","","",1,"",1,100,1,""
23,7899,[8351],[],139,"","","","",1,"",1,100,1,""
24,7901,[8352],[],139,"","","","","","",1,100,1,""
25,10100,[18533],[7006],1,1,"","","","","",1,100,1,""
26,10101,[18534],[7006],1,1,"","","","","",1,100,1,""
27,10102,[18535],[7006],1,1,"","","","","",1,100,1,""
28,10103,[18536],"[7006,7144]",1,1,"","","","","",1,100,1,""
29,10104,[18537],[],24,1,"","","","","",1,100,5,""
30,10105,[18538],[],25,1,"","","","","",1,100,1,""
31,10106,[18539],[],26,1,"","","","","",1,100,1,""
32,10107,[18540],[],27,1,"","","","","",1,100,2,""
33,10108,[18541],[],28,1,"","","","","",1,100,1,""
34,10109,[18542],[],136,1,"","","","","",1,100,1,""
35,10110,[18543],[7006],2,1,"","","","","",1,100,1,""
36,10111,[18544],[7006],2,1,"","","","","",1,100,1,""
37,10112,[18545],[7006],2,1,"","","","","",1,100,1,""
38,10113,[18546],"[7006,7145]",2,1,"","","","","",1,100,1,""
39,10114,[18547],[],29,1,"","","","","",1,100,1,""
40,10115,[18548],[],30,1,"","","","","",1,100,5,""
41,10118,[18549],[],31,1,"","","","","",1,100,3,""
42,10117,[18550],[],32,1,"","","","","",1,100,1,""
43,10116,[18551],[],33,1,"","","","","",1,100,1,""
44,10119,[18552],[7006],3,1,"","","","","",1,100,1,""
45,10120,[18553],[7006],3,1,"","","","","",1,100,1,""
46,10121,[18554],[7006],3,1,"","","","","",1,100,1,""
47,10122,[18555],"[7006,7146]",3,1,"","","","","",1,100,1,""
48,10123,[18556],[],3,1,"","","","","",1,100,1,""
49,10124,[18557],[],101,1,"","","","","",1,100,3,""
50,10125,[18558],[],102,1,"","","","","",1,100,2,""
51,10126,[18559],[7006],0,1,"","","","","",1,100,1,""
52,10127,[18560],[7006],0,1,"","","","","",1,100,1,""
53,10128,[18561],[7006],0,1,"","","","","",1,100,1,""
54,10129,[18562],"[7006,7147]",0,1,"","","","","",1,100,1,""
55,10130,[18563],[7006],0,1,"","","","","",1,100,1,""
56,10131,[18564],[7006],0,1,"","","","","",1,100,1,""
57,10132,[18565],[7006],0,1,"","","","","",1,100,1,""
58,10133,[18566],[7006],0,1,"","","","","",1,100,1,""
59,10134,[18567],[],126,1,"","","","","",1,100,1,""
60,10136,[18568],[],123,1,"","","","","",1,100,1,""
61,10135,[18569],[],124,1,"","","","","",1,100,2,""
62,10137,[18570],[],125,1,"","","","","",1,100,1,""
63,10138,[18571],[7006],4,1,1,"","","","",1,100,1,""
64,10139,[18572],[7006],4,1,1,"","","","",1,100,1,""
65,10140,[18573],[7006],4,1,1,"","","","",1,100,1,""
66,10141,[18574],"[7006,7148]",4,1,1,"","","","",1,100,1,""
67,10142,[18575],[7006],5,1,"",1,"","","",1,100,1,""
68,10143,[18576],[7006],5,1,"",1,"","","",1,100,1,""
69,10144,[18577],[7006],5,1,"",1,"","","",1,100,1,""
70,10145,[18578],"[7006,7149]",5,1,"",1,"","","",1,100,1,""
71,10146,[18579],[],20,1,1,"","","","",1,100,1,""
72,10147,[18580],[],21,1,"",1,"","","",1,100,1,""
73,10149,"[18581,18582,18583,18584]",[],22,1,"","","","",1,1,100,1,""
74,10148,[18585],[],23,1,"","","","","",1,100,1,""
75,10150,[18586],[7006],0,1,"","","","","",1,100,1,""
76,10151,[18587],[7006],0,1,"","","","","",1,100,1,""
77,10152,[18588],[7006],0,1,"","","","","",1,100,1,""
78,10153,[18589],"[7006,7150]",0,1,"","","","","",1,100,1,""
79,10154,[18590],[],122,1,"","","","","",1,100,1,""
80,10155,[18591],[],120,1,"","","","","",1,100,1,""
81,10156,[18592],[],121,1,"","","","","",1,100,1,""
82,10157,[18593],[7006],6,1,"","","","","",1,100,1,""
83,10158,[18594],[7006],6,1,"","","","","",1,100,1,""
84,10159,[18595],[7006],6,1,"","","","","",1,100,1,""
85,10160,[18596],"[7006,7151]",6,1,"","","","","",1,100,1,""
86,10161,[18597],[],70,1,"","","","","",1,100,5,""
87,10163,[18598],[],71,1,"","","","","",1,100,1,""
88,10162,[18599],[],72,1,"","","","","",1,100,1,""
89,10164,[18600],[7006],7,1,"","","","","",1,100,1,""
90,10165,[18601],[7006],7,1,"","","","","",1,100,1,""
91,10166,[18602],[7006],7,1,"","","","","",1,100,1,""
92,10167,[18603],"[7006,7152]",7,1,"","","","","",1,100,1,""
93,10168,[18604],[],73,1,"","","","","",1,100,2,""
94,10169,[18605],[],74,1,"","","","","",1,100,1,""
95,10170,[18606],[],75,1,"","","","","",1,100,1,""
96,10171,[18607],[],127,1,"","","","","",1,100,4,""
97,10172,[18608],[7006],8,1,"","","","","",1,100,1,""
98,10173,[18609],[7006],8,1,"","","","","",1,100,1,""
99,10174,[18610],[7006],8,1,"","","","","",1,100,1,""
100,10175,[18611],"[7006,7153]",8,1,"","","","","",1,100,1,""
101,10176,[18612],[],37,1,"","","","","",1,100,3,""
102,10177,[18613],[],38,1,"","","","","",1,100,1,""
103,10178,[18614],[],39,1,"","","","","",1,100,1,""
104,10179,[18615],[],40,1,"","","","","",1,100,1,""
105,10180,[18616],[],41,1,"","","","","",1,100,1,""
106,10181,[18617],[7006],9,1,"","","","","",1,100,1,""
107,10182,[18618],[7006],9,1,"","","","","",1,100,1,""
108,10183,[18619],[7006],9,1,"","","","","",1,100,1,""
109,10184,[18620],"[7006,7154]",9,1,"","","","","",1,100,1,""
110,10185,[18621],[],66,1,"","","","","",1,100,4,""
111,10186,[18622],[],67,1,"","","","","",1,100,1,""
112,10188,[18623],[],68,1,"","","","","",1,100,1,""
113,10187,[18624],[],69,1,"","","","","",1,100,1,""
114,10189,[18625],[7006],10,1,"","","","","",1,100,1,""
115,10190,[18626],[7006],10,1,"","","","","",1,100,1,""
116,10191,[18627],[7006],10,1,"","","","","",1,100,1,""
117,10192,[18628],"[7006,7155]",10,1,"","","","","",1,100,1,""
118,10193,[18629],[],10,1,"","","","","",1,100,1,""
119,10194,[18630],[],103,1,"","","","","",1,100,2,""
120,10195,[18631],[],104,1,"","","","","",1,100,1,""
121,10197,[18632],[],105,1,"","","","","",1,100,1,""
122,10196,[18633],[],106,1,"","","","","",1,100,1,""
123,10198,[18634],[7006],11,1,"","","","","",1,100,1,""
124,10199,[18635],[7006],11,1,"","","","","",1,100,1,""
125,10200,[18636],[7006],11,1,"","","","","",1,100,1,""
126,10201,[18637],"[7006,7156]",11,1,"","","","","",1,100,1,""
127,10202,[18638],[],96,1,"","","","","",1,100,5,""
128,10203,[18639],[],97,1,"","","","","",1,100,1,""
129,10204,[18640],[],98,1,"","","","","",1,100,1,""
130,10205,[18641],[],99,1,"","","","","",1,100,1,""
131,10206,[18642],[],100,1,"","","","","",1,100,1,""
132,10207,[18660],[7006],12,1,"","","","","",1,100,1,""
133,10208,[18661],[7006],12,1,"","","","","",1,100,1,""
