"rownum","WorldArea","CapturedVessel","QuestFlagUpgrade","CapturedMonster","PanelLayout","CapturedMonsterDescription","i32","QuestFlagDowngrade"
0,1143,10049,1389,[1051],0,"",1324,3178
1,1149,10050,1390,[4521],0,"",1325,3179
2,1093,10051,1391,[2405],0,"",1326,3180
3,1217,10052,1392,[5993],1,"",1327,3181
4,1195,10053,1393,[2544],1,"",1328,3182
5,1127,10054,1394,[2470],1,"",1329,3183
6,1243,10055,1395,[5588],2,"",1330,3184
7,1125,10056,1396,[5968],2,"",1331,3185
8,1185,10057,1397,[5518],2,"",1332,3186
9,1177,10058,1398,[5494],3,"",1333,3187
10,1269,10059,1399,[5480],3,"",1334,3188
11,1157,10060,1400,[3214],3,"",1335,3189
12,1216,10061,1402,[5833],6,"",1336,3190
13,1145,10062,1405,[5867],8,"",1337,3191
14,1231,10063,1406,[5880],9,"",1338,3192
15,1234,10064,1407,[6094],10,"",1339,3193
16,1191,10065,1401,[5613],11,"",1340,3194
17,1136,10066,1404,[5559],13,"",1341,3195
18,1241,10067,1408,[5921],14,"",1342,3196
19,1163,10068,1403,[1562],15,"",1343,3197
