"rownum","WorldAreasKey","Connections"
0,838,"[1,0]"
1,840,"[2,0,8]"
2,841,"[9,0]"
3,842,[10]
4,843,[11]
5,844,[12]
6,846,[13]
7,847,"[14,0]"
8,848,"[15,0]"
9,849,"[16,0]"
10,850,"[17,0,3]"
11,852,"[18,0]"
12,853,"[19,0]"
13,854,"[20,0]"
14,855,"[21,0]"
15,856,"[22,0]"
16,857,"[23,0,86,0]"
17,859,"[24,0,10]"
18,861,"[25,0]"
19,862,"[26,0]"
20,863,"[27,0]"
21,864,"[28,0]"
22,865,"[29,0,15]"
23,867,"[30,0]"
24,868,"[31,0]"
25,869,"[32,0]"
26,870,"[33,0]"
27,872,"[28,0]"
28,873,"[34,0,21]"
29,875,"[35,0]"
30,876,"[36,0]"
31,877,"[37,0]"
32,878,"[38,0]"
33,879,"[39,0]"
34,880,"[40,0,28]"
35,882,"[41,0]"
36,883,"[42,0,30]"
37,885,"[43,0]"
38,886,"[44,0]"
39,888,"[40,0,33]"
40,890,"[45,0,34,0]"
41,892,"[46,0,63]"
42,893,"[47,0]"
43,894,"[48,0,69]"
44,895,"[49,0]"
45,896,"[50,0]"
46,897,"[51,0]"
47,898,"[52,0]"
48,899,"[53,0]"
49,900,"[54,0]"
50,901,"[55,0]"
51,902,"[56,0]"
52,903,"[57,0]"
53,904,"[58,0]"
54,905,"[55,0]"
55,906,"[59,0,50]"
56,908,"[57,0,60]"
57,909,"[61,0,52]"
58,910,"[62,0]"
59,913,"[63,0]"
60,914,"[64,0]"
61,915,"[65,0]"
62,916,"[66,0]"
63,917,"[67,0,41]"
64,918,"[68,0]"
65,919,"[69,0]"
66,920,"[70,0]"
67,921,"[71,0]"
68,922,"[72,0]"
69,924,"[73,0,43]"
70,925,"[71,0]"
71,926,"[75,0,67]"
72,927,"[76,0]"
73,929,"[77,0]"
74,930,[75]
75,932,"[71,0]"
76,933,[72]
77,934,[73]
78,851,[10]
79,858,[16]
80,860,[17]
81,866,[22]
82,881,[34]
83,884,[36]
84,889,[39]
85,891,[40]
86,758,"[87,0]"
87,759,[86]
