"rownum","Id","MonsterVarietiesKey","i32","rid","i32","bool"
0,"SkeletonMeleeFireTormentNecromancer",2337,145,"",1,""
1,"TormentMutilatorAnimatedWeapons","",8,"",1,""
2,"WbChaos2Skeleton",4487,145,"",1,""
3,"EssenceFleshmonsterSummonedOnDeath",5077,145,1044,2,1
4,"EssenceBloodworm",4353,145,"",1,""
5,"Essence Elemental Swarm 1st stage",402,145,113,4,1
6,"Essence Elemental Swarm 2nd stage",403,145,113,2,1
7,"Essence Elemental Swarm 3rd stage",404,145,113,2,1
8,"Essence Rock Golem",4615,145,"",1,1
9,"Essence Explosive Insect",1576,145,"",1,1
10,"Volatile Flameblood",5104,145,"",1,1
11,"Obsidian Golem",4288,145,"",1,1
12,"TormentedBetrayerBeacon",7601,145,"",1,""
13,"BlightDaemonFire",7915,145,113,1,""
14,"BlightDaemonCold",7917,145,115,1,""
15,"BlightDaemonLightning",7919,145,447,1,""
16,"BlightDaemonPhysical",7921,145,522,1,""
17,"BlightDaemonChaos",7923,145,1059,1,""
18,"MapVolatile",5116,145,"",1,""
19,"LegionVolatile",5107,145,"",1,""
20,"UberVolatile",5117,145,"",1,""
21,"UberElderNova",6191,145,"",1,""
