"rownum","Id","Name","Icon","Description","PackLeader1","PackLeader2","Mod"
0,"Zombie","Zombies","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconZombie","Slow moving <white>{Undead} monsters\r\nSometimes emerges from underground","","",""
1,"Sandspitter3","Crustacean Snipers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandspitter","Ranged <white>{Beasts}","","",""
2,"Sandspitter2","Gravel Eaters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandspitter","Ranged <white>{Beasts}","","",""
3,"Sandspitter","Sandspitters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandspitter","Ranged <white>{Beasts}","","",""
4,"Crabs","Savage Crabs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCoastCrabs","Various Crab <white>{Beasts} ","","",""
5,"WaterElemental","Water Elementals","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} \r\nCasts <craftingcold>{Ice} Nova","","",""
6,"WaterElemental3","Crashing Waves","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} \r\nCasts <craftingcold>{Vortex}","","",""
7,"WaterElemental4","Bubbling Waves","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} ","","",""
8,"WaterElemental2","Clearwater Striders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterElemental","Water <white>{Constructs} ","","",""
9,"Cannibal","Cannibals","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCannibal","Aggressive <white>{Humanoids}","","",""
10,"Rhoa","Rhoas","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRhoa","Flightless bird <white>{Beasts}\r\nCharges aggressively towards enemies\r\nEnrages when nearby nests are broken","","",""
11,"RhoaLarge","Large Rhoas","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRhoa","Large flightless bird <white>{Beasts}\r\nCharges aggressively towards enemies \r\nEnrages when nearby nests are broken","","",""
12,"ZombiesMired2","Rotting Damned","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconZombie","Slow moving <white>{Undead} Zombies\r\nSometimes emerges from underground","","",""
13,"ZombiesMired","Zombies","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconZombie","Slow moving <white>{Undead} Zombies\r\nSometimes emerges from underground","","",""
14,"necropolis-frogs","Frogs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/AllFlameOtherFrog","Harmless <white>{Beasts} that hop around","<white>{Pack Leader:}\r\n<white>{Strange Frog}","<white>{Pack Leader:}\r\n<white>{Strange Frog}",36492
15,"Ratsss","Rats","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/AllFlameOtherRat","Small <white>{Beasts} ","","",""
16,"necropolis-rats","Rats","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/AllFlameOtherRat","Small <white>{Beasts} ","<white>{Pack Leader:}\r\n<white>{Overgrown Rat}","<white>{Pack Leader:}\r\n<white>{Overgrown Rat}",36492
17,"Crustaceans2","Invading Crustaceans","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrustaceans","Shelled <white>{Beasts}\r\nSheds their shell on death","","",""
18,"Crustaceans3","Shield Crabs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrustaceanBleached","Shelled <white>{Beasts}\r\nSheds their shell on death","","",""
19,"Crustaceans","Shield Crabs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrustaceans","Shelled <white>{Beasts}\r\nSheds their shell on death","","",""
20,"RhoaSkeleton","Skeleton Rhoas ","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRhoaSkeleton","<white>{Undead} flightless bird skeletons\r\nCharges aggressively towards enemies","","",""
21,"MeleeSkeleton3","Sandworn Watchmen","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons\r\nUses <craftingcold>{Frost} Blades","","",""
22,"MeleeSkeleton2","Timeless Wanderers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","","",""
23,"MeleeSkeleton4","Brittle Bandits","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons\r\nUses Puncture","","",""
24,"MeleeSkeleton5","Ash Harvesters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons\r\nUses Cyclone","","",""
25,"MeleeSkeletonwhitenec","Brittle Born-Agains","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}\r\nRevives Undead",""
26,"MeleeSkeleton6","Vault Guardians","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","","",""
27,"MeleeSkeleton7","Sandy Guardians","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","","",""
28,"MeleeSkeletonvoll","Voll's Fallen","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVollSkeletonMelee","<white>{Undead} Skeleton Soldiers","<white>{Pack Leader:}\r\n<white>{Knitted Horror}","<white>{Pack Leader:}\r\n<white>{Knitted Horror}\r\nInflicts <craftingphysical>{Bleeding}\r\nSpawns Voll's Fallen on Death",""
29,"MeleeSkeleton8","Ancient Workers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","","",""
30,"MeleeSkeleton","Skeletons","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","","",""
31,"MeleeSkeletonNecro","Skeletons","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonMelee","<white>{Undead} Skeletons","<white>{Pack Leader:}\r\n<white>{Diabolist}","<white>{Pack Leader:}\r\n<white>{Diabolist}\r\nCasts Enfeeble\r\nRevives Undead",""
32,"RangedSkeleton3","Weathered Watchmen","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons\r\nUses Tornado Shot","","",""
