"rownum","RecipeId","Description","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
0,146,"Movement Speed - Rank 1",[8],"",1,42
1,161,"Spell Damage - Rank 1","[0,1,2,3]","",1,39
2,213,"Vaal Skill Damage - Rank 1",[7],"",1,38
3,158,"Physical Damage - Rank 1","[0,1,2,3,4,7,9,10,13]","",1,51
4,170,"Fire Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,49
5,214,"Life and Mana Regeneration - Rank 1",[10],"",1,57
6,173,"Cold Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,65
7,176,"Lightning Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,54
8,133,"Elemental Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,71
9,141,"Attributes - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,95
10,168,"Attack, Cast and Warcry Speed - Rank 1","[0,1,2,3,4,7,9,10]","",1,62
11,180,"Chaos Damage - Rank 1","[0,1,2,3,7,9,10,13]","",1,117
12,147,"Movement Speed and Exerted Attacks - Rank 2","[8,9,10,11]","",2,81
13,159,"Physical Damage - Rank 2","[0,1,2,3,4,9,10]","",2,82
14,183,"Accuracy - Rank 1","[0,1,2,3,4,5,7,9,10,13]","",1,83
15,142,"Attributes - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,1094
16,149,"Life and Mana - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",2,100
17,162,"Spell Damage - Rank 2","[0,1,2,3]","",2,93
18,187,"Defences - Rank 1","[4,5,6,7,8]","",1,44
19,171,"Fire Damage - Rank 2","[0,1,2,3,9,10]","",2,113
20,174,"Cold Damage - Rank 2","[0,1,2,3,9,10]","",2,114
21,178,"Lightning Damage - Rank 2","[0,1,2,3,9,10]","",2,107
22,185,"Accuracy - Rank 2","[0,1,2,3,4,5,7,9,10,13]","",2,153
23,135,"Elemental Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,121
24,228,"Minions - Rank 1","[0,1,2,3,5,7,9,10]","",1,127
25,230,"Traps and Mines - Rank 1","[0,1,2,3]","",1,133
26,160,"Physical Damage - Rank 3","[0,1,2,3]","",3,144
27,163,"Spell Damage - Rank 3","[0,1,2,3]","",3,142
28,169,"Attack and Cast Speed - Rank 2","[0,1,2,3,4,10]","",2,139
29,150,"Life and Mana - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,155
30,181,"Chaos Damage - Rank 2","[0,1,2,3,9,10]","",2,158
31,188,"Defences - Rank 2","[4,5,6,7,8]","",2,90
32,148,"Movement Speed and Flask Enchantments - Rank 3","[8,12]","Epilogue",3,167
33,139,"All Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Aspirant's Trial",1,532
34,137,"Double Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Cruel Aspirant's Trial",2,604
35,138,"Double Resistances - Rank 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Merciless Aspirant's Trial",3,676
36,140,"All Resistances - Rank 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Eternal Aspirant's Trial",2,748
37,166,"Elemental Damage with Attacks - Rank 1","[0,1,2,3,9,10,11,13]","Labyrinth Trial in The Catacombs",1,46
38,144,"All Attributes - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Imperial Gardens",1,55
39,136,"Double Resistances - Rank 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Lower Prison",1,92
40,164,"Damage over Time - Rank 1","[0,1,2,3]","Labyrinth Trial in The Crypt",1,106
