"rownum","BaseItemTypesKey","HeistAreasKey","i32"
0,10353,0,45
1,10354,1,0
2,10355,2,0
3,10356,3,0
4,10375,0,0
5,10357,4,0
6,10358,5,0
7,10359,6,45
8,10360,7,0
9,10361,8,0
10,10376,1,0
11,10377,8,0
12,10378,1,0
13,10379,7,0
14,10380,3,0
15,10381,0,0
16,10382,5,0
17,10383,2,0
18,10384,2,0
19,10385,7,0
20,10386,8,0
21,10387,3,0
22,10388,0,0
23,10389,0,0
24,10390,2,0
25,10391,7,0
26,10392,4,0
27,10393,7,0
28,10394,7,0
29,10395,0,0
30,10396,1,0
31,10397,1,0
32,10398,3,0
33,10399,1,0
34,10400,7,0
35,10401,1,0
36,10402,8,0
37,10403,8,0
38,10404,2,81
39,10405,8,0
40,10406,8,0
41,10407,8,0
42,10408,8,81
