"rownum","BaseType","Type","Charges","Duration","EnemyLimit","Visual","Empowerment","UseAchievement","CreatedViaPowerCore"
0,11125,0,8,30,15,1776,5,8669,""
1,11126,0,10,30,25,1766,10,8670,""
2,11127,0,8,40,30,1764,16,8671,""
3,11128,0,8,40,50,1772,22,8672,""
4,11129,0,10,50,75,1765,28,8673,""
5,11130,0,8,50,85,1777,34,8674,""
6,11131,0,12,100,100,1767,40,8675,1
7,11132,0,18,60,100,1770,45,8676,1
8,11133,0,12,60,150,1771,50,8677,1
9,11134,1,8,10,30,1766,18,8678,""
10,11135,1,10,10,30,1764,20,8679,""
11,11136,1,8,10,50,1772,22,8680,""
12,11137,1,10,10,80,1765,24,8681,""
13,11138,1,8,10,100,1777,26,8682,""
14,11139,1,12,10,200,1767,20,8683,1
15,11140,1,18,10,120,1770,30,8684,1
16,11141,1,12,10,70,1771,35,8685,1
17,11142,2,12,20,2,1766,30,8686,""
18,11143,2,8,30,2,1780,35,8687,""
19,11144,2,8,50,3,1772,40,8688,""
20,11145,2,10,30,3,1765,45,8689,""
21,11146,2,8,40,4,1777,42,8690,""
22,11147,2,12,50,4,1767,45,8691,1
23,11148,2,18,30,4,1770,50,8692,1
24,11149,2,12,30,4,1771,55,8693,1
25,11150,2,5,20,1,1768,100,8694,""
