"rownum","MonsterVarietiesKey","BestiaryGroupsKey","BestiaryEncountersKey","bool","IconSmall","Icon","Boss_MonsterVarietiesKey","BestiaryGenusKey","bool","BestiaryCapturableMonstersKey","IsDisabled","i32","bool"
0,105,3,10,"","","","",0,"","","",1464,1
1,107,3,10,"","","","",0,"","","",1464,1
2,108,3,10,"","","","",0,"",1,"",1464,1
3,121,3,10,"","","","",0,"","","",1464,1
4,122,3,10,"","","","",0,"","","",1464,1
5,123,3,10,"","","","",0,"","","",1464,1
6,124,3,10,"","","","",0,"","","",1464,1
7,125,3,10,"","","","",0,"","","",1464,1
8,129,3,10,"","","","",0,"","","",1464,1
9,133,3,10,"","","",125,0,"",7,1,1464,""
10,140,3,10,"","","","",0,"","","",1464,1
11,141,3,10,"","","","",0,"","","",1464,1
12,220,1,6,"","","","",1,"","","",1464,1
13,221,1,6,"","","","",1,"","",1,1464,""
14,223,1,6,"","","","",1,"","","",1464,1
15,234,1,6,"","","","",1,"","",1,1464,""
16,235,1,6,"","","","",1,"","","",1464,1
17,236,1,6,"","","","",1,"",16,"",1464,1
18,237,1,6,"","","","",1,"",15,"",1464,1
19,262,1,6,"","","","",2,"","","",1464,1
20,273,1,6,"","","","",2,"","","",1464,1
21,274,1,6,"","","","",2,"","","",1464,1
22,276,1,6,"","","","",2,"","","",1464,1
23,277,1,6,"","","","",2,"","","",1464,1
24,278,1,6,"","","","",2,"",23,"",1464,1
25,279,1,6,"","","","",1,"","","",1464,1
26,280,1,6,"","","","",1,"","","",1464,1
27,302,2,7,"","","","",4,"","","",1464,1
28,303,2,7,"","","","",4,"","","",1464,1
29,304,2,7,"","","","",4,"","","",1464,1
30,306,2,7,"","","","",4,"","",1,1464,""
31,319,0,1,"","","","",3,"","",1,1464,""
32,322,0,1,"","","","",3,"","","",1464,1
33,326,0,1,"","","","",3,"","","",1464,1
34,327,0,1,"","","","",3,"","","",1464,1
35,330,0,2,"","","","",3,"","","",1464,1
36,333,0,2,"","","","",3,"","","",1464,1
37,335,0,1,"","","","",3,"","","",1464,1
38,337,0,1,"","","","",3,"",37,"",1464,1
39,343,0,1,"","","","",3,"","","",1464,1
40,345,0,1,"","","",343,3,"",39,1,1464,""
41,346,0,1,"","","",343,3,"",39,1,1464,""
42,347,0,1,"","","",343,3,"",39,1,1464,""
43,349,1,5,"","","","",5,"","","",1464,1
44,352,1,5,"","","","",5,"","","",1464,1
45,353,1,5,"","","","",5,"",44,"",1464,1
46,354,1,5,"","","","",5,"","","",1464,1
47,360,1,5,"","","","",5,"","","",1464,1
48,361,1,5,"","","","",5,"",47,"",1464,1
49,362,1,4,"","","","",28,"","","",1464,1
50,366,1,4,"","","","",28,"","","",1464,1
51,367,1,4,"","","","",28,"","","",1464,1
52,373,1,4,"","","","",28,"","","",1464,1
53,374,1,4,"","","","",28,"",52,"",1464,1
54,376,1,5,"","","","",5,"","","",1464,1
55,378,1,5,"","","","",5,"","","",1464,1
56,429,5,16,"","","","",6,"","","",1464,1
57,430,5,16,"","","","",6,"","",1,1464,""
58,437,5,16,"","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/AlbinoRhoa","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/AlbinoRhoa","",6,"","",1,1464,""
59,439,5,16,"","","","",6,"","","",1464,1
60,440,5,16,"","","","",6,"","","",1464,1
61,447,5,16,"","","","",6,"","","",1464,1
62,452,5,16,"","","","",6,"","","",1464,1
63,455,5,16,"","","","",6,"","",1,1464,""
64,458,5,16,"","","","",6,"","",1,1464,""
65,461,5,16,"","","","",6,"","","",1464,1
66,462,5,16,"","","","",6,"",65,"",1464,1
67,463,10,31,"","","","",7,"","","",1464,1
68,469,10,31,"","","","",7,"","",1,1464,""
69,471,10,31,"","","","",7,"","","",1464,1
70,472,10,31,"","","","",7,"","","",1464,1
71,473,10,31,"","","","",7,"","","",1464,1
72,474,10,31,"","","","",7,"","",1,1464,""
73,475,10,31,"","","","",7,"",72,1,1464,""
74,476,10,31,"","","",473,7,"",71,"",1464,1
75,477,10,31,"","","","",7,"","",1,1464,""
76,478,10,31,"","","","",7,"","",1,1464,""
77,480,10,31,"","","","",7,"",76,"",1464,1
78,483,10,31,"","","","",7,"",71,1,1464,""
79,484,10,31,"","","","",7,"",71,"",1464,1
80,491,10,31,"","","",463,7,"",67,"",1464,1
81,494,9,29,"","","","",8,"","",1,1464,""
82,495,9,29,"","","","",8,"",81,"",1464,1
83,500,9,29,"","","","",8,"","","",1464,1
84,501,9,29,"","","","",8,"","","",1464,1
85,502,9,29,"","","","",8,"","","",1464,1
86,503,9,29,"","","","",8,"","","",1464,1
87,507,9,29,"","","","",8,"","","",1464,1
88,508,9,29,"","","","",8,"","","",1464,1
89,510,9,29,"","","","",8,"",87,"",1464,1
90,512,10,32,"","","","",9,"","",1,1464,1
91,513,10,32,"","","","",9,"","",1,1464,1
92,514,10,32,"","","","",9,"","",1,1464,1
93,515,10,32,"","","","",9,"","",1,1464,1
94,516,10,32,"","","","",9,"","",1,1464,""
95,517,10,32,"","","","",9,"",94,"",1464,1
96,519,10,32,"","","","",9,"","",1,1464,1
97,520,10,32,"","","","",9,"","",1,1464,""
98,892,6,18,"","","","",10,"","","",1464,1
99,893,6,18,"","","","",10,"","","",1464,1
100,894,6,18,"","","","",10,"",99,"",1464,1
101,902,6,18,"","","","",10,"","","",1464,1
102,904,6,18,"","","","",10,"","",1,1464,""
103,906,6,18,"","","","",10,"","","",1464,1
104,907,6,18,"","","","",10,"",103,"",1464,1
105,909,6,18,"","","","",10,"","","",1464,1
106,911,6,18,"","","","",10,"","","",1464,1
107,915,9,29,"","","","",11,"","","",1464,1
108,916,9,29,"","","","",11,"","",1,1464,""
109,918,9,29,"","","","",11,"","",1,1464,""
110,919,9,29,"","","","",11,"","",1,1464,""
111,935,9,29,"","","",919,11,"",110,1,1464,""
112,939,9,29,"","","","",11,"","",1,1464,""
113,942,9,29,"","","","",11,"","","",1464,1
114,943,9,29,"","","","",11,"","","",1464,1
115,952,8,26,"","","",955,12,"","","",1464,1
116,961,8,26,"","","","",12,"","","",1464,1
117,962,8,26,"","","","",12,"","","",1464,1
118,963,8,26,"","","","",12,"","",1,1464,""
119,966,8,26,"","","","",12,"","","",1464,1
120,967,8,26,"","","","",12,"",121,"",1464,1
121,968,8,26,"","","","",12,"","","",1464,1
122,969,8,26,"","","","",12,"",121,"",1464,1
123,970,8,26,"","","","",12,"",121,"",1464,1
124,971,8,26,"","","","",12,"","","",1464,1
125,972,8,26,"","","","",12,"","","",1464,1
126,975,8,26,"","","","",12,"",396,"",1464,1
127,977,8,26,"","","","",12,"","","",1464,1
128,979,8,26,"","","","",12,"","","",1464,1
129,980,8,26,"","","","",12,"","","",1464,1
130,981,8,26,"","","","",12,"","","",1464,1
131,982,8,26,"","","","",12,"","","",1464,1
132,983,8,26,"","","","",12,"","","",1464,1
133,984,8,26,"","","","",12,"","","",1464,1
134,986,8,26,"","","","",12,"","",1,1464,""
135,988,8,26,"","","","",12,"",134,"",1464,1
136,997,8,26,"","","","",12,"","",1,1464,""
137,998,8,26,"","","","",12,"",136,"",1464,1
138,999,8,26,"","","","",12,"","",1,1464,""
139,1000,8,26,"","","","",12,"","",1,1464,""
140,1001,8,26,"","","","",12,"","","",1464,1
141,1002,8,26,"","","","",12,"",140,"",1464,1
142,1491,11,35,"","","","",13,"","","",1464,1
143,1493,11,35,"","","","",13,"","","",1464,1
144,1499,11,35,"","","","",13,"","","",1464,1
145,1500,11,35,"","","","",13,"",144,"",1464,1
146,1504,6,20,"","","","",14,"","","",1464,1
147,1505,6,20,"","","","",14,"",146,"",1464,1
148,1507,6,20,"","","","",14,"","","",1464,1
149,1508,6,20,"","","","",14,"","","",1464,1
150,1509,6,20,"","","","",14,"","","",1464,1
151,1519,11,36,"","","","",40,"","","",1464,1
152,1521,11,36,"","","","",40,"",151,"",1464,1
153,1522,11,36,"","","","",40,"","","",1464,1
154,1523,11,36,"","","","",40,"","","",1464,1
155,1525,11,36,"","","","",40,"","","",1464,1
156,1526,11,36,"","","","",40,"",151,"",1464,1
157,1558,7,21,"","","","",15,"","","",1464,1
158,1566,7,21,"","","","",16,"","",1,1464,1
159,1568,7,21,"","","","",16,"","","",1464,1
160,1569,7,21,"","","","",16,"",159,"",1464,1
161,1570,7,21,"","","","",16,"","","",1464,1
162,1573,7,21,"","","","",16,"","","",1464,1
163,1574,7,21,"","","","",16,"",162,"",1464,1
164,1581,5,14,"","","","",17,"","","",1464,1
165,1584,5,14,"","","","",17,"","",1,1464,""
166,1587,5,14,"","","","",17,"","","",1464,1
167,1643,10,31,"","","","",7,"",168,1,1464,""
168,1644,10,31,"","","","",7,"","","",1464,1
169,1645,10,31,"","","","",7,"","","",1464,1
170,1666,6,19,"","","","",10,"","","",1464,1
171,1668,6,19,"","","","",10,"","","",1464,1
172,1669,6,19,"","","","",10,"","","",1464,1
