"rownum","Id","HASH16","Stats","Stat1Value","Stat2Value","Stat3Value","AchievementItem","rid"
0,"Accuracy1",57597,[15276],40,0,0,8881,""
1,"Accuracy2",51147,[18219],1,0,0,8881,""
2,"Accuracy3",64775,[15264],1,0,0,8881,""
3,"Accuracy4",9632,[17651],1,0,0,8881,""
4,"Accuracy5",39178,[18119],50,0,0,8881,""
5,"Accuracy6",9755,"[83,568]",500,-2,0,8881,""
6,"Armour1",46180,[17749],1,0,0,8881,""
7,"Armour2",48720,[97],30,0,0,8881,""
8,"Armour3",59754,[8246],20,0,0,8881,""
9,"Armour4",7137,[17754],1,0,0,8881,""
10,"Armour5",59936,[17756],20,0,0,8881,""
11,"Armour6",10680,[17750],100,0,0,8881,""
12,"ArmourEvasion1",49522,"[17855,17856]",120,5,0,8881,""
13,"ArmourEvasion2",62285,"[8205,122]",8,8,0,8881,""
14,"ArmourEvasion3",5108,[221],80,0,0,8881,""
15,"ArmourEvasion4",23955,[17858],1,0,0,8881,""
16,"ArmourEvasion5",58876,"[17857,4635]",40,40,0,8881,""
17,"ArmourEvasion6",43258,"[17859,17860]",1,1,0,8881,""
18,"ArmourEnergyShield1",40578,[17784],2,0,0,8881,""
19,"ArmourEnergyShield2",37614,[17785],5,0,0,8881,""
20,"ArmourEnergyShield3",16215,[97],20,0,0,8881,""
21,"ArmourEnergyShield4",18301,[14923],20,0,0,8881,""
22,"ArmourEnergyShield5",8653,[17787],100,0,0,8881,""
23,"ArmourEnergyShield6",65504,[1276],-20,0,0,8881,""
24,"Attack1",28524,[1229],3,0,0,8881,""
25,"Attack2",39154,[6879],1,0,0,8881,""
26,"Attack3",38401,"[18421,18422]",1,6000,0,8881,""
27,"Attack4",64511,[17888],1,0,0,8881,""
28,"Attack5",11938,[17889],5,0,0,8881,""
29,"Attack6",19500,[20704],20,0,0,8881,""
30,"Attributes1",5356,[3334],5,0,0,8881,""
31,"Attributes2",41483,[6870],1,0,0,8881,""
32,"Attributes3",26621,[15108],5,0,0,8881,""
33,"Attributes4",52604,[15109],5,0,0,8881,""
34,"Attributes5",15826,[15110],5,0,0,8881,""
35,"Axe1",28354,[5217],1,0,0,8881,""
36,"Axe2",11049,[9054],15,0,0,8881,""
37,"Axe3",9088,[3485],40,0,0,8881,""
38,"Axe4",50175,"[11965,11900]",30,15,0,8881,""
39,"Axe5",64228,[15113],10,0,0,8881,""
40,"Axe6",233,[20629],2,0,0,8881,""
41,"Banner1",40037,[20470],1,0,0,8881,""
42,"Banner2",16991,[20469],5,0,0,8881,""
43,"Banner3",36934,[20467],10,0,0,8881,""
44,"Banner4",10268,[20471],3,0,0,8881,""
45,"Bleeding1",59626,[3381],1,0,0,8881,""
46,"Bleeding2",10546,[20639],50,0,0,8881,""
47,"Bleeding3",3449,[20710],4000,0,0,8881,""
48,"Bleeding4",23936,[4721],80,0,0,8881,""
49,"Bleeding5",38703,[15114],3,0,0,8881,""
50,"Bleeding6",59281,[20707],25,0,0,8881,""
51,"Blind1",43524,[14769],40,0,0,8881,""
52,"Blind2",7831,[976],100,0,0,8881,""
53,"Blind3",57463,[3659],60,0,0,8881,""
54,"Blind4",12100,[3481],100,0,0,8881,""
55,"Block1",55013,[490],2,0,0,8881,""
56,"Block2",44840,[8184],2,0,0,8881,""
57,"Block3",23442,"[1362,1363]",20,20,0,8881,""
58,"Block4",4500,[20705],1,0,0,8881,""
59,"Bow1",59634,[7474],100,0,0,8881,""
60,"Bow2",45512,[9836],20,0,0,8881,""
61,"Bow3",42952,[11069],100,0,0,8881,""
62,"Bow4",26894,[13239],100,0,0,8881,""
63,"Bow5",36967,[15501],100,0,0,8881,""
64,"Bow6",56951,[15502],1,0,0,8881,""
65,"Brand1",37186,[14869],10,0,0,8881,""
66,"Brand2",5907,[14927],30,0,0,8881,""
67,"Brand3",20630,[12057],1,0,0,8881,""
68,"Brand4",39863,[8597],50,0,0,8881,""
69,"Brand5",32877,[8427],2,0,0,8881,""
70,"Brand6",46672,[8575],40,0,0,8881,""
71,"Caster1",48358,[14896],30,0,0,8881,""
72,"Caster2",33089,[17666],25,0,0,8881,""
73,"Caster3",61071,[17667],6,0,0,8881,""
74,"Caster4",50906,[11412],1,0,0,8881,""
75,"Caster5",27401,[8964],1,0,0,8881,""
76,"Caster6",23471,[17668],25,0,0,8881,""
77,"Chaos1",50933,[17817],1,0,0,8881,""
78,"Chaos2",59574,"[10658,14871]",1,10,0,8881,""
79,"Chaos3",1727,[944],1,0,0,8881,""
80,"Chaos4",21652,[484],40,0,0,8881,""
81,"Chaos5",28678,[17816],10,0,0,8881,""
82,"Chaos6",65015,[18128],5,0,0,8881,""
83,"Charges1",28720,[14872],1,0,0,8881,""
84,"Charges2",48661,[14873],1,0,0,8881,""
85,"Charges3",14100,[14874],1,0,0,8881,""
86,"Charges4",29652,[14902],100,0,0,8881,""
87,"Charges5",40307,[9513],3,0,0,8881,""
88,"Charges6",19142,[4132],1,0,0,8881,""
89,"Claw1",40041,"[18350,18351]",25,25,0,8881,""
90,"Claw2",7389,[18354],1,0,0,8881,""
91,"Claw3",36475,[18352],60,0,0,8881,""
92,"Claw4",4516,[18353],10,0,0,8881,""
93,"Claw5",2823,[18367],50,0,0,8881,""
94,"Claw6",22056,[15283],40,0,0,8881,""
95,"Cold1",4116,[482],40,0,0,8881,""
96,"Cold2",13267,[18109],10,0,0,8881,""
97,"Cold3",38814,[17742],20,0,0,8881,""
98,"Cold4",33129,[942],1,0,0,8881,""
99,"Cold5",19495,[17743],10,0,0,8881,""
100,"Cold6",26782,[17737],5,0,0,8881,""
101,"Criticals1",9986,[12535],50,0,0,8881,""
102,"Criticals2",2987,[14897],25,0,0,8881,""
103,"Criticals3",59734,[14913],100,0,0,8881,""
104,"Criticals4",38070,[14925],3,0,0,8881,""
105,"Criticals5",61534,[97],30,0,0,8881,""
106,"Criticals6",52684,[4115],150,0,0,8881,""
107,"Curse1",13382,[14875],20,0,0,8881,""
108,"Curse2",43250,[17271],-40,0,0,8881,""
109,"Curse3",45691,[12032],1,0,0,8881,""
110,"Curse4",35426,[12166],20,0,0,8881,""
111,"Curse5",34663,[11456],1,0,0,8881,""
112,"Curse6",18130,"[17317,17316]",1,1,0,8881,""
113,"Dagger1",63223,[3609],100,0,0,8881,""
114,"Dagger2",33315,[2038],1,0,0,8881,""
115,"Dagger3",20515,[15248],10,0,0,8881,""
116,"Dagger4",42559,[15250],8,0,0,8881,""
117,"Dagger5",58309,[18275],50,0,0,8881,""
118,"Dagger6",44869,[10298],40,0,0,8881,""
119,"DamageOverTime1",2459,[13877],30,0,0,8881,""
120,"DamageOverTime2",1251,[15118],10,0,0,8881,""
121,"DamageOverTime3",34420,"[215,6067]",15,15,0,8881,""
122,"DamageOverTime4",11521,[15251],-10,0,0,8881,""
123,"DualWield1",14796,"[14876,2850]",1,20,0,8881,""
124,"DualWield2",6090,[14877],100,0,0,8881,""
125,"DualWield3",46493,[14878],60,0,0,8881,""
126,"DualWield4",7972,[14901],20,0,0,8881,""
127,"DualWield5",60440,[14903],15,0,0,8881,""
128,"DualWield6",33959,"[14908,14909]",20,20,0,8881,""
129,"Duration1",17852,[14911],10,0,0,8881,""
130,"Duration2",21730,[14912],-10,0,0,8881,""
131,"Duration3",24352,[6331],15,0,0,8881,""
132,"Duration4",14881,[620],20,0,0,8881,""
133,"Elemental1",48385,[14929],-18,0,0,8881,""
134,"Elemental2",4119,[1667],-60,0,0,8881,""
135,"Elemental3",59343,[17764],-50,0,0,8881,""
136,"Elemental4",17942,[17765],25,0,0,8881,""
137,"Elemental5",30502,[17766],1,0,0,8881,""
138,"Elemental6",25681,[17767],3,0,0,8881,""
139,"EnergyShield1",51424,"[1733,1209]",1,30,0,8881,""
140,"EnergyShield2",30520,[18279],-10,0,0,8881,""
141,"EnergyShield3",571,[20156],50,0,0,8881,""
142,"EnergyShield4",35810,[1408],120,0,0,8881,""
143,"EnergyShield5",29586,[15121],30,0,0,8881,""
144,"EnergyShield6",31556,[18303],100,0,0,8881,""
145,"Evasion1",25487,[7664],1,0,0,8881,""
146,"Evasion2",37190,[4635],40,0,0,8881,""
147,"Evasion3",6462,[6756],10,0,0,8881,""
148,"Evasion4",61741,"[4428,5266,12017]",30,30,30,8881,""
149,"Evasion5",57074,[15271],15,0,0,8881,""
150,"Evasion6",28676,[15268],100,0,0,8881,""
151,"EvasionEnergyShield1",11541,[15119],30,0,0,8881,""
152,"EvasionEnergyShield2",46099,[15120],20,0,0,8881,""
153,"EvasionEnergyShield3",47151,"[18357,18358]",20,40,0,8881,""
154,"EvasionEnergyShield4",38423,[18360],100,0,0,8881,""
155,"EvasionEnergyShield5",4606,"[18362,18359]",1,1,0,8881,""
156,"EvasionEnergyShield6",27103,[18361],1,0,0,8881,""
157,"Fire1",24180,[14881],-5,0,0,8881,""
158,"Fire2",65020,[481],40,0,0,8881,""
159,"Fire3",37,[18212],3,0,0,8881,""
160,"Fire4",36313,[18213],50,0,0,8881,""
161,"Fire5",55308,[18214],60,0,0,8881,""
162,"Fire6",6216,"[18215,18216]",1,100,0,8881,""
163,"Flask1",29214,"[10954,9957]",1,1,0,8881,""
164,"Flask2",59906,[9952],1,0,0,8881,""
165,"Flask3",11869,[14899],1,0,0,8881,""
166,"Flask4",40906,[3626],25,0,0,8881,""
167,"Flask5",20464,[4746],100,0,0,8881,""
168,"Flask6",10815,[13385],4,0,0,8881,""
169,"Fortify1",37925,[17775],100,0,0,8881,""
170,"Fortify2",51153,[17776],20,0,0,8881,""
171,"Fortify3",27173,[17777],-2,0,0,8881,""
172,"Fortify4",4710,[17778],4,0,0,8881,""
173,"Fortify5",28469,"[2757,14781]",100,-3,0,8881,""
174,"Fortify6",23472,[15048],-10,0,0,8881,""
175,"Impale1",43295,[18306],10,0,0,8881,""
176,"Impale2",56133,[20697],100,0,0,8881,""
177,"Impale3",29209,"[12624,12622]",40,40,0,8881,""
178,"Impale4",43308,"[13088,12623]",4,10,0,8881,""
179,"Impale5",20273,[15122],20,0,0,8881,""
180,"Impale6",36787,[18307],20,0,0,8881,""
181,"Leech1",62252,[17658],10,0,0,8881,""
182,"Leech2",2249,[17659],40,0,0,8881,""
183,"Leech3",5995,[17660],25,0,0,8881,""
184,"Leech4",53627,[17661],25,0,0,8881,""
185,"Leech5",57298,[11930],100,0,0,8881,""
186,"Leech6",52876,[17662],25,0,0,8881,""
187,"Life1",64381,[17638],10,0,0,8881,""
188,"Life2",34242,[17640],15,0,0,8881,""
189,"Life3",47642,[123],30,0,0,8881,""
190,"Life4",31822,[17641],55,0,0,8881,""
191,"Life5",21468,[17642],90,0,0,8881,""
192,"Life6",38454,[17643],15,0,0,8881,""
193,"Link1",59815,[15101],1,0,0,8881,""
194,"Link2",26985,[15104],1,0,0,8881,""
195,"Link3",18365,[18127],1,0,0,8881,""
196,"Link4",46059,[17731],1,0,0,8881,""
197,"Link5",64655,[17929],1,0,0,8881,""
198,"Link6",18435,[17732],1,0,0,8881,""
199,"Lightning1",53046,[483],40,0,0,8881,""
200,"Lightning2",64241,[18209],60,0,0,8881,""
201,"Lightning3",50993,[16451],15,0,0,8881,""
202,"Lightning4",28569,[16791],10,0,0,8881,""
203,"Lightning5",64063,[15302],1,0,0,8881,""
204,"Lightning6",20364,[18210],-1,0,0,8881,""
205,"Mace1",37132,[14884],1,0,0,8881,""
206,"Mace2",17821,[14885],20,0,0,8881,""
207,"Mace3",12139,[14900],1,0,0,8881,""
208,"Mace4",22542,[14930],12,0,0,8881,""
209,"Mace5",40991,[340],50,0,0,8881,""
210,"Mace6",16425,[2606],1,0,0,8881,""
211,"Mana1",2902,[131],300,0,0,8881,""
212,"Mana2",55886,[12024],10,0,0,8881,""
213,"Mana3",59064,[1072],10,0,0,8881,""
214,"Mana4",12119,[213],10,0,0,8881,""
215,"Mana5",64642,[3721],10,0,0,8881,""
216,"Mana6",64875,[14671],12,0,0,8881,""
217,"Mark1",2800,[17832],1,0,0,8881,""
218,"Mark2",34031,[15125],1,0,0,8881,""
219,"Mark3",48980,[15445],10,0,0,8881,""
220,"Mark4",50841,[17833],1,0,0,8881,""
221,"Mark5",52153,[12402],100,0,0,8881,""
222,"Mark6",23152,[17834],50,0,0,8881,""
223,"Mine1",29161,[10009],2,0,0,8881,""
224,"Mine2",47823,[10010],-2,0,0,8881,""
225,"Mine3",18391,[10084],30,0,0,8881,""
226,"Mine4",21313,[20168],1,0,0,8881,15672
227,"Mine5",533,[15130],1,0,0,8881,""
228,"Mine6",6510,[15132],150,0,0,8881,""
229,"MinionDefence1",61283,[10208],8,0,0,8881,""
230,"MinionDefence2",20153,[14866],1,0,0,8881,""
231,"MinionDefence3",15574,[3114],100,0,0,8881,""
232,"MinionDefence4",58106,[4351],40,0,0,8881,""
233,"MinionDefence5",43400,"[159,15077]",30,-15,0,8881,""
