"rownum","Type","Items"
0,0,"[10134,10136,10135,10137]"
1,1,"[10104,10105,10106,10107,10108,10109]"
2,2,"[10114,10115,10118,10117,10116]"
3,3,"[10123,10124,10125]"
4,4,"[10161,10163,10162]"
5,5,"[10168,10169,10170,10171]"
6,6,"[10176,10177,10178,10179,10180]"
7,7,"[10185,10186,10188,10187]"
8,8,"[10202,10203,10204,10205,10206]"
9,9,"[10154,10155,10156]"
10,10,"[10265,10266,10267,10268,10269]"
11,11,"[10219,10220,10221,10222,10223]"
12,12,"[10146,10147,10149,10148]"
13,14,"[10224,10225,10226]"
14,15,"[10270,10271,10272,10273,10274,10275,10276,10277,10278,10279,10280]"
15,16,"[10260,10261,10262,10263,10264]"
16,23,"[10250,10251,10252,10254,10253]"
17,17,"[10236,10237,10238]"
18,18,"[10239,10241,10240]"
19,19,"[10233,10234,10232,10235]"
20,20,"[10246,10247,10249,10248]"
21,13,"[10255,10256,10257,10258,10259]"
22,21,"[10227,10228,10230,10229,10231]"
23,24,"[10193,10194,10195,10197,10196]"
24,22,"[10242,10243,10244,10245]"
25,25,"[10281,10282,10283,10284,10285,10286,10287]"
