"rownum","Id","MiscObject","i32","string","string","[i32]","bool","i32","bool","i32","bool","f32","i32","i32","i32","i32","bool","bool","bool"
0,"EpilogueTown",19,36,"Metadata/QuestObjects/MapRoom/Orrery","aux_potralbutton_attachment","[-24,0]",1,20,1,5,"",0,0,0,-1308622848,0,"","",""
1,"Hideout_Small","",18,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","",[],1,0,"",5,"",0,0,0,-1308622848,0,"","",""
2,"Hideout_Large",20,36,"Metadata/Terrain/Missions/Hideouts/Objects/StrDexIntMappingDevice","aux_potralbutton_attachment","[-24,0]",1,20,1,5,"",0,0,0,-1308622848,0,"","",""
3,"Maligaro_Quest",18,36,"Metadata/QuestObjects/Act7/MaligaroOrrery_Main","",[],"",0,1,5,"",0,0,0,-1308622848,0,"","",""
4,"SynthesisBoss1",273,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_FinalBoss","",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
5,"SynthesisGuardian1",273,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian1","",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
6,"SynthesisGuardian2",273,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian2","",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
7,"SynthesisGuardian3",273,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian3","",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
8,"SynthesisGuardian4",273,36,"Metadata/Terrain/Leagues/Synthesis/Objects/BossPortalGenerator_Guardian4","",[],"",0,"",5,"",0,0,0,-1308622848,0,"","",""
9,"MiracleMapDevice",334,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice","aux_potralbutton_attachment","[-14,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
10,"MiracleMapDevice1",334,36,"Metadata/Terrain/Missions/Hideouts/Objects/MapDeviceVariants/MiracleMapDevice1","aux_potralbutton_attachment","[-14,0]",1,0,1,5,"",0,0,0,-1308622848,0,"","",""
