"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,20411,0,11,100,1,6,1,1
1,20412,0,50,100,3,6,1,1
2,20463,0,11,100,1,6,1,1
3,20467,0,11,100,1,6,1,1
4,20468,0,11,100,1,6,1,1
5,20469,0,11,100,1,6,1,1
6,20470,0,11,100,1,6,1,1
7,20475,0,11,100,1,6,1,1
8,20478,150,11,100,1,3,1,1
9,20479,150,25,100,4,5,1,1
10,20480,75,68,100,6,7,1,1
11,20481,150,11,100,1,3,1,1
12,20482,150,25,100,4,5,1,1
13,20483,75,68,100,6,7,1,1
14,20484,150,11,100,1,3,1,1
15,20485,150,25,100,4,5,1,1
16,20486,75,68,100,6,7,1,1
17,20477,75,68,100,3,6,1,1
18,20487,150,40,100,1,3,1,1
19,20488,75,68,100,4,5,1,1
20,20476,37,68,100,6,7,1,1
21,20465,0,11,100,1,3,1,1
22,20489,0,25,100,4,5,1,1
23,20490,0,68,100,6,7,1,1
24,20491,0,68,100,6,7,1,1
25,20471,0,11,100,1,3,1,1
26,20492,0,25,100,4,5,1,1
27,20493,0,68,100,6,7,1,1
28,20466,150,11,100,1,3,1,1
29,20494,75,40,100,4,5,1,1
30,20495,37,68,100,6,7,1,1
31,20472,150,11,100,1,6,1,1
32,20473,75,68,100,4,7,1,1
33,20496,150,68,100,3,7,1,1
