"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestFlag","IsDisabled","AchievementItems","LeagueQuestFlag1","LeagueQuestFlag2","LeagueQuestFlag3","DowngradeFlag1","DowngradeFlag2","DowngradeFlag3"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6425],[1],[221],"Captain Tanner Lightfoot",[100],[191],"Glace",[2588],[-50],"Soul of the Brine King",[30],1164,"",[6981],1324,1325,1326,3178,3179,3180
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Maligaro the Mutilator","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[541],[-10],[5833],"Hybrid Widow",[20],[6331],"Shadow of the Vaal",[6089],[40],"Soul of Arakaali",[20],1294,"",[6981],1327,1328,1329,3181,3182,3183
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Kitava, The Destroyer","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6154,6155]","[6,20]",[6156],"The Gorgon",[1],[6157],"Jorus, Sky's Edge",[6160],[50],"Soul of Solaris",[-8],1426,"",[6981],1330,1331,1332,3184,3185,3186
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Sebbert, Crescent's Point","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6161,6162]","[1,1]",[6163],"Khor, Sister of Shadows",[-6],[15288],"It That Fell",[6165],[100],"Soul of Lunaris",[10],1426,"",[6981],1333,1334,1335,3187,3188,3189
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,1,[],1,1,1,"","",""
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,1,[],1,1,1,"","",""
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[14640],[-60],"[6909,5834]","",[],[],"",[],[],"Soul of Abberath","[1,10]",1200,"",[],1336,1,1,3190,"",""
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,1,[],1,1,1,"","",""
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5843],[1],[6146],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1386,"",[],1337,1,1,3191,"",""
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10881,14641]","[-50,50]",[1276],"",[],[],"",[],[],"Soul of Yugul",[-30],1438,"",[],1338,1,1,3192,"",""
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Terror of the Infinite Drifts","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[11774,11775]","[-50,3]","[3420,6515]","",[],[],"",[],[],"Soul of Shakari","[-5,-25]",1629,"",[],1339,1,1,3193,"",""
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5836],[3],[11732],"",[],[],"",[],[],"Soul of Tukohama",[120],1175,"",[],1340,1,1,3194,"",""
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],71,1,[],1,1,1,"","",""
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6153,3381]","[-25,1]",[14284],"",[],[],"",[],[],"Soul of Ralakesh",[1],1273,"",[],1341,1,1,3195,"",""
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[3586],[-60],"[2399,5847]","",[],[],"",[],[],"Soul of Garukhan","[1,100]",1566,"",[],1342,1,1,3196,"",""
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Gorulis, Will-Thief","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5839,5840]","[3,60]",[15820],"",[],[],"",[],[],"Soul of Ryslatha",[-50],1193,"",[],1343,1,1,3197,"",""
