"rownum","Mod","Categories","DestroyAchievements"
0,25543,[0],[]
1,25544,[0],[8128]
2,25545,[0],[8117]
3,25546,[0],[8129]
4,25547,[0],[8130]
5,25548,[0],[8125]
6,25549,[0],[8120]
7,25550,[0],[8122]
8,25551,[0],[8123]
9,25552,[0],[8124]
10,25553,[0],[8126]
11,25554,[1],[]
12,25555,[1],[8119]
13,25556,[1],[8118]
14,25557,[3],[]
15,25558,[0],[8127]
16,25559,[0],[8131]
17,25560,[0],[8132]
18,25561,[1],[8133]
19,25562,[0],[]
20,25563,[0],[]
21,25564,[0],[]
22,25565,[0],[8134]
23,25566,[0],[]
24,25567,[0],[8121]
25,25568,[0],[8135]
26,25569,[0],[8115]
27,25570,[0],[8114]
28,25571,[0],[8113]
29,25572,[0],[8116]
30,25573,[0],[8136]
31,25574,[0],[8137]
32,25575,[0],[8138]
33,25576,[0],[8139]
34,25577,[0],[8140]
35,25578,[0],[8141]
36,25579,[0],[8142]
37,25580,[0],[8143]
38,25581,[3],[]
39,25591,[3],[]
40,25590,[3],[]
41,25582,[0],[]
42,25583,[2],[]
43,25584,[0],[]
44,25585,[2],[]
45,25586,[0],[]
46,25587,[0],[]
47,25588,[0],[]
48,25589,[0],[]
49,25592,[0],[]
50,25593,[2],[]
51,25594,[0],[]
52,25595,[2],[]
53,25605,[1],[]
54,25606,[1],[]
55,25607,[1],[]
56,25608,[1],[]
57,25609,[2],[]
58,25610,[2],[]
59,25611,[2],[]
60,25612,[2],[]
61,25635,[1],[]
62,25613,[2],[]
63,25614,[2],[]
64,25615,[2],[]
65,25616,[1],[]
66,25617,[1],[]
67,25618,[1],[]
68,25636,[1],[]
69,25637,[1],[]
70,25638,[1],[]
71,25639,[1],[]
72,25640,[1],[]
73,25641,[1],[]
74,25642,[1],[]
75,25643,[1],[]
76,25644,[1],[]
77,25645,[1],[]
78,25629,[1],[]
79,25630,[1],[]
80,25632,[1],[]
81,25633,[1],[]
82,25631,[2],[]
83,25634,[2],[]
84,25646,[2],[]
85,25647,[2],[]
86,25648,[2],[]
87,25649,[2],[]
88,25650,[2],[]
89,25651,[2],[]
90,25652,[2],[]
91,25653,[2],[]
92,25654,[2],[]
93,25655,[2],[]
94,25656,[2],[]
95,25540,[0],[]
96,25542,[0],[]
97,25541,[0],[]
98,25506,[1],[]
99,25508,[1],[]
100,25510,[1],[]
101,25512,[1],[]
102,25514,[1],[]
103,25516,[1],[]
104,25518,[1],[]
105,25520,[1],[]
106,25522,[1],[]
107,25524,[1],[]
108,25526,[1],[]
109,25528,[1],[]
110,25530,[1],[]
111,25532,[1],[]
112,25534,[1],[]
113,25536,[1],[]
114,25538,[1],[]
115,25619,[1],[]
116,25621,[1],[]
117,25623,[1],[]
118,25625,[1],[]
119,25620,[2],[]
120,25622,[2],[]
121,25624,[2],[]
122,25626,[2],[]
123,25507,[2],[]
124,25509,[2],[]
125,25511,[2],[]
126,25513,[2],[]
127,25515,[2],[]
128,25517,[2],[]
129,25519,[2],[]
130,25521,[2],[]
131,25523,[2],[]
132,25525,[2],[]
133,25527,[2],[]
134,25529,[2],[]
135,25531,[2],[]
136,25533,[2],[]
137,25535,[2],[]
138,25537,[2],[]
139,25539,[2],[]
140,25627,[1],[]
141,25628,[2],[]
142,25596,[3],[]
143,25597,[0],[]
144,25598,[0],[]
145,25599,[0],[]
146,25600,[0],[]
147,25601,[3],[]
148,25602,[3],[]
149,25603,[0],[]
150,25604,[2],[]
