"rownum","Width","Height","i32","Item"
0,1,1,0,5347
1,1,2,0,5348
2,1,3,0,5349
3,1,4,0,5350
4,2,1,0,5351
5,2,2,0,5352
6,2,3,0,5353
7,2,4,0,5354
8,3,1,0,5357
9,3,2,0,5355
10,3,3,0,5356
11,4,1,0,5358
12,1,1,1,5381
13,1,2,1,5382
14,1,3,1,5383
15,1,4,1,5384
16,2,1,1,5385
17,2,2,1,5386
18,2,3,1,5387
19,2,4,1,5388
20,3,1,1,5390
21,3,2,1,5389
22,4,1,1,5391
23,1,1,2,5359
24,1,2,2,5360
25,1,3,2,5361
26,1,4,2,5362
27,2,1,2,5363
28,2,2,2,5364
29,2,3,2,5365
30,2,4,2,5366
31,3,2,2,5367
32,3,1,2,5368
33,4,1,2,5369
34,1,1,3,5370
35,1,2,3,5371
36,1,3,3,5372
37,1,4,3,5373
38,2,1,3,5374
39,2,2,3,5375
40,2,3,3,5376
41,2,4,3,5377
42,3,2,3,5378
43,3,1,3,5379
44,4,1,3,5380
