"rownum","Id","Description","BestiaryRecipeComponentKeys","Notes","Category","bool","Achievements","bool","i32","i32","GameMode","FlaskMod"
0,"EinharMasterCraft1","A Stack of 8 Chromatic Orbs",[16],"",0,"",[8667],1,0,1,1,""
1,"EinharMasterCraft2","A Stack of 4 Jeweller's Orbs",[32],"",0,"",[8667],1,0,1,1,""
2,"EinharMasterCraft3","Orb of Fusing",[31],"",0,"",[8667],1,0,1,1,""
3,"EinharMasterCraft4","Item",[33],"",1,"",[8667],1,0,1,1,""
4,"EinharMasterCraft5","Ring",[1],"",1,"",[8667],1,0,1,1,""
5,"EinharMasterCraft6","Amulet",[4],"",1,"",[8667],1,0,1,1,""
6,"EinharMasterCraft7","Belt",[5],"",1,"",[8667],1,0,1,1,""
7,"EinharMasterCraft8","Flask",[6],"",1,"",[8667],1,0,1,1,""
8,"EinharMasterCraft9","Helmet",[10],"",1,"",[8667],1,0,1,1,""
9,"EinharMasterCraft10","Body Armour",[11],"",1,"",[8667],1,0,1,1,""
10,"EinharMasterCraft11","Boots",[14],"",1,"",[8667],1,0,1,1,""
11,"EinharMasterCraft12","Gloves",[26],"",1,"",[8667],1,0,1,1,""
12,"EinharMasterCraft13","Talisman",[29],"",2,"",[8667],1,0,1,1,""
13,"EinharMasterCraft14","Claw or Dagger",[30],"",1,"",[8667],1,0,1,1,""
14,"EinharMasterCraft15","Mace or Sceptre",[18],"",1,"",[8667],1,0,1,1,""
15,"EinharMasterCraft16","Shield or Quiver",[23],"",1,"",[8667],1,0,1,1,""
16,"EinharMasterCraft17","Sword or Axe",[19],"",1,"",[8667],1,0,1,1,""
17,"EinharMasterCraft18","Staff",[21],"",1,"",[8667],1,0,1,1,""
18,"EinharMasterCraft20","Bow",[13],"",1,"",[8667],1,0,1,1,""
19,"EinharMasterCraft21","Wand",[22],"",1,"",[8667],1,0,1,1,""
20,"EinharMasterCraft22","Map",[12],"",1,"",[8667],1,0,1,1,""
21,"EinharMasterCraft23","23% Quality Corrupted Gem",[8],"",3,"",[8667],"",1,1,1,""
22,"EinharMasterCraft24","Level 21 Corrupted Gem",[9],"",3,"",[8667],"",1,1,1,""
23,"EinharMasterCraft25","Fully-linked Six-socket Rare",[15],"",3,"",[8667],"",1,1,1,""
24,"EinharMasterCraft26","A Stack of 10 Random Currency",[20],"",0,"",[8667],"",1,1,1,""
25,"EinharMasterCraft27","Of a Magic Item",[36],"",4,"",[8667],"",1,1,1,""
26,"EinharMasterCraft28","To have 30% Quality",[28],"",5,"",[8667],"",1,1,1,""
27,"EinharMasterCraft29","from an Amulet into a Talisman",[2],"Does not work on Influenced items",6,"",[8667],"",1,1,1,""
28,"EinharMasterCraft30","Add a Suffix, Remove a Random Prefix",[3],"Only works on rare items",7,"",[9950],"",1,1,1,""
29,"EinharMasterCraft31","Add a Prefix, Remove a Random Suffix",[7],"Only works on rare items",7,"",[9950],"",1,1,1,""
30,"EinharMasterCraft32","Into Two Items, with Half the Mods on Each Item",[24],"Does not work on Influenced or Split items",8,"",[8667],"",1,1,1,""
31,"EinharMasterCraft33","Into Another Random Unique Item",[27],"",9,"",[8667],"",1,1,1,""
32,"EinharMasterCraftFlask1","Adds \""of Convection\""",[185],"Requires Flask to have no existing Suffix",10,"",[8667],"",1,0,1,27110
33,"EinharMasterCraftFlask2","Adds \""of Damping\""",[185],"Requires Flask to have no existing Suffix",10,"",[8667],"",1,0,1,27114
34,"EinharMasterCraftFlask3","Adds \""of Sealing\""",[185],"Requires Flask to have no existing Suffix",10,"",[8667],"",1,0,1,27102
35,"EinharMasterCraftFlask4","Adds \""of Earthing\""",[185],"Requires Flask to have no existing Suffix",10,"",[8667],"",1,0,1,27106
36,"EinharMasterCraftFlask5","Adds \""of the Antitoxin\""",[185],"Requires Flask to have no existing Suffix",10,"",[8667],"",1,0,1,27118
37,"EinharMasterCraftFlask6","Adds \""of Warding\""",[185],"Requires Flask to have no existing Suffix",10,"",[8667],"",1,0,1,6572
38,"EinharMasterCraftFlask7","Adds \""of the Lizard\""",[185],"Requires Flask to have no existing Suffix",11,"",[8667],"",1,0,1,27138
39,"EinharMasterCraftFlask8","Adds \""of the Skunk\""",[185],"Requires Flask to have no existing Suffix",11,"",[8667],"",1,0,1,27126
40,"EinharMasterCraftFlask9","Adds \""of the Conger\""",[185],"Requires Flask to have no existing Suffix",11,"",[8667],"",1,0,1,27129
41,"EinharMasterCraftFlask10","Adds \""of the Deer\""",[185],"Requires Flask to have no existing Suffix",11,"",[8667],"",1,0,1,27132
