"rownum","Item","TriggeredQuestFlag","rid","i32","[rid]","bool","bool","rid","rid","Script","rid","rid","i32"
0,10547,2284,"",225,[],"","","","","","","",1464
1,10548,1870,"",351,[],"","","","","","","",1464
2,10549,1869,"",352,[],"","","","","","","",1464
3,10562,2301,"",979,[],"",1,888,"","","","",1464
4,10563,2302,"",980,[],"",1,888,"","","","",1464
5,10564,2303,"",981,[],"",1,888,"","","","",1464
6,10565,2304,"",982,[],"",1,888,"","","","",1464
7,6574,2583,"",1156,[],"","",903,"","","","",1464
8,6575,2584,"",1157,[],"","",904,"","","","",1464
9,6576,2594,"",1160,[],"","",905,"","","","",1464
10,11106,953,"",207,[],"",1,890,"","","","",1464
11,11108,954,"",212,[],"",1,6146,"","","","",1464
12,11110,955,"",323,[],"",1,891,"","","","",1464
13,11112,956,"",328,[],"",1,6147,"","","","",1464
14,6476,2007,"",662,[],"","",886,900,"skill_book","","",1464
15,6477,2008,"",663,[],"","",886,900,"skill_book","","",1464
16,6478,2009,"",664,[],"","",886,900,"skill_book","","",1464
17,6479,2010,"",665,[],"","",886,900,"skill_book","","",1464
18,6480,2012,"",675,[],"","",886,900,"skill_book","","",1464
19,6481,2013,"",676,[],"","",886,900,"skill_book","","",1464
20,6577,1518,1516,1464,[],"","",906,"","sentinel_controller","","",1464
21,11244,2160,"",416,[],"","",908,"","","","",1464
22,6572,3220,"",1464,[],"","",7363,"","","","",1464
23,6573,3221,"",1464,[],"","",7363,"","","","",1464
