"rownum","BaseItemTypesKey","bool","[rid]"
0,16,"",[]
1,0,"",[]
2,2,"",[]
3,10,"",[]
4,17,"",[]
5,31,"",[]
6,32,"",[]
7,33,"",[]
8,34,"",[]
9,218,"",[]
10,219,"",[]
11,220,"",[]
12,221,"",[]
13,222,"",[]
14,223,"",[]
15,224,"",[]
16,225,"",[]
17,226,"",[]
18,227,"",[]
19,11,"",[]
20,12,"",[]
21,7,"",[]
22,8,"",[]
23,25,"",[]
24,26,"",[]
25,9,1,[]
26,13,1,[]
27,29,1,[]
28,45,1,[]
29,19,1,[]
30,27,"",[]
31,7663,1,[]
32,211,1,[]
33,7628,1,[]
34,7629,1,[]
35,7630,1,[]
36,7631,1,[]
37,7632,1,[]
38,7633,1,[]
39,7635,1,[]
40,7634,1,[]
41,207,1,[]
42,208,1,[]
43,204,1,[]
44,205,1,[]
45,206,1,[]
46,194,1,[]
47,195,1,[]
48,196,1,[]
49,197,1,[]
50,198,1,[]
51,5,1,[]
52,8150,1,[]
53,8151,1,[]
54,8152,1,[]
55,7668,1,[]
56,7669,1,[]
57,7670,1,[]
58,7671,1,[]
59,7672,1,[]
60,7673,1,[]
61,18,1,[]
62,38,1,[]
63,15,1,[]
64,212,1,[]
65,213,1,[]
66,7641,1,[]
67,7642,1,[]
68,7643,1,[]
69,7644,1,[]
70,7645,1,[]
71,7646,1,[]
72,7647,1,[]
73,7648,1,[]
74,7649,1,[]
75,7650,1,[]
76,7699,1,[]
77,7700,1,[]
78,7703,1,[]
79,7704,1,[]
