"rownum","rid","[rid]","bool","i32","i32"
0,19080,"[3487,5121,5284,6184,7367]","",0,0
1,19081,"[5281,5278,5272,5275]","",0,0
2,19083,"[6175,6177,6179,6182]","",0,0
3,19084,"[5032,5028,5035,5023]","",0,0
4,19085,"[7354,7357,7360,7363]","",0,0
5,19086,"[7990,8015,8038,8067]","",0,0
6,19115,[8426],1,0,0
7,19116,[8430],1,0,0
8,19117,[8434],1,0,0
9,19119,[6812],"",0,0
10,19140,"[2588,2593,2598,2601,2604,2609,2612,2614,2617,2619,2621,2626,2628,2630,2632,2635,2639,2642,2644,2649,2651,2653,2657,2660,2662,2664,2666,2671,2674,2678,2680,2683,2687,2689]",1,16777216,0
11,19230,[3176],1,0,0
12,19310,[5697],1,0,0
