"rownum","Id","Name","BestiaryGroupsKey","Name2","Icon"
0,"Gargantuans","Gargantuans",3,"Gargantuan","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Gargantuans"
1,"Goatmen","Goatmen",1,"Goatman","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Goatman"
2,"GoatShamans","Goat Shamans",1,"Goat Shaman","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/GoatShamans"
3,"Hellions","Hellions",0,"Hellion","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Hellions"
4,"Wolves","Wolves",2,"Wolf",""
5,"Apes","Apes",1,"Ape","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/BloodMonkey"
6,"Rhoas","Rhoas",5,"Rhoa","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Rhoa"
7,"SandSpitters","Sand Spitters",10,"Sand Spitter",""
8,"SeaWitches","Sea Witches",9,"Sea Witch","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Seawitch"
9,"ShieldCrabs","Shield Crabs",10,"Shield Crab","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/ShieldCrabs"
10,"Snakes","Snakes",6,"Snake",""
11,"Spawn","Spawn",9,"Spawn",""
12,"Spiders","Spiders",8,"Spider","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Spiders"
13,"Maws","Maws",11,"Maw",""
14,"Chimerals","Chimerals",6,"Chimeral","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Iguana"
15,"CarrionQueens","Carrion Queens",7,"Carrion Queen",""
16,"CarrionInsects","Carrion Insects",7,"Carrion Insect",""
17,"Retches","Retches",5,"Retch",""
18,"Goliaths","Goliaths",4,"Goliath","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Spiker"
19,"Devourers","Devourers",7,"Devourer","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/RootSpider"
20,"Watchers","Watchers",9,"Watcher",""
21,"PlummetingUrsae","Plummeting Ursae",3,"Plummeting Ursa","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/DropBear"
22,"Vultures","Vultures",5,"Vulture","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Vulture"
23,"Leapers","Leapers",7,"Leaper",""
24,"KaruiHounds","Karui Hounds",2,"Karui Hound","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Hound"
25,"Pitbulls","Pitbulls",2,"Pitbull","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Pitbull"
26,"Cockerels","Cockerels",5,"Cockerel","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Eyepecker"
27,"Bulls","Bulls",4,"Bull","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Bull"
28,"ApeChieftains","Ape Chieftains",1,"Ape Chieftain","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/BloodChieftain"
29,"Parasites","Parasites",7,"Parasite",""
30,"Crabs","Crabs",10,"Crab",""
31,"Hounds","Hounds",2,"Hound",""
32,"Lurchers","Lurchers",10,"Lurcher","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Lurchers"
33,"Arachnoscorpions","Arachnoscorpions",8,"Arachnoscorpion",""
34,"Rhexes","Rhexes",5,"Rhex",""
35,"Scorpions","Scorpions",8,"Scorpion",""
36,"Lynxes","Lynxes",0,"Lynx",""
37,"Tigers","Tigers",0,"Tiger",""
38,"SpiderCrabs","Spider Crabs",10,"Spider Crab",""
39,"Octopuses","Octopuses",9,"Octopus",""
40,"GemFrog","Gem Frogs",11,"Gem Frog",""
41,"Frog","Frogs",11,"Frog",""
