"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","i32","i32","i32"
0,8543,0,[3],[6739],"",0,1,-30,0,150,800
1,8543,1,[1],"[6744,10590]","",0,1,-30,0,150,800
2,8546,0,[1],[],"",0,1,0,0,150,800
3,8548,0,"[1,3]","[6743,10590]","",0,1,-30,0,150,800
4,8550,0,"[1,3]","[6720,10590]","",0,1,-30,0,150,800
5,8552,0,[2],[1763],"",10,1,-15,0,150,800
6,8554,0,[2],[6725],"",10,1,10,0,150,800
7,8556,0,"[3,1]",[6740],"",0,1,-30,0,150,800
8,8558,0,"[1,3]","[6720,10590]","",0,1,-30,0,150,800
9,8560,0,[2],"[6725,1769]","",10,1,10,0,150,800
10,8562,0,"[3,1]",[6740],"",0,1,-30,0,150,800
11,8563,0,"[1,3]","[6720,10590]","",0,1,-30,0,150,800
12,8564,0,[2],"[6725,1769]","",10,1,10,0,150,800
13,8565,0,"[3,1]",[6741],"",0,1,-30,0,150,800
14,8566,0,"[1,3]",[6720],"",0,1,-30,0,150,800
15,8617,0,"[3,1]","[6774,10590]","",0,1,-30,0,150,800
16,8619,0,[3],"[6775,10590]","",0,1,-30,0,150,800
17,8619,1,[1],[],"",0,1,-30,0,150,800
18,8621,0,"[1,3]","[6776,10590]","",0,1,-30,0,150,800
19,8623,0,"[1,3]","[6777,10590]","",0,1,-30,0,150,800
20,8625,0,[2],[7605],"",10,1,-15,0,150,800
21,8627,0,[2],[4242],"",10,1,10,0,150,800
22,8629,0,[2],[],9142,10,1,5,0,150,800
23,8631,0,"[3,1]","[6774,10590]","",0,1,-30,0,150,800
24,8632,0,[3],"[6775,10590]","",0,1,-30,0,150,800
25,8632,1,[1],[],"",0,1,-30,0,150,800
26,8633,0,"[1,3]","[6776,10590]","",0,1,-30,0,150,800
27,8634,0,"[1,3]","[6777,10590]","",0,1,-30,0,150,800
28,8636,0,[2],[7605],"",10,1,-15,0,150,800
29,8637,0,[2],[4242],"",10,1,10,0,150,800
30,8638,0,[2],[],9142,10,1,5,0,150,800
31,8639,0,[3],"[6775,10590]","",0,1,-30,0,150,800
32,8639,1,[1],[],"",0,1,-30,0,150,800
33,8641,0,"[1,3]","[6777,10590]","",0,1,-30,0,150,800
34,8643,0,"[3,1]",[6778],"",0,1,-15,0,150,800
35,8645,0,[2],[4242],"",10,1,10,0,150,800
36,8647,0,[3],"[6775,10590]","",0,1,-30,0,150,800
37,8647,1,[1],[],"",0,1,-30,0,150,800
38,8648,0,"[1,3]","[6777,10590]","",0,1,-30,0,150,800
39,8649,0,"[3,1]",[6778],"",0,1,-15,0,150,800
40,8650,0,[2],[4242],"",0,1,10,0,150,800
41,8651,0,"[3,1]",[6779],"",0,1,-30,0,150,800
42,8652,0,[2],[4243],"",10,1,10,0,150,800
43,8570,0,[2],[10609],"",0,1,0,0,150,800
44,8577,0,[1],[7621],"",0,1,0,0,150,800
45,8579,0,[1],[7621],"",0,1,0,0,150,800
46,8581,0,[1],[7621],"",0,1,0,0,150,800
47,8584,0,[1],[7621],"",0,1,0,0,150,800
48,8586,1,[2],[646],"",0,1,0,0,150,800
49,8589,0,[1],[7621],"",0,1,0,0,150,800
50,8614,0,[1],[7621],"",0,1,0,0,150,800
51,8573,0,[1],[7621],"",0,1,0,0,150,800
52,8575,0,[1],[7621],"",0,1,0,0,150,800
53,8591,0,[2],[9141],"",0,1,15,0,150,800
54,8592,0,[2],[9141],"",0,1,15,0,150,800
55,8593,0,[2],[9141],"",0,1,15,0,150,800
56,8596,0,[2],[9139],"",0,1,15,0,150,800
57,8598,0,[2],[9139],"",0,1,15,0,150,800
58,8599,0,[2],[9139],"",0,1,15,0,150,800
59,8602,0,[2],[],"",0,1,0,0,150,800
60,8604,0,[2],[],"",0,1,0,0,150,800
61,8605,0,[2],[],"",0,1,0,0,150,800
62,8608,0,[2],[6810],"",5,1,-30,0,150,800
63,8609,0,[2],[6810],"",5,1,-30,0,150,800
64,8610,0,[2],[6810],"",5,1,-30,0,150,800
65,8667,0,[3],[],"",0,1,0,1,150,800
66,8670,0,[1],[],"",0,1,0,1,150,800
67,8671,0,[1],[],"",0,1,0,1,150,800
68,8676,0,[2],[6794],"",0,1,-30,0,150,800
69,8680,0,[2],[7616],"",0,1,-30,0,150,800
