"rownum","string","string","string","string","string","rid"
0,"Recruitment","deco_recruitment","Recruitment","Art/2DArt/UIImages/InGame/Village/JobIcons/RecruitJobIcon","Town Improvements",""
1,"Mining","deco_mining","Mining","Art/2DArt/UIImages/InGame/Village/JobIcons/MiningJobIcon","Mining Improvements",1
2,"Smithing","deco_smithing","Smelting","Art/2DArt/UIImages/InGame/Village/JobIcons/SmithingJobIcon","Smelting Improvements",2
3,"Farming","deco_farming","Farming","Art/2DArt/UIImages/InGame/Village/JobIcons/FarmingJobIcon","Farming Improvements",3
4,"Shipping","deco_shipping","Shipping","Art/2DArt/UIImages/InGame/Village/JobIcons/ShippingJobIcon","Shipping Improvements",6
5,"Disenchanting","deco_disenchanting","Disenchanting","Art/2DArt/UIImages/InGame/Village/JobIcons/DisenchantingJobIcon","Disenchanting Improvements",4
6,"Mapping","deco_mapping","Mapping","Art/2DArt/UIImages/InGame/Village/JobIcons/MapRunningJobIcon","Mapping Improvements",5
7,"Runecrafting","deco_runecrafting","Runesmithing","Art/2DArt/UIImages/InGame/Village/JobIcons/RuneCraftingJobIcon","Runesmithing Improvements",""
8,"Recombinating","deco_recombinating","Recombinating","Art/2DArt/UIImages/InGame/Village/JobIcons/RecombinateJobIcon","Recombinating Improvements",""
9,"Fishing","deco_fishing","Fishing","Art/2DArt/UIImages/InGame/Village/JobIcons/FishingJobIcon","Fishing Improvements",""
