"rownum","InfluenceMod","UpgradedMod","HighestTier"
0,15007,25086,1
1,15008,25087,1
2,15009,15010,""
3,15010,25088,1
4,15011,15012,""
5,15012,25089,1
6,15013,15014,""
7,15014,25090,1
8,15015,25091,1
9,15017,25092,1
10,15019,15020,""
11,15020,25093,1
12,15021,15022,""
13,15022,25094,1
14,15023,25095,1
15,15024,15025,""
16,15025,25096,1
17,15026,15027,""
18,15027,25097,1
19,15028,15029,""
20,15029,25098,1
21,15030,15031,""
22,15031,25099,1
23,15032,15033,""
24,15033,25100,1
25,15034,15035,""
26,15035,25101,1
27,15036,15037,""
28,15037,25102,1
29,15038,15039,""
30,15039,25103,1
31,15040,15041,""
32,15041,25104,1
33,15042,15043,""
34,15043,25105,1
35,21191,21192,""
36,21192,25106,1
37,21267,21268,""
38,21268,25107,1
39,21269,25108,1
40,21273,21274,""
41,21274,25111,1
42,21275,25112,1
43,21276,21277,""
44,21277,25113,1
45,21278,21279,""
46,21279,25114,1
47,21280,21281,""
48,21281,25115,1
49,21282,25116,1
50,21283,25117,1
51,21284,21285,""
52,21285,21286,""
53,21286,25118,1
54,21287,21288,""
55,21288,25119,1
56,21289,25120,1
57,21290,21291,""
58,21291,25121,1
59,21292,21293,""
60,21293,25122,1
61,21294,25123,1
62,21295,21296,""
63,21296,25124,1
64,21297,25125,1
65,21298,25126,1
66,21299,25127,1
67,21300,21301,""
68,21301,25128,1
69,21302,25129,1
70,21303,21304,""
71,21304,25130,1
72,21305,21306,""
73,21306,25131,1
74,21307,21308,""
75,21308,25132,1
76,21309,21310,""
77,21310,25133,1
78,21311,21312,""
79,21312,25134,1
80,21313,25136,1
81,21314,25137,1
82,21315,21316,""
83,21316,25138,1
84,21317,21318,""
85,21318,25139,1
86,21319,21320,""
87,21320,25140,1
88,21321,21322,""
89,21322,25141,1
90,14940,14941,""
91,14941,14942,""
92,14942,25142,1
93,14943,14944,""
94,14944,14945,""
95,14945,25143,1
96,14946,14947,""
97,14947,25144,1
98,14948,14949,""
99,14949,14950,""
100,14950,25145,1
101,14951,14952,""
102,14952,14953,""
103,14953,25146,1
104,14957,14958,""
105,14958,14959,""
106,14959,25148,1
107,14960,14961,""
108,14961,14962,""
109,14962,25149,1
110,14963,14964,""
111,14964,14965,""
112,14965,25150,1
113,14966,14967,""
114,14967,14968,""
115,14968,25151,1
116,14969,14970,""
117,14970,14971,""
118,14971,25152,1
119,14972,14973,""
120,14973,14974,""
121,14974,25153,1
122,14975,14976,""
123,14976,25154,1
124,14977,25155,1
125,14978,14979,""
126,14979,14980,""
127,14980,25156,1
128,14981,14982,""
129,14982,14983,""
130,14983,25157,1
131,14984,14985,""
132,14985,14986,""
133,14986,25158,1
134,14987,14988,""
135,14988,14989,""
136,14989,25159,1
137,14990,14991,""
138,14991,14992,""
139,14992,25160,1
140,14993,14994,""
141,14994,25161,1
142,14995,14996,""
143,14996,25162,1
144,14997,14998,""
145,14998,25163,1
146,14999,15000,""
147,15000,15001,""
148,15001,25164,1
149,15002,15003,""
150,15003,15004,""
151,15004,25165,1
152,15005,25166,1
153,15006,25167,1
154,21080,21081,""
155,21081,25168,1
156,21187,21188,""
157,21188,25169,1
158,21193,21194,""
159,21194,25171,1
160,21195,25172,1
161,21196,21197,""
162,21197,25173,1
163,21198,21199,""
164,21199,25174,1
165,21200,25175,1
166,21201,21202,""
167,21202,21203,""
168,21203,25176,1
169,21204,21205,""
170,21205,21206,""
171,21206,25177,1
172,21207,21208,""
173,21208,21209,""
174,21209,25178,1
175,21210,25179,1
176,21211,21212,""
177,21212,25180,1
178,21213,21214,""
179,21214,21215,""
180,21215,25181,1
181,21216,21217,""
182,21217,25182,1
183,21218,25183,1
184,21219,21220,""
185,21220,21221,""
186,21221,25184,1
187,21222,21223,""
188,21223,25185,1
189,21224,25186,1
190,21225,21226,""
191,21226,21227,""
192,21227,25187,1
193,21228,21229,""
194,21229,25188,1
195,21230,21231,""
196,21231,25189,1
197,21232,25190,1
198,21233,25191,1
199,21234,21236,""
200,21236,25192,1
201,21238,21239,""
202,21239,25194,1
203,21240,21241,""
204,21241,25195,1
205,21242,21243,""
206,21243,25196,1
207,21244,21245,""
208,21245,25197,1
209,21246,21247,""
210,21247,21248,""
211,21248,25198,1
212,21249,21250,""
213,21250,21251,""
214,21251,25199,1
215,21252,21253,""
216,21253,21254,""
217,21254,25200,1
218,21255,21256,""
219,21256,21257,""
220,21257,25201,1
221,21258,21259,""
222,21259,21260,""
223,21260,25202,1
224,21261,25203,1
225,21262,21263,""
226,21263,25204,1
227,21264,25205,1
228,21265,25206,1
229,21266,25207,1
230,14877,14878,""
231,14878,14879,""
232,14879,25208,1
233,14880,14881,""
234,14881,14882,""
235,14882,25209,1
236,14883,14884,""
237,14884,14885,""
238,14885,25210,1
239,14886,25211,1
240,14887,14888,""
241,14888,14889,""
242,14889,25212,1
243,14890,14891,""
244,14891,14892,""
245,14892,25213,1
246,14893,14894,""
247,14894,14895,""
248,14895,25214,1
249,14896,25215,1
250,14901,14902,""
251,14902,14903,""
252,14903,25218,1
253,14904,14905,""
254,14905,14906,""
255,14906,25219,1
256,14907,14908,""
257,14908,14909,""
258,14909,25220,1
259,14910,14911,""
260,14911,14912,""
261,14912,25221,1
262,14913,14914,""
263,14914,14915,""
264,14915,25222,1
265,14916,14917,""
266,14917,14918,""
267,14918,25223,1
268,14919,14920,""
269,14920,14921,""
270,14921,25224,1
271,14922,14923,""
272,14923,25225,1
273,14926,14927,""
274,14927,14928,""
275,14928,25226,1
276,14929,14930,""
277,14930,25227,1
278,14931,14932,""
279,14932,14933,""
280,14933,25228,1
281,14934,14935,""
282,14935,14936,""
283,14936,25229,1
284,14937,14938,""
285,14938,14939,""
286,14939,25230,1
287,18419,18420,""
288,18420,25231,1
289,18433,18434,""
290,18434,25232,1
291,18448,18449,""
292,18449,25233,1
293,18464,18465,""
294,18465,25234,1
295,21071,21072,""
296,21072,21073,""
297,21073,25235,1
298,21116,21117,""
299,21117,25236,1
300,21120,21121,""
301,21121,25238,1
302,21122,21123,""
303,21123,25239,1
304,21124,21125,""
305,21125,25240,1
306,21126,25241,1
307,21127,25242,1
308,21128,21129,""
309,21129,21130,""
310,21130,25243,1
311,21131,21132,""
312,21132,21133,""
313,21133,25244,1
314,21134,25245,1
315,21135,21136,""
316,21136,21137,""
317,21137,25246,1
318,21138,21139,""
319,21139,21140,""
320,21140,25247,1
321,21141,21142,""
322,21142,21143,""
323,21143,25248,1
324,21144,21145,""
325,21145,21146,""
326,21146,25249,1
327,21147,25250,1
328,21148,21149,""
329,21149,25251,1
330,21150,25252,1
331,21151,21152,""
332,21152,25253,1
333,21153,21154,""
334,21154,25254,1
335,21155,21156,""
336,21156,25255,1
337,21157,21158,""
338,21158,25256,1
339,21159,21160,""
340,21160,25257,1
341,21161,21162,""
342,21162,21163,""
343,21163,25258,1
344,21164,21165,""
345,21165,25259,1
346,21166,21167,""
347,21167,25260,1
348,21168,25261,1
349,21169,25262,1
350,21170,25263,1
351,21171,25264,1
352,21172,21173,""
353,21173,25265,1
354,21175,21176,""
355,21176,25266,1
356,21177,21178,""
357,21178,25267,1
358,21179,21180,""
359,21180,25268,1
360,21181,21182,""
361,21182,25269,1
362,21183,21184,""
363,21184,25270,1
364,21185,21186,""
365,21186,25271,1
366,21403,25272,1
367,14839,25273,1
368,14840,25274,1
369,14841,25275,1
