"rownum","rid","rid","rid","rid","rid","i32","i32","i32","i32"
0,8760,"",43,"",73,-1,0,0,0
1,6183,"",22,"",13,-1,0,5000,0
2,6184,"",22,"",13,-1,0,5000,0
3,7988,"",45,"","",0,0,1500,2500
4,7990,"",45,"","",0,0,1500,2500
5,8013,"",10,"","",0,0,1450,2500
6,8015,"",10,"","",0,0,1450,2500
7,8036,"",32,"","",0,0,2250,2500
8,8038,"",32,"","",0,0,2250,2500
9,8065,"",22,"","",0,0,1750,2500
10,8067,"",22,"","",0,0,1750,2500
11,9325,"","","","",0,0,0,3000
12,9318,"",24,"","",0,0,2000,1500
13,9315,"",33,"","",0,0,2720,1700
14,9319,"",22,"",34,-1,0,2850,2000
15,8761,"",73,"","",0,0,-1,0
16,8973,"","","",22,5000,0,0,0
17,6514,"","","",64,-1,0,0,400
18,146,"","","","",0,0,0,480
19,1377,"","","","",0,0,0,3000
20,1627,"","","","",0,0,0,2000
21,5586,"",32,"",51,0,0,1750,14000
