"rownum","Id","Name","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportName","GemTags","Consumed_ModsKey","ItemColor"
0,"Fireball","",0,"","","","","","[11,25,5,4,14,0]","",3
1,"FireballAltX","[DNT] FireballAltX",1,"","","","","","[11,25,5,4,14]","",1
2,"FireballAltY","[DNT] FireballAltY",2,"","","","","","[11,25,5,4,14,0]","",2
3,"VaalFireball","",3190,"",0,"","","","[11,25,5,4,14,24,0]","",3
4,"VaalFireballAltX","Vaal Fireball",3190,"",1,"","","","[11,25,5,4,14,24,0]","",1
5,"VaalFireballAltY","Vaal Fireball",3190,"",2,"","","","[11,25,5,4,14,24,0]","",2
6,"IceNova","",60,"","","","","","[11,25,4,14,1,38]","",3
7,"IceNovaAltX","Ice Nova of Frostbolts",61,"","","","","","[11,25,4,14,1,38]","",1
8,"IceNovaAltY","Ice Nova of Deep Freeze",62,"","","","","","[11,25,4,14,1,38]","",2
9,"Icefire","",5529,"","","","","","[11,25,4,14,5]","",3
10,"VaalIceNova","",72,"",60,"","","","[11,25,4,14,24,1,38]","",3
11,"VaalIceNovaAltX","Vaal Ice Nova",72,"",61,"","","","[11,25,4,14,24,1,38]","",1
12,"VaalIceNovaAltY","Vaal Ice Nova",72,"",62,"","","","[11,25,4,14,24,1,38]","",2
13,"LeapSlam","",102,105,"","","","","[9,25,13,14,22,35,40,7]","",3
14,"LeapSlamAltX","Leap Slam of Groundbreaking",103,"","","","","","[9,25,13,14,22,35,40,7]","",1
15,"LeapSlamAltY","[DNT] LeapSlamAltY",104,"","","","","","[9,25,13,14,22,35,40,7]","",2
16,"Riptide","",5493,"","","","","","[11,25,4,14,5,1]","",3
17,"ChargedDash","",8794,"","","","","","[10,25,22,14,30,13,2,7]","",3
18,"ChargedDashAltX","[DNT] ChargedDashAltX",8795,"","","","","","[10,25,22,14,30,13,2,7]","",1
19,"ChargedDashAltY","[DNT] ChargedDashAltY",8796,"","","","","","[10,25,22,14,30,13,2,7]","",2
20,"BladeFlurry","",5511,"","","","","","[10,25,13,14,30,7]","",3
21,"BladeFlurryAltX","Blade Flurry of Incision",5512,"","","","","","[47,10,25,13,14,30,7]","",1
22,"BladeFlurryAltY","[DNT] ChargedAttackAltY",5513,"","","","","","[10,25,13,14,30,7]","",2
23,"Sweep","",109,"","","","","","[9,25,13,14,7]","",3
24,"SweepAltX","[DNT] SweepAltX",110,"","","","","","[9,25,13,14,7]","",1
25,"SweepAltY","[DNT] SweepAltY",111,"","","","","","[9,25,13,14,7]","",2
26,"DiscorectangleSlam","",8097,"","","","","","[9,25,13,14,7]","",3
27,"VaalSweep","",113,"","","","","","[9,25,13,14,24,7]","",3
28,"WandTeleport","",5593,"","","","","","[25,4,5,22]","",3
29,"GroundSlam","",8866,"","","","","","[9,25,13,14,40,7]","",3
30,"GroundSlamAltX","Ground Slam of Earthshaking",8867,"","","","","","[9,25,13,14,40,7]","",1
31,"GroundSlamAltY","[DNT] GroundSlamAltY",8868,"","","","","","[9,25,13,14,40,7]","",2
32,"VaalGroundSlam","",8874,"",8866,"","","","[9,25,13,14,24,40,7]","",3
33,"VaalGroundSlamAltX","Vaal Ground Slam",8874,"",8867,"","","","[9,25,13,14,24,40,7]","",1
34,"VaalGroundSlamAltY","Vaal Ground Slam",8874,"",8868,"","","","[9,25,13,14,24,40,7]","",2
35,"Cleave","",175,"","","","","","[9,25,13,14,7]","",3
36,"CleaveAltX","Cleave of Rage",176,"","","","","","[9,25,13,14,7]","",1
37,"CleaveAltY","[DNT] CleaveAltY",177,"","","","","","[9,25,13,14,7]","",2
38,"ShieldCharge","",198,201,"","","","","[9,25,13,14,22,35,33,7]","",3
39,"ShieldChargeAltX","[DNT] ShieldChargeAltX",199,201,"","","","","[9,25,13,14,22,35,33,7]","",1
40,"ShieldChargeAltY","[DNT] ShieldChargeAltY",200,201,"","","","","[9,25,13,14,22,35,33,7]","",2
41,"EnduringCry","",249,"","","","","","[27,9,25,14,15]","",3
42,"DoubleStrike","",261,"","","","","","[10,25,13,7,36,33]","",3
43,"DoubleStrikeAltX","Double Strike of Impaling",262,"","","","","","[10,25,13,7,36,33]","",1
44,"DoubleStrikeAltY","Double Strike of Momentum",263,"","","","","","[10,25,13,7,36]","",2
45,"VaalDoubleStrike","",8864,"",261,"","","","[10,25,13,7,36,15,24,33]","",3
46,"VaalDoubleStrikeAltX","Vaal Double Strike",8864,"",262,"","","","[10,25,13,7,36,15,24,33]","",1
47,"VaalDoubleStrikeAltY","Vaal Double Strike",8864,"",263,"","","","[10,25,13,7,36,15,24,33]","",2
48,"Lacerate","",5567,"","","","","","[10,25,13,14,33,7]","",3
49,"LacerateAltX","Lacerate of Butchering",5568,"","","","","","[10,25,13,14,7]","",1
50,"LacerateAltY","Lacerate of Haemorrhage",5569,"","","","","","[10,25,13,14,33,7]","",2
51,"ElementalHit","",271,"","","","","","[10,25,13,7,36,0,1,2,14,45]","",3
52,"ElementalHitAltX","Elemental Hit of the Spectrum",272,"","","","","","[10,25,13,5,0,1,2,14,6]","",1
53,"ElementalHitAltY","[DNT] ElementalHitAltY",273,"","","","","","[10,25,13,7,36,0,1,2,14,45]","",2
54,"ImmortalCall","",286,"","","","","","[9,25,4,15,34]","",3
55,"VaalImmortalCall","",288,"",286,"","","","[9,25,4,15,24,34]","",3
56,"DualStrike","",293,"","","","","","[47,10,25,13,7,36]","",3
57,"DualStrikeAltX","Dual Strike of Ambidexterity",294,"","","","","","[10,25,13,7,36]","",1
58,"DualStrikeAltY","[DNT] DualStrikeAltY",295,"","","","","","[47,10,25,13,7,36]","",2
59,"WhirlingBlades","",307,310,"","","","","[10,25,13,22,35,7]","",3
60,"WhirlingBladesAltX","[DNT] WhirlingBladesAltX",308,310,"","","","","[10,25,13,22,35,7]","",1
61,"WhirlingBladesAltY","[DNT] WhirlingBladesAltY",309,310,"","","","","[10,25,13,22,35,7]","",2
62,"Frenzy","",344,"","","","","","[10,25,13,5,6]","",3
63,"FrenzyAltX","Frenzy of Onslaught",345,"","","","","","[10,25,13,7,36]","",1
64,"FrenzyAltY","[DNT] FrenzyAltY",346,"","","","","","[10,25,13,5,6]","",2
65,"DetonateDead","",352,"","","","","","[10,25,4,14,0]","",3
66,"DetonateDeadAltX","Detonate Dead of Scavenging",353,"","","","","","[10,25,4,14,0]","",1
67,"DetonateDeadAltY","Detonate Dead of Chain Reaction",354,"","","","","","[10,25,4,14,0]","",2
68,"VaalDetonateDead","",8865,"",352,"","","","[10,25,4,14,24,0]","",3
69,"VaalDetonateDeadAltX","Vaal Detonate Dead",8865,"",353,"","","","[10,25,4,14,24,0]","",1
70,"VaalDetonateDeadAltY","Vaal Detonate Dead",8865,"",354,"","","","[10,25,4,14,24,0]","",2
71,"VolatileDead","",8087,"","","","","","[10,25,4,14,0]","",3
72,"VolatileDeadAltX","Volatile Dead of Confinement",8088,"","","","","","[10,25,4,14,0,15]","",1
73,"VolatileDeadAltY","Volatile Dead of Seething",8089,"","","","","","[10,25,4,14,0]","",2
74,"Unearth","",8098,"","","","","","[10,25,4,5,14,33]","",3
75,"SplitArrow","",372,"","","","","","[10,25,13,5,6]","",3
76,"SplitArrowAltX","Split Arrow of Splitting",373,"","","","","","[10,25,13,5,6]","",1
77,"SplitArrowAltY","[DNT] SplitArrowAltY",374,"","","","","","[10,25,13,5,6]","",2
