"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[6383,6346,6361,1,1]","[6383,6383,1,1]","[6383,6346,6361,1,1]","[6383,6383,1,1]","[6383,6346,6361,1,1]","[6383,6383,1,1]","[6383,6346,6361,1,1]","[6383,6383,1,1]","[6383,6346,6361,1,1]","[6383,6383,1,1]","[6383,6346,6361,1,1]","[6383,6383,1,1]",1326,"[6383,6346,6361,1,1]","[6383,6383,1,1]"
1,"Descent2","[6728,6,5849]","[6728,10,11,11,5848]","[6728,6,5849]","[6728,10,11,11,5848]","[6608,6727,6610,6,5849,6876]","[6608,6727,6610,10,11,11,5848,6876]","[6725,6,5849,6887,6882]","[6725,10,11,11,5848,6887,6882]","[6734,6,5849,6887,6882]","[6734,10,11,11,5848,6887,6882]","[6734,6728,6,5849,6882]","[6734,6728,10,11,11,5848,6882]",1327,"[6728,6734,6,5849,6882]","[6728,6734,10,11,11,5848,6882]"
2,"Descent3","[10,15,10,15,6347,6362,5795,5796,5797,5751,5751,5725,5562,5562,5865]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5752,5753,5725,5562,5562,5865]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5751,5509,5479,5700,5675]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5752,5753,5509,5479,5700,5675]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5751,5509,5509,5618,6401]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5752,5753,5509,5509,5618,6401]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5751,5420,5420,5394,5394]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5752,5753,5420,5420,5394,5394]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5751,5394,5394,5590,5590]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5752,5753,5394,5394,5590,5590]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5751,5590,5590,5647]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5752,5753,5590,5590,5647]",1328,"[10,15,10,15,6347,6362,5795,5796,5797,5751,5751,5590,5590,5700,5479,5479]","[10,15,10,15,6347,6362,5795,5796,5797,5751,5752,5753,5590,5590,5700,5479,5479]"
3,"Descent4","[5794,10,14,1,1,1,6752,6613]","[6,6,6752,6613]","[5794,10,14,1,1,1,6752,6613]","[6,6,6752,6613]","[5794,10,14,1,1,1,6616,6619,6613]","[6,6,6619,6616,6613]","[5794,10,14,1,1,1,6616,6622,6619,6761,6891]","[6,6,6616,6619,6622,6761,6891]","[5794,10,14,1,1,1,6622,6616,6619,6891]","[6,6,6619,6622,6616,6891]","[5794,10,14,1,1,1,6622,6613,6752]","[6,6,6613,6622,6752]",1329,"[5794,10,14,1,1,1,6619,6622,6613]","[6,6,6613,6622,6619]"
4,"Descent5","[6587,0,0,0,0,6,2]","[6587,0,0,0,0,10,11,11,11,11,15,15]","[6587,0,0,0,0,6,2,6601]","[6587,0,0,0,0,10,11,11,11,11,15,15,6601]","[6848,6601,0,0,0,0,6,2]","[6848,6601,0,0,0,0,10,11,11,11,11,15,15]","[6670,0,0,0,0,6,2,6862,6712]","[6862,0,0,0,0,10,11,11,11,11,15,15,6670,6712]","[6670,6862,0,0,0,0,6,2,6712]","[6670,6862,0,0,0,0,10,11,11,11,11,15,15,6712]","[6862,0,0,0,0,6,2,6670,6858,6587]","[6587,6858,0,0,0,0,10,11,11,11,11,15,15,6862,6670]",1330,"[6862,0,0,0,0,6,2,6587,6670]","[6587,0,0,0,0,10,11,11,11,11,15,15,6670,6862]"
5,"Descent6","[5756,6590,6348,6363,6,6,6896]","[5756,6348,6363,6590,11,11,11,11,15,15,6896]","[5756,6590,6348,6363,6758,6,6,6896]","[5756,6758,6348,6363,6590,11,11,11,11,15,15,6896]","[5756,6681,6758,6348,6363,6698,6,6]","[5756,6758,6698,6348,6363,6681,11,11,11,11,15,15]","[5756,6763,6348,6363,6781,6789,6,6,6890,6878]","[5756,6348,6363,6781,6789,6763,11,11,11,11,15,15,6890,6878]","[5756,6699,6348,6363,6789,6692,6586,6,6,6890,6878]","[5756,6586,6348,6363,6692,6789,6699,11,11,11,11,15,15,6890,6878]","[5756,6692,6348,6363,6586,6590,6754,6,6,6896]","[5756,6348,6363,6590,6586,6692,6754,11,11,11,11,15,15,6896]",1331,"[5756,6348,6363,6692,6590,6,6,6896]","[5756,6348,6363,6692,6590,11,11,11,11,15,15,6896]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5564,5564,5866,5726]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5564,5564,5866,5726]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5676,5701,5511,5480]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5676,5701,5511,5480]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5620,5511,5511,6401]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,5620,5511,5511,6401]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5395,5395,5422,5422]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5395,5395,5422,5422]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5395,5395,5592,5592]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5395,5395,5592,5592]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5592,5592,5648]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5592,5592,5648]",1332,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,5592,5592,5480,5480,5701]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,5592,5592,5480,5480,5701]"
7,"Descent8","[6837,6595,6732,5755,5757,5801,5802,5800,2,6,11]","[6837,6595,6732,5755,5757,5801,5802,5800,12,12,10,10,10,11]","[6837,6595,6732,5755,5757,5801,5802,5800,2,6,11]","[6837,6595,6732,5755,5757,12,12,10,10,10,11,5801,5802,5800]","[6837,6838,6602,6732,5755,5757,5801,5802,5800,2,6,11]","[6837,6838,6602,6732,5755,5757,12,12,10,10,10,11,5801,5802,5800]","[6839,6838,6732,5755,5757,5801,5802,5800,2,6,11]","[6839,6838,6732,5755,5757,12,12,10,10,10,11,5801,5802,5800]","[6839,6838,5755,5757,5801,5802,5800,2,6,11]","[6839,6838,5755,5757,12,12,10,10,10,11,5801,5802,5800]","[6837,6839,6595,5755,5757,5801,5802,5800,2,6,11]","[6837,6839,6595,5755,5757,12,12,10,10,10,11,5801,5802,5800]",1333,"[6838,6839,6837,5755,5757,5801,5802,5800,2,6,11]","[6838,6839,6837,5755,5757,12,12,10,10,10,11,5801,5802,5800]"
8,"Descent9","[4,4,4,6,6,5850,6060,6266,5964,6183,6656,6349,6364,6614,6689,4]","[5848,0,0,0,6,6,5727,5565,5867,6614,6689,6349,6364,6656,5565,0]","[4,4,4,6,6,5850,6121,6308,6004,6226,6656,6349,6364,6614,6689,4]","[5848,0,0,0,6,6,5702,5512,6689,6614,6349,6364,6656,5677,5482,0]","[4,4,4,6,6,5850,6081,6280,5978,6198,6787,6349,6364,6614,6689,6656,4]","[5848,0,0,0,6,6,5621,6401,6689,6614,6349,6364,5512,5512,6787,6656,0]","[4,4,4,6,6,5850,6161,6328,6037,6246,6682,6349,6364,6659,6870,4]","[5848,0,0,0,6,6,5849,5423,5423,6659,6870,6349,6364,6682,5396,5396,0]","[4,4,4,6,6,5850,6101,6294,5991,6212,6659,6349,6364,6682,4]","[5848,0,0,0,6,6,5849,6682,6349,6364,6659,5396,5396,5593,5593,0]","[4,4,4,6,6,5850,6141,6318,6020,6236,6659,6656,6349,6364,6614,6682,6689,4]","[5848,0,0,0,6,6,5849,5593,5593,6682,6689,6349,6364,6614,6656,6659,5649,0]",1334,"[4,4,4,6,6,5850,6121,6308,6004,6226,6659,6656,6349,6364,6682,6614,6689,4]","[5848,0,0,0,6,6,5702,6682,6614,6349,6364,6659,6689,6656,5593,5593,5482,5482,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1335,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
