"rownum","Id","Result_BaseItemTypesKey","Ingredients_BaseItemTypesKeys","BK2File","[i32]","i32","bool"
0,"MicrotransactionFireandIceHelmet",1226,"[1216,1221]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
1,"MicrotransactionFireandIceBoots",1227,"[1217,1222]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
2,"MicrotransactionFireandIceGloves",1228,"[1218,1223]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
3,"MicrotransactionFireandIceBodyArmour",1229,"[1219,1224]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
4,"MicrotransactionFireandIceCloak",1230,"[1220,1225]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
5,"MicrotransactionFireandIceWings",1119,"[1120,1121]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
6,"MicrotransactionFireandIcePortalEffect",1215,"[1213,1214]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
7,"MicrotransactionFireandIceShield",1235,"[1233,1234]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
8,"MicrotransactionFireandIceHorns",1239,"[1237,1238]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
9,"MicrotransactionSinandInnocenceHelmet",1602,"[1572,1587]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
10,"MicrotransactionSinandInnocenceBoots",1603,"[1573,1588]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
11,"MicrotransactionSinandInnocenceGloves",1604,"[1574,1589]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
12,"MicrotransactionSinandInnocenceBodyArmour",1605,"[1575,1590]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
13,"MicrotransactionSinandInnocenceCloak",1601,"[1571,1586]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
14,"MicrotransactionSinandInnocenceWings",1600,"[1570,1585]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
15,"MicrotransactionSinandInnocencePortalEffect",1608,"[1584,1599]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
16,"MicrotransactionSinandInnocenceHelmetAttachment",1606,"[1576,1591]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
17,"MicrotransactionSinandInnocenceFootprintsEffect",1607,"[1581,1596]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
18,"MicrotransactionSinandInnocenceShortsword",1609,"[1579,1594]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
19,"MicrotransactionSinandInnocenceLongsword",1610,"[1580,1595]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
20,"MicrotransactionSinandInnocenceShield",2053,"[2051,2052]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
21,"SinandInnocenceWeapon",5036,"[5034,5035]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2","[1,1]",0,""
22,"MicrotransactionApocalypseHelmet",1727,"[1697,1712]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
23,"MicrotransactionApocalypseBoots",1728,"[1698,1713]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
24,"MicrotransactionApocalypseGloves",1729,"[1699,1714]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
25,"MicrotransactionApocalypseBodyArmour",1730,"[1700,1715]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
26,"MicrotransactionApocalypseCloak",1731,"[1701,1716]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
27,"MicrotransactionApocalypseWings",1732,"[1702,1717]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
28,"MicrotransactionApocalypsePortalEffect",1733,"[1706,1721]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
29,"MicrotransactionApocalypseHelmetAttachment",1734,"[1707,1722]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
30,"MicrotransactionApocalypseFootprintsEffect",1735,"[1708,1723]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2","[1,1]",0,""
31,"MicrotransactionOriathHelmet",1785,"[1777,1781]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
32,"MicrotransactionOriathBoots",1786,"[1778,1782]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
33,"MicrotransactionOriathGloves",1787,"[1779,1783]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
34,"MicrotransactionOriathBodyArmour",1788,"[1780,1784]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
35,"MicrotransactionOriathWings",1791,"[1789,1790]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
36,"MicrotransactionOriathCloak",1794,"[1792,1793]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
37,"MicrotransactionOriathPortalEffect",1799,"[1797,1798]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
38,"MicrotransactionOriathWeapon",1806,"[1804,1805]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
39,"OriathPet",5053,"[5051,5052]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
40,"MicrotransactionOriathHelmetAttachment",1811,"[1809,1810]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
41,"MicrotransactionOriathFootprintsEffect",1814,"[1812,1813]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
42,"MicrotransactionOriathShield",2024,"[1842,1899]","Art/Videos/MysteryBox_Combine_Oriathan.bk2","[1,1]",0,""
43,"MicrotransactionStalkerWingsUpgrade2",1852,"[1851,339]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
44,"MicrotransactionStalkerWingsUpgrade3",1853,"[1852,339]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
45,"MicrotransactionSpectreHelmet",1939,"[1928,1913]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
46,"MicrotransactionSpectreBoots",1940,"[1931,1916]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
47,"MicrotransactionSpectreGloves",1941,"[1930,1915]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
48,"MicrotransactionSpectreBodyArmour",1942,"[1929,1914]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
49,"MicrotransactionSpectreWings",1943,"[1924,1910]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
50,"MicrotransactionSpectreCloak",1944,"[1925,1911]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
51,"MicrotransactionSpectrePortalEffect",1945,"[1933,1918]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
52,"MicrotransactionSpectreHood",1946,"[1926,1912]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
53,"MicrotransactionSpectreStaff",1947,"[1937,1922]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
54,"MicrotransactionSpectreFootprintsEffect",1948,"[1936,1921]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
55,"MicrotransactionSpectreCharacterEffect",1949,"[1932,1917]","Art/Videos/MysteryBox_Combine_Corsair .bk2","[1,1]",0,""
56,"MicrotransactionMarakethCharacterEffectUpgrade4",2037,"[2035,340]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
57,"MicrotransactionMarakethCharacterEffectUpgrade6",2039,"[2037,340]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
58,"MicrotransactionTranscendenceWings",2119,"[2091,2105]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
59,"MicrotransactionTranscendenceBackAttachment",2120,"[2092,2106]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
60,"MicrotransactionTranscendenceHood",2121,"[2093,2107]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
61,"MicrotransactionTranscendenceHelmet",2122,"[2094,2108]","Art/Videos/MysteryBox_Combine_Darkwood.bk2","[1,1]",0,""
