"rownum","Oil","Tier","Achievements","UseType","NameShort"
0,10288,0,[7721],1,"Tainted"
1,10289,0,[],2,"Reflective"
2,10290,0,[],0,"Prismatic"
3,10291,1,[7721],0,"Clear"
4,10292,2,[7721],0,"Sepia"
5,10293,3,[7721],0,"Amber"
6,10294,4,[7721],0,"Verdant"
7,10295,5,[7721],0,"Teal"
8,10296,6,[7721],0,"Azure"
9,10297,7,[7721],0,"Indigo"
10,10298,8,[7721],0,"Violet"
11,10299,9,[7721],0,"Crimson"
12,10300,10,[7721],0,"Black"
13,10301,11,[7721],0,"Opalescent"
14,10302,12,[7721],0,"Silver"
15,10303,13,[9999],0,"Golden"
