"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]"
0,"UniqueChestTest1",369,0,0,"[7645,7656,7635]",0,[],"Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao","",[],"",280,[]
1,"PerandusBank",375,382,20,"[7678,7667,7717,7725,8478]",0,[],"Metadata/Chests/StrongBoxes/PerandusBox.ao","",[],"",275,"[9356,9918]"
2,"KaomsCache",376,383,20,"[7670,7664,7691,7724,8478]",60,[],"Metadata/Chests/StrongBoxes/KaomBox.ao","",[],"",262,"[9356,9918]"
3,"EmpyreanApparatus",377,384,60,"[7671,7665,7733,8478]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",265,"[9356,9918]"
4,"ObaChest1",415,423,0,"[7723,7718]",0,[],"Metadata/Chests/StrongBoxes/JewellerStrongBox.ao","",[],"",275,"[9356,9918]"
5,"ObaChest2",416,423,0,[7709],0,[],"Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao","",[],"",259,"[9356,9918]"
6,"ObaChest3",417,423,0,"[7708,7734]",0,[],"Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao","",[],"",273,"[9356,9918]"
7,"GrandmasterGemcutters",456,459,0,"[7735,7700,7712,9094]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",274,[]
8,"GrandmasterArcanists",457,459,0,"[7713,9094]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",261,[]
9,"GrandmasterCartographers",458,459,0,"[7711,7719,7727,7736,9094]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",270,[]
10,"GrandmasterOrnateStrongbox",459,459,0,"[7649,7640,7726,9094,7754]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",279,[]
11,"GrandmasterUniqueItem",460,459,0,"[7661,7642,7651,9094,7754]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",281,[]
12,"GrandmasterSameBaseType",461,459,0,"[7642,7651,9377,9094,7754]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",281,[]
13,"GrandmasterVaalVessel",462,459,0,"[7768,7642,7651,9373,9094,7754]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",281,[]
14,"GrandmasterLargeStrongbox",463,459,0,"[7650,7641,9094,7754]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",277,[]
15,"BarrelOfSpiders",468,464,30,"[9437,7774,7696]",100,[],"Metadata/Chests/Barrels/Barrel1.ao",1,[],347,280,"[9356,9918]"
16,"DeshretsStorm",680,840,35,"[12615,7683,12617,7748,7743]",100,[],"Metadata/Chests/UniqueStrongboxes/Vase.ao","",[],"",263,"[9356,9918]"
17,"AshesOfTheCondemned",681,841,40,"[7672,7682,7643,7655]",100,[],"Metadata/Chests/UniqueStrongboxes/BaroqueVase.ao","",[],"",280,"[9356,9918]"
18,"MutewindCache",682,842,56,"[7685,12612,7644,7755]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
19,"RedbladeCache",683,843,56,"[7684,12611,7644,7755]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
20,"BrinerotCache",684,844,56,"[7686,12613,7644,7755]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
21,"RenegadesCache",685,845,56,"[7687,12614,7644,7755]",10,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",280,"[9356,9918]"
22,"ProphecyWickedKing4",785,1028,0,"[7710,12700,12701,12702]",0,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",260,"[9356,9918]"
23,"VaultsOfAtziriUnique",808,1050,0,[9094],0,[],"Metadata/Chests/VaalChests/VaalChest.ao",1,[],"",284,[]
24,"BreachUniqueBox",810,1059,0,[7709],0,[],"Metadata/Chests/CocoonChests/Cocoon1.ao",1,[],"",498,[]
25,"DivinationCardUniqueBox",865,847,0,"[9447,7810,8478]",0,[],"Metadata/Chests/UniqueStrongboxes/DivinationCardUniqueStrongbox.ao",1,[],"",1660,"[9356,9918]"
26,"WeylamsWarChest",876,846,40,"[7714,9443,13295,13673]",60,[],"Metadata/Chests/UniqueStrongboxes/WarChest.ao","",[],"",259,"[9356,9918]"
27,"ForgottenReliquaryChest",901,1188,0,[13494],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",522,[]
28,"ForgottenReliquaryChest2",902,1189,0,[13495],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",523,[]
29,"ForgottenReliquaryChestVaal",903,1190,0,[13496],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",524,[]
30,"ForgottenReliquaryVenarius",904,1191,0,[13497],0,[],"Metadata/Chests/CopperChests/ClassicVault.ao",1,[],"",525,[]
