"rownum","rid","rid","bool","i32","bool","bool","bool"
0,16234,29,1,0,1,"",""
1,16238,30,1,0,1,"",""
2,16239,30,1,0,1,"",""
3,17608,33,1,0,1,"",""
4,16847,37,"",16777216,1,1,""
5,17650,40,"",16777216,"","",""
6,17858,39,"",16777216,"","",""
7,17935,42,"",0,"","",""
8,18361,51,"",16777216,"","",""
9,18424,53,"",16777216,1,1,""
10,18483,54,"",0,1,"",""
11,18510,55,"",0,"","",""
12,18721,56,"",0,1,"",""
13,18723,57,"",0,"","",""
14,18739,58,"",0,1,"",""
15,18828,60,"",0,1,"",""
16,18836,61,"",0,1,"",""
17,18837,61,"",0,1,"",""
18,18839,62,"",0,1,"",""
19,18862,63,1,0,1,"",""
20,18700,65,"",0,1,"",""
21,18699,65,"",0,1,"",""
22,18697,68,"",0,1,"",""
23,18937,70,"",0,1,"",""
24,18992,74,"",16777216,1,1,""
25,19012,75,1,0,1,"",""
26,19018,76,1,0,1,"",""
27,19020,86,1,0,1,1,1
28,19021,86,1,0,1,1,1
29,19050,77,"",0,1,"",""
30,19139,78,"",0,1,"",""
31,19212,86,1,16777216,1,1,1
32,19313,81,"",0,1,"",""
33,19476,84,"",0,1,"",""
34,19565,87,"",16777216,1,1,""
35,19710,90,1,16777216,1,1,""
36,20120,93,1,16777216,1,"",""
37,20168,94,"",0,"","",""
38,20564,100,"",0,1,"",""
39,20675,103,"",0,1,"",""
40,20771,104,1,16777216,1,1,1
41,20778,105,"",0,1,"",""
42,20781,108,1,0,1,"",""
