"rownum","BaseItemType","Scaling","Name"
0,10465,0.85,"Bazira"
1,10466,0.85,"Tsvet Matvei"
2,10467,0.85,"Bazira"
3,10468,0.85,"Count Geonor"
4,10469,0.85,"The Crimson Scribe"
5,10470,0.85,"The Midnight Tinkerer"
6,10471,0.85,"Aline Koltz"
7,10472,0.85,"Tsvet Matvei"
8,10473,0.85,"Administrator Qotra"
9,10474,0.85,"Count Geonor"
10,10475,0.85,"Nishem"
11,10476,0.85,"Aline Koltz"
12,10477,0.85,"Count Geonor"
13,10478,0.85,"Marcine Clavus"
14,10479,0.85,"Marcine Clavus"
15,10480,0.85,"Marcine Clavus"
16,10481,0.85,"Marcine Clavus"
17,10482,0.85,"Marcine Clavus"
18,10483,1.2,"Selwyn Eddard"
19,10484,1.2,"Kondor Larcius"
20,10485,1.2,"Grond Ironeye"
21,10486,1.2,"Bazira"
22,10487,1.2,"Bazira"
23,10488,1.2,"Kondor Larcius"
24,10489,1.2,"The Crimson Scribe"
25,10490,1.2,"Administrator Qotra"
26,10491,1.2,"Administrator Qotra"
27,10492,1.2,"The Crimson Scribe"
28,10493,1.2,"Remus Hestor"
29,10494,1.2,"Nishem"
30,10495,1.2,"The Crimson Scribe"
31,10496,1.2,"Anton Laffrey"
32,10497,1.5,"Tsvet Matvei"
33,10498,1.5,"Kondor Larcius"
34,10499,1.5,"The Midnight Tinkerer"
35,10500,1.5,"Bazira"
36,10501,1.5,"Kondor Larcius"
37,10502,1.5,"The Crimson Scribe"
38,10503,3,"Administrator Qotra"
39,10504,3,"Cardinal Uthelius"
40,10505,3,"Castor Pollinius III"
41,10506,0.3,""
42,10507,0.3,""
43,10508,0.3,""
44,10509,0.3,""
45,10510,0.3,""
46,10511,0.3,""
47,10512,0,"Karst"
48,10513,0,"Karst"
49,10514,0,"Karst"
50,10515,0,"Tibbs"
51,10516,0,"Tibbs"
52,10517,0,"Huck"
53,10518,0,"Huck"
54,10519,0,"Vinderi"
55,10520,0,"Vinderi"
56,10521,0,"Gianna"
57,10522,0,"Gianna"
58,10523,0,"Tullina"
59,10524,0,"Tullina"
60,10525,0,"Niles"
61,10526,0,"Niles"
62,10527,0,"Nenet"
63,10528,0,"Nenet"
64,10529,0,"Isla"
65,10530,0,"Isla"
66,10531,0,"Isla"
67,10532,0,"Adiyah"
68,10533,0,"Adiyah"
69,10534,0,"Adiyah"
70,10535,0,"Whakano"
71,10536,0,"Whakano"
72,10537,0,"Whakano"
73,10538,0,"Faustus"
74,10540,0,"Faustus"
75,10541,0,"Faustus"
76,10542,0,"Kurai"
77,10543,0,"Kurai"
78,10544,0,"Kurai"
79,10545,0,"Kurai"
