"rownum","Id","WorldAreasKey","BaseItemTypesKeys","SocketColour"
0,"ProxyKey1",1378,[5617],"R_G_B"
1,"ProxyKey2",1378,[5724],"R_G_B"
2,"ProxyKey3",1378,[5393],"R_G_B"
3,"ProxyKey4",1378,[5903],"R_G_B"
4,"ProxyKey5",1378,[5864],"R_G_B"
5,"ProxyKey6",1378,[5589],"R_G_B"
6,"ProxyKey7",1378,[5561],"R_G_B"
7,"ProxyKey8",1378,[5508],"R_G_B"
8,"ProxyKey9",1378,[5419],"R_G_B"
9,"ProxyKey28",1378,[6360],""
10,"ProxyKey29",1378,[6383],""
11,"ProxyKey30",1378,[5962],"R_G_B"
12,"ProxyKey31",1378,[1],""
13,"ProxyKey32",1378,[1],""
14,"ProxyKey33",1378,[1],""
15,"ProxyKey34",1378,[1],""
16,"ProxyKey35",1378,[1],""
17,"ProxyKey10",1378,[6585],""
18,"ProxyKey11",1378,[6592],""
19,"ProxyKey12",1378,[6593],""
20,"ProxyKey13",1378,[6596],""
21,"ProxyKey14",1378,[6600],""
22,"ProxyKey15",1378,[6604],""
23,"ProxyKey16",1378,[6610],""
24,"ProxyKey17",1378,[6612],""
25,"ProxyKey18",1378,[6648],""
26,"ProxyKey19",1378,[6650],""
27,"ProxyKey20",1378,[6653],""
28,"ProxyKey21",1378,[6679],""
29,"ProxyKey22",1378,[6709],""
30,"ProxyKey23",1378,[6727],""
31,"ProxyKey24",1378,[6730],""
32,"ProxyKey25",1378,[6767],""
33,"ProxyKey26",1378,[6822],""
34,"ProxyKey27",1378,[6843],""
35,"ProxyKey36",1378,[6863],""
36,"ProxyKey37",1378,[6869],""
37,"ProxyKey38",1378,[6873],""
