"rownum","Id","QuestStates","[i32]","AchievementItems","NPCs","bool"
0,"UnlockScionClass",[531],[],[1018],[],""
1,"DefeatShaper",[],[318],[4221],"[409,407]",""
2,"DefeatElder",[],[317],[],"[409,407]",""
3,"DefeatUberElder",[],[319],[],"[409,407]",""
4,"UnlockLabyrinth",[897],[],[],[],""
5,"LabyrinthComplete1",[899],[],"[983,986,10437]",[],""
6,"LabyrinthComplete2",[992],[],"[984,987,10438]",[],""
7,"LabyrinthComplete3",[993],[],"[985,988,10439]",[],""
8,"LabyrinthComplete4",[900],[],"[1048,1049,10440]",[],""
9,"LabyrinthAllComplete","[899,0,0,0]",[],[],[],""
10,"LabyrinthUseHiddenSwitch",[939],[],[],[],""
11,"LabyrinthUseSilverKey",[940],[],[],[],""
12,"LabyrinthUseGoldKey",[941],[],[],[],""
13,"LabyrinthUseGauntlet",[942],[],[],[],""
14,"LabyrinthUsePuzzle",[943],[],[],[],""
15,"LabyrinthUseSecretPassage",[944],[],[],[],""
16,"LabyrinthCompleteMapTrial1",[],[282],[],[],""
17,"LabyrinthCompleteMapTrial2",[],[284],[],[],""
18,"LabyrinthCompleteMapTrial3",[],[283],[],[],""
19,"LabyrinthCompleteMapTrial4",[],[281],[],[],""
20,"LabyrinthCompleteMapTrial5",[],[285],[],[],""
21,"LabyrinthCompleteMapTrial6",[],[286],[],[],""
22,"QuestCompleteMercyMission",[42],[],[],[1],""
23,"QuestCompleteFairgravesA1",[47],[],[9904],[2],""
24,"QuestCompleteDeepDweller",[115],[],[7208],[0],""
25,"QuestCompleteADirtyJob",[227],[],"[7701,10361]",[0],""
26,"QuestCompleteWayForward",[233],[],[],[2],""
27,"QuestCompleteBrutus",[5],[],[989],[0],""
28,"QuestCompleteMerveil",[9],[],"[990,10370,10109]",[1],""
29,"QuestCompleteKraityn",[54],[],[1053],[14],""
30,"QuestCompleteAlira",[56],[],[1052],[13],""
31,"QuestCompleteOak",[89],[],[1054],[15],""
32,"QuestCompleteGoldenHand",[87],[],[10133],[10],""
33,"QuestCompleteGreatWhiteBeast",[246],[],[10384],[10],""
34,"QuestCompleteOversoul",[85],[],"[991,10371]",[9],""
35,"QuestCompleteGeneralGravicius",[209],[],"[904,10385]",[19],""
36,"QuestCompletePietyLunaris",[216],[],[992],[20],""
37,"QuestCompleteVictario",[458],[],[9905],[16],""
38,"QuestCompleteGoldenPages",[490],[],[7702],[26],""
39,"QuestCompleteFairgravesA3",[200],[],[],[2],""
40,"QuestCompleteDominus",[222],[],"[913,4202,10372]",[20],""
41,"QuestCompleteDeshret",[752],[],[7943],[107],""
42,"QuestCompleteMalachai",[664],[],"[2508,10373]",[104],""
43,"QuestCompleteMiasmeter",[1065],[],[9906],[180],""
44,"QuestCompleteUtula",[1079],[],[7703],[182],""
45,"QuestCompleteKitavaA5",[1085],[],"[4213,10374]",[185],""
46,"QuestCompleteKitavasTorments",[1090],[],[],[179],""
47,"QuestCompleteBrineKing",[1164],[],"[1028,4214,10379,9336]",[193],""
48,"QuestCompleteTukohama",[1175],[],"[1028,9341]",[193],""
49,"QuestCompleteClearTwilightStrand",[1187],[],[10134],[189],""
50,"QuestCompleteBestelsEpic",[1252],[],[7453],[188],""
51,"QuestCompleteRyslatha",[1193],[],"[1028,7944,9342,9907]",[193],""
52,"QuestCompleteAbberath",[1200],[],"[1028,9340]",[193],""
53,"QuestCompleteArakaali",[1294],[],"[1028,4215,10380,9334]","[217,409,407,312]",""
54,"QuestCompleteRalakesh",[1273],[],"[1028,9338]",[217],""
55,"QuestCompleteSilverLocket",[1310],[],[7211],[222],""
56,"QuestCompleteKisharasStar",[1316],[],[],[222],""
57,"QuestCompleteInMemoryOfGreust",[1379],[],[7704],[226],""
58,"QuestCompleteGruthkul",[1386],[],"[1028,9344]",[217],""
59,"QuestCompleteSolarisLunaris",[1426],[],"[1028,4216,10381,9333,9335]",[234],""
60,"QuestCompleteYugul",[1438],[],"[1028,7945,9337]",[234],""
61,"QuestCompleteTolmanZombie",[1452],[],[],[231],""
62,"QuestCompleteGemlingLegion",[1461],[],[10386],[230],""
63,"QuestWingsOfVastiri",[1443],[],[7454],[229],""
64,"QuestCompleteGarukhan",[1566],[],"[1028,9343]",[285],""
65,"QuestCompleteStormBlade",[1572],[],[],[282],""
66,"QuestCompleteCalendarOfFortune",[1622],[],"[10135,10387]",[282],""
67,"QuestCompleteShakari",[1629],[],"[1028,7212,9339]",[285],""
68,"QuestCompleteUnholyTrio",[1549],[],"[4217,10382]",[285],""
69,"QuestCompleteLovePotion",[1671],[],[10136],[296],""
70,"QuestCompleteTeardrop",[1677],[],[7946],[295],""
71,"QuestCompleteKitavaA10",[59],[],"[4218,10383]",[312],""
72,"PantheonUpgradeAbberath",[],[1336],[10425],[312],""
73,"PantheonUpgradeGruthkul",[],[1337],[10425],[312],""
74,"PantheonUpgradeYugul",[],[1338],[10425],[312],""
75,"PantheonUpgradeTukohama",[],[1340],[10425],[312],""
76,"PantheonUpgradeRalakesh",[],[1341],[10425],[312],""
77,"PantheonUpgradeGarukhan",[],[1342],[10425],[312],""
78,"PantheonUpgradeRyslatha",[],[1343],[10425],[312],""
79,"PantheonUpgradeShakari",[],[1339],[10425],[312],""
80,"PantheonUpgradeBrineKingFull",[],"[1324,1325,1326]",[10426],[312],""
81,"PantheonUpgradeArakaaliFull",[],"[1327,1328,1329]",[10426],[312],""
82,"PantheonUpgradeSolarisFull",[],"[1330,1331,1332]",[10426],[312],""
83,"PantheonUpgradeLunarisFull",[],"[1333,1334,1335]",[10426],[312],""
84,"DefeatAllGods","[1164,0,0,0,1175,0,0,0,1193,0,0]",[],[4229],[312],""
85,"FullyUpgradePantheon",[],"[1324,1325,1326,1327,1328,1329,1330,1331,1332,1333,1334,1335,1336,1337,1338,1339,1340,1341,1342,1343]",[4230],[312],""
86,"CompleteAllOptionalQuests","[227,0,0,0,115,0,0,0,47,0,0,0,87,0,0,0,246,0,0,0,458,0,0,0,490,0,0,0,532,0]",[],[1020],[],""
87,"CaptureAnyBeast",[],[112],[],"[171,169,173]",""
88,"QuestCompleteDelveTutorial",[],[18],[],"[329,330,331,332]",""
89,"QuestCompleteSynthesisTutorial1",[2077],[],[],"[372,373,374,375]",""
90,"QuestCompleteSynthesisTutorial2",[2081],[],[],"[372,373,374,375]",""
91,"QuestCompleteSynthesisTutorial3",[2083],[],[],"[372,373,374,375]",""
92,"QuestCompleteSynthesisChangeover",[2088],[],[],"[372,373,374,375]",""
93,"DefeatCatarina",[],[536],[],"[335,337]",""
94,"CraftingUnlockMovementSpeed1",[],[146],[],[391],""
95,"CraftingUnlockSpellDamage1",[],[161],[],[391],""
96,"CraftingUnlockAttackCastSpeed1",[],[168],[],[391],""
97,"CraftingUnlockSocketNumbers1",[],[245],[],[391],""
98,"CraftingUnlockAccuracy1",[],[183],[],[391],""
99,"CraftingUnlockSpellDamage3",[],[163],[],[391],""
100,"CraftingUnlockPhysicalDamage3",[],[160],[],[391],""
101,"CraftingUnlockDefences2",[],[188],[],[391],""
102,"CraftingUnlockEnergyShieldRecharge1",[],[198],[],[391],""
103,"CraftingUnlockMinions2",[],[229],[],[391],""
104,"UnlockedMapDevice",[],[350],[8450],"[409,407]",""
105,"KillAtziri",[184],[],[1585],[],""
106,"KillUberAtziri",[977],[],[],[],""
107,"DefeatSirusTheAwakener",[],[347],[],"[409,407]",""
108,"DefeatOshabi",[2182],[1097],[7186],"[409,407]",""
109,"ContractStolenLockpicks",[],[800],[7399],"[454,452,471]",""
110,"ContractKarstsRevenge",[],[801],[7400],"[454,452,471]",""
111,"ContractCreditWhereCreditsDue",[],[802],[7401],"[454,452,471]",""
112,"ContractFindingOpal",[],[803],[7402],"[454,452,471]",""
113,"ContractOpalsJewels",[],[804],[7403],"[454,452,471]",""
114,"ContractEnochsWhereabouts",[],[805],[7404],"[454,452,471]",""
115,"ContractEnochsRemains",[],[806],[7405],"[454,452,471]",""
116,"ContractGroceryList",[],[807],[7406],"[454,452,471]",""
117,"ContractTheVinderiBomb",[],[808],[7407],"[454,452,471]",""
118,"ContractTheNamelessPlay",[],[809],[7408],"[454,452,471]",""
119,"ContractTheFinestCostumes",[],[810],[7409],"[454,452,471]",""
120,"ContractTheWeddingDress",[],[811],[7410],"[454,452,471]",""
121,"ContractDisengagement",[],[812],[7411],"[454,452,471]",""
122,"ContractRationalTools",[],[813],[7412],"[454,452,471]",""
123,"ContractAMundaneSample",[],[814],[7413],"[454,452,471]",""
124,"ContractTheTwins",[],[832],[7417],"[454,452,471]",""
