"rownum","Id","[rid]","rid","[i32]","StatsKeys","StatValues","i32","bool"
0,"InnerTreasure",[7224],"",[],[],[],0,""
1,"DropVaalItem",[7231],"",[],[],[],0,""
2,"AlwaysIgnite",[],"",[],"[4987,610]","[1,100]",0,""
3,"RandomCurseOnMeleeHit",[],"",[],[1226],[100],0,""
4,"Maimed",[],498,"[-30,1]",[],[],0,""
5,"AlwaysShock",[],"",[],"[4986,658]","[1,100]",0,""
6,"TormentedExperimenterPossess","[9117,9208,9293,9295]","",[],[],[],0,""
7,"TormentedBlasphemerPossess","[9120,9206,9293,9295]","",[],[],[],0,""
8,"TormentedNecromancerPossess","[9123,9208,9293,9295]","",[],[],[],0,""
9,"TormentedArsonistPossess","[9126,9208,9293,9295]","",[],[],[],0,""
10,"TormentedThiefPossess","[9155,9209,9293,9295]","",[],[],[],0,""
11,"TormentedMutilatorPossess","[9168,9208,9293,9295]","",[],[],[],0,""
12,"TormentedCharlatanPossess","[9136,9208,9293,9295]","",[],[],[],0,""
13,"TormentedCannibalPossess","[9161,9208,9293,9295]","",[],[],[],0,""
14,"TormentedPoisonerPossess","[9129,9208,9293,9295]","",[],[],[],0,""
15,"TormentedCorrupterPossess","[9132,9209,9293,9295]","",[],[],[],0,""
16,"TormentedThugPossess","[9139,9206,9293,9295]","",[],[],[],0,""
17,"TormentedRoguePossess","[9142,9206,9143,9293,9295]","",[],[],[],0,""
18,"TormentedFishermanPossess","[9145,9209,9293,9295]","",[],[],[],0,""
19,"TormentedLibrarianPossess","[9148,9209,9293,9295]","",[],[],[],0,""
20,"TormentedCutthroatPossess","[9152,9206,9293,9295]","",[],[],[],0,""
21,"TormentedSpyPossess","[9158,9206,9293,9295]","",[],[],[],0,""
22,"TormentedMartyrPossess","[9165,9208,9293,9295]","",[],[],[],0,""
23,"TormentedEmbezzlerPossess","[9171,9209,9293,9295]","",[],[],[],0,""
24,"TormentedCounterfeiterPossess","[9177,9208,9293,9295]","",[],[],[],0,""
25,"TormentedWarlordPossess","[9180,9206,9293,9295]","",[],[],[],0,""
26,"TormentedFreezerPossess","[9184,9208,9293,9295]","",[],[],[],0,""
27,"TormentedSmugglerPossess","[9188,9186,9209,9293,9295]","",[],[],[],0,""
28,"MapSupporterEssenceDaemon","[35721,35722,35723,35724,35725,35726,35727,35728,35729]","",[],[],[],1,""
29,"MonsterSupporterEnrageDaemon",[35730],"",[],[],[],0,""
30,"MonsterUberMapShaperTouched",[5868],"",[],[],[],0,""
31,"MonsterScarabUberScarab5",[18735],"",[],[],[],0,""
32,"MonsterScarabUniqueMonsterModScarab","[32220,32221,32222,32223,32224,32225,32226,32227,32228,32229,32230,32231,32232,32233,32234,32235,32236,32237,32238,32239,32240,32241,32242,32243,32244,32246,32247,32248,32249,32250,32251,32252,32253,32254,32255,32256,32257,32258,32259,32260,32261,32262,32263,32264,32265,32266,32267,32268,32269,32270,32271,32272,32277,32278,32279,32284,32285,32286,32287,32288,32289,32290,32292,32293,32294,32295,32296,32297,32298,32299,32300,32301,32302,32303,32304,32305,32306,32307,32308,32309,32310,32311,32312,32313,32314,32315,32318,32319,32320,32322,32323,32324,32325,32326,32327,32328,32329,32330]","",[],[],[],2,1
