"rownum","BaseItemTypesKey","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues","RecoveryTime2","BuffStatValues2"
0,6345,"Small Life Flask",1,70,0,30,"",[],30,[]
1,6346,"Medium Life Flask",1,150,0,35,"",[],35,[]
2,6347,"Large Life Flask",1,250,0,35,"",[],35,[]
3,6348,"Greater Life Flask",1,360,0,35,"",[],35,[]
4,6349,"Grand Life Flask",1,640,0,30,"",[],30,[]
5,6350,"Giant Life Flask",1,830,0,40,"",[],40,[]
6,6351,"Colossal Life Flask",1,1000,0,35,"",[],35,[]
7,6352,"Sacred Life Flask",1,1200,0,30,"",[],30,[]
8,6353,"Hallowed Life Flask",1,1990,0,40,"",[],40,[]
9,6354,"Sanctified Life Flask",1,1460,0,15,"",[],15,[]
10,6355,"Divine Life Flask",1,2400,0,35,"",[],35,[]
11,6356,"Eternal Life Flask",1,2080,0,20,"",[],20,[]
12,6357,"Small Life Flask",1,70,0,40,"",[],40,[]
13,6358,"Medium Life Flask",1,130,0,50,"",[],50,[]
14,6359,"Large Life Flask",1,200,0,60,"",[],60,[]
15,6360,"Small Mana Flask",2,0,50,30,"",[],30,[]
16,6361,"Medium Mana Flask",2,0,70,35,"",[],35,[]
17,6362,"Large Mana Flask",2,0,90,40,"",[],40,[]
18,6363,"Greater Mana Flask",2,0,120,40,"",[],40,[]
19,6364,"Grand Mana Flask",2,0,170,45,"",[],45,[]
20,6365,"Giant Mana Flask",2,0,250,50,"",[],50,[]
21,6366,"Colossal Mana Flask",2,0,350,50,"",[],50,[]
22,6367,"Sacred Mana Flask",2,0,480,55,"",[],55,[]
23,6368,"Hallowed Mana Flask",2,0,700,60,"",[],60,[]
24,6369,"Sanctified Mana Flask",2,0,1100,65,"",[],65,[]
25,6370,"Divine Mana Flask",2,0,1400,50,"",[],50,[]
26,6371,"Eternal Mana Flask",2,0,1800,70,"",[],70,[]
27,6372,"Small Hybrid Flask",3,100,70,50,"",[],50,[]
28,6373,"Medium Hybrid Flask",3,230,100,50,"",[],50,[]
29,6374,"Large Hybrid Flask",3,510,140,50,"",[],50,[]
30,6375,"Colossal Hybrid Flask",3,690,200,50,"",[],50,[]
31,6376,"Sacred Hybrid Flask",3,1440,400,50,"",[],50,[]
32,6377,"Hallowed Hybrid Flask",3,1740,480,50,"",[],50,[]
33,6378,"Diamond Flask",4,0,0,60,114,[100],40,[100]
34,6379,"Ruby Flask",4,0,0,80,115,"[40,5]",55,"[40,5]"
35,6380,"Sapphire Flask",4,0,0,80,116,"[40,5]",55,"[40,5]"
36,6381,"Topaz Flask",4,0,0,80,117,"[40,5]",55,"[40,5]"
37,6382,"Granite Flask",4,0,0,60,118,[1500],40,[1500]
38,6383,"Quicksilver Flask",4,0,0,60,119,[40],20,[40]
39,6384,"Amethyst Flask",4,0,0,65,120,[35],45,[35]
40,6385,"Quartz Flask",4,0,0,60,121,"[1,10]",40,"[1,10]"
41,6386,"Jade Flask",4,0,0,60,122,[1500],40,[1500]
42,6387,"Basalt Flask",4,0,0,80,123,[20],55,[20]
43,6388,"Aquamarine Flask",4,0,0,80,124,[-60],55,[-60]
44,6389,"Stibnite Flask",4,0,0,80,126,[20],55,[20]
45,6390,"Sulphur Flask",4,0,0,80,127,[40],55,[40]
46,6391,"Silver Flask",4,0,0,60,128,[],40,[]
47,6392,"Bismuth Flask",4,0,0,85,125,[35],55,[35]
48,6393,"Gold Flask",4,0,0,50,129,[30],35,[30]
49,6394,"Corundum Flask",4,0,0,75,1838,[30],50,[30]
50,6395,"Iron Flask",4,0,0,40,130,[200],25,[200]
