"rownum","Id","MinLevel","MaxLevel","Weight","TopologiesKey","MonsterPacksKeys","ArtFile","Name","SynthesisAreaSizeKey","AchievementItemsKey"
0,"AcidCave_Small",6,50,100,2280,[2165],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AcidCave","Limestone Hollow Memory",0,""
1,"ArachnidTomb_Small",56,100,0,2281,[2167],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArachnidTomb","Infested Tomb Memory",0,""
2,"Antiquary_Small",46,50,100,2333,[2166],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Antiquary","Collection Memory",0,""
3,"Baths_Small",59,100,0,2341,"[2186,2187]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Baths","State Palace Memory",0,""
4,"Bazaar_Small",28,50,100,2344,[2170],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Bazaar","Exchange Memory",0,""
5,"Beach_Small",6,50,100,2347,[2171],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Sandbar Memory",0,""
6,"Causeway_Small",56,100,0,2353,[2173],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Causeway","River Crossing Memory",0,""
7,"Cave_Small",6,50,100,2282,[2174],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cave","Eroded Chamber Memory",0,""
8,"CaveMine_Small",17,50,100,2356,[2188],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CaveMine","Abandoned Shaft Memory",0,""
9,"Colosseum_Small",40,50,100,2283,"[2260,2261,2262,2263,2264]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Colosseum","Bloodsoaked Arena Memory",0,""
10,"ControlBlocks_Small",43,50,100,2366,[2176],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ControlBlocks","Slave Blocks Memory",0,""
11,"DriedLake_Small",36,50,100,2284,[2265],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DriedLake","Salted Earth Memory",0,""
12,"Fissure_Small",39,50,100,2378,[2179],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Fissure","Aftermath Memory",0,""
13,"Forest_Small",15,50,100,2380,"[2189,2190,2191]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Forest","Woods Memory",0,""
14,"ForestCave_Small",17,50,100,2285,[2266],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ForestCave","Sprawling Caverns Memory",0,""
15,"Glacier_Small",6,50,100,2286,"[2267,2268,2269,2270]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Glacier","Glacial Cavern Memory",0,""
16,"Library_Small",32,50,100,2391,"[2271,2272]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Library","Reading Chambers Memory",0,""
17,"Lunaris_Small",31,50,100,2394,"[2287,2288,2289,2290]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Lunaris","Bloodbath Memory",0,""
18,"Mesa_Small",6,50,100,2287,"[2278,2279]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mesa","Rocky Mesa Memory",0,""
19,"Mineshaft_Small",36,50,100,2400,[2280],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mines","Deep Dig Memory",0,""
20,"MoonTemple_Small",60,100,0,2403,"[2273,2274,2275,2276,2277]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MoonTemple","Moonlight Temple Memory",0,""
21,"Mushroom_Small",6,50,100,2288,[2195],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mushroom","Mushroom Grotto Memory",0,""
22,"Ossuary_Small",46,50,100,2289,[2281],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ossuary","Grim Sepulchre Memory",0,""
23,"Plateau_Small",39,50,100,2290,"[2282,2283,2284,2285,2286]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Plateau","Volcanic Plateau Memory",0,""
24,"PoolsAndStreams_Small",21,50,100,2291,"[2291,2292,2293]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PoolsAndStreams","Lush Wetlands Memory",0,""
25,"Prison_Small",51,100,0,2292,"[2198,2199]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Prison","Detention Centre Memory",0,""
26,"Reef_Small",52,100,0,2417,[2294],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Reef","Rockpools Memory",0,""
27,"Ridge_Small",48,50,100,2294,"[2295,2296]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ridge","Cliffside Path Memory",0,""
28,"RuinedTemple_Small",17,50,100,2295,[2297],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/RuinedTemple","Reclaimed Temple Memory",0,""
29,"Sanctuary_Small",45,50,100,2423,"[2200,2201,2202]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sanctuary","Ritual Memory",0,""
30,"Scepter_Small",34,50,100,2426,"[2203,2204,2205]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Scepter","Eternal Residence Memory",0,""
31,"Sewers_Small",51,100,0,2428,"[2206,2207,2208]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sewers","Effluvia Memory",0,""
32,"Slums_Small",26,50,100,2293,"[2298,2299,2300]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Slums","Shanty Town Memory",0,""
33,"Solaris_Small",29,50,100,2431,"[2209,2210,2211]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Solaris","Pristine Palace Memory",0,""
34,"SpiderThicket_Small",19,50,100,2296,"[2301,2302,2303]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SpiderForest","Infested Temple Memory",0,""
35,"Thicket_Small",51,100,0,2437,"[2304,2305,2306]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Thicket","Overgrowth Memory",0,""
36,"AcidCave_Medium",45,100,100,2297,[2165],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AcidCave","Limestone Hollow Memory",1,""
37,"ArachnidTomb_Medium",56,100,100,2298,[2167],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArachnidTomb","Infested Tomb Memory",1,""
38,"Antiquary_Medium",46,100,100,2332,[2166],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Antiquary","Collection Memory",1,""
39,"Baths_Medium",59,100,100,2340,"[2186,2187]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Baths","State Palace Memory",1,""
40,"Bazaar_Medium",45,100,100,2343,[2170],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Bazaar","Exchange Memory",1,""
41,"Beach_Medium",45,100,100,2346,[2171],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Sandbar Memory",1,""
42,"Canals_Medium",51,100,100,2350,"[2307,2308,2309]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Canals","Waterfront Memory",1,""
43,"Causeway_Medium",56,100,100,2352,[2173],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Causeway","River Crossing Memory",1,""
44,"Cave_Medium",45,100,100,2301,[2174],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cave","Eroded Chamber Memory",1,""
45,"CaveMine_Medium",45,100,100,2302,[2188],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CaveMine","Abandoned Shaft Memory",1,""
46,"Colosseum_Medium",45,100,100,2303,"[2260,2261,2262,2263,2264]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Colosseum","Bloodsoaked Arena Memory",1,""
47,"ControlBlocks_Medium",45,100,100,2365,[2176],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ControlBlocks","Slave Blocks Memory",1,""
