"rownum","rid","rid","rid","bool","bool","i32","bool"
0,10352,0,0,1,1,1000,1
1,1,0,0,1,1,1,""
2,16,0,0,1,1,3,""
3,10,0,0,1,1,5,""
4,15,0,0,1,1,10,""
5,7,0,0,1,1,25,""
6,11,0,0,1,1,25,""
7,19,0,0,1,1,25,""
8,21,0,0,1,1,25,""
9,20,0,0,1,1,40,""
10,6,0,0,1,1,25,""
11,2,0,0,1,1,25,""
12,12,0,0,1,1,25,""
13,8,0,0,1,1,50,""
14,38,0,0,1,1,50,""
15,212,0,0,"",1,50,""
16,10651,0,0,"",1,50,""
17,9,0,0,1,1,50,""
18,23,0,0,1,1,75,""
19,213,0,0,1,1,75,""
20,10650,0,0,"",1,75,""
21,14,0,0,1,1,100,""
22,7901,0,0,"",1,150,""
23,13,0,0,1,1,250,""
24,217,0,0,1,1,250,""
25,9567,0,0,"",1,100,""
26,214,0,0,1,1,250,""
27,322,0,0,1,1,300,""
28,22,0,0,1,1,250,""
29,211,0,0,1,1,250,""
30,11103,0,1,1,1,525,""
31,11104,0,1,1,1,525,""
32,11105,0,1,1,1,525,""
33,7952,0,0,1,1,975,""
34,11678,0,0,1,1,500,""
35,55,0,0,"",1,250,""
36,56,0,0,"",1,250,""
37,218,0,0,1,1,500,""
38,3,0,0,1,1,500,""
39,36,0,0,1,"",6250,""
40,24,0,0,1,1,250,""
41,11251,0,0,1,1,6250,""
42,5,0,0,1,1,25000,""
43,32,0,5,1,1,4,1
44,33,0,5,"",1,1,""
45,34,0,5,1,1,1,""
46,223,0,5,"",1,2,""
47,225,0,5,"",1,1,""
48,220,0,5,"",1,2,""
49,221,0,5,1,1,4,""
50,228,0,5,"",1,4,""
51,222,0,5,1,1,12,""
52,224,0,5,1,1,12,""
53,227,0,5,"",1,12,""
54,219,0,5,"",1,12,""
55,229,0,5,1,1,25,""
56,226,0,5,1,1,1250,""
57,4,0,4,1,1,25,""
58,0,0,4,1,1,30,""
59,25,0,4,1,1,40,""
60,17,0,4,1,1,50,""
61,215,0,4,"",1,50,""
62,18,0,4,1,1,50,""
63,26,0,4,"",1,200,""
64,27,0,4,"",1,200,""
65,30,0,4,"",1,200,""
66,28,0,4,"",1,200,""
67,29,0,4,"",1,200,""
68,312,0,1,1,1,75,""
69,316,0,1,1,1,75,""
70,313,0,1,1,1,100,""
71,317,0,1,1,1,100,""
72,314,0,1,1,1,175,""
73,318,0,1,1,1,175,""
74,315,0,1,1,1,525,""
75,319,0,1,1,1,525,""
76,320,0,1,1,1,1050,""
77,10346,0,3,"",1,500,""
78,10347,0,3,"",1,500,""
79,10348,0,3,"",1,500,""
80,10349,0,3,"",1,500,""
81,10350,0,3,"",1,1000,""
82,10546,0,3,"",1,1000,""
83,10672,0,2,1,1,75,""
84,10674,0,2,1,1,75,""
85,10678,0,2,1,1,75,""
86,10679,0,2,1,1,100,""
87,10673,0,2,1,1,150,""
88,10677,0,2,1,1,200,""
89,10675,0,2,1,1,375,""
90,10676,0,2,1,1,575,""
91,10680,0,2,1,1,900,""
92,81,15,16,1,1,25,""
93,82,15,16,1,1,35,""
94,83,15,16,1,1,45,""
95,84,15,16,1,1,55,""
96,85,15,16,1,1,65,""
97,86,15,16,1,1,75,""
98,87,15,16,1,1,75,""
99,88,15,17,1,1,25,""
100,89,15,17,1,1,35,""
101,90,15,17,1,1,45,""
102,91,15,17,1,1,55,""
103,92,15,17,1,1,65,""
104,93,15,17,1,1,75,""
105,94,15,17,1,1,75,""
106,95,15,18,1,1,25,""
107,96,15,18,1,1,35,""
108,97,15,18,1,1,45,""
109,98,15,18,1,1,55,""
110,99,15,18,1,1,65,""
111,100,15,18,1,1,75,""
112,101,15,18,1,1,75,""
113,102,15,19,1,1,25,""
114,103,15,19,1,1,35,""
115,104,15,19,1,1,45,""
116,105,15,19,1,1,55,""
117,106,15,19,1,1,65,""
118,107,15,19,1,1,75,""
119,108,15,19,1,1,75,""
120,109,15,20,1,1,35,""
121,110,15,20,1,1,45,""
122,111,15,20,1,1,55,""
123,112,15,20,1,1,65,""
124,113,15,20,1,1,75,""
125,114,15,20,1,1,75,""
126,115,15,21,1,1,35,""
127,116,15,21,1,1,45,""
128,117,15,21,1,1,55,""
129,118,15,21,1,1,65,""
130,119,15,21,1,1,75,""
131,120,15,21,1,1,75,""
132,121,15,22,1,1,35,""
133,122,15,22,1,1,45,""
134,123,15,22,1,1,55,""
135,124,15,22,1,1,65,""
136,125,15,22,1,1,75,""
137,126,15,22,1,1,75,""
138,127,15,23,1,1,35,""
139,128,15,23,1,1,45,""
140,129,15,23,1,1,55,""
141,130,15,23,1,1,65,""
142,131,15,23,1,1,75,""
143,132,15,23,1,1,75,""
144,133,15,24,1,1,45,""
145,134,15,24,1,1,55,""
146,135,15,24,1,1,65,""
147,136,15,24,1,1,75,""
148,137,15,24,1,1,75,""
149,138,15,25,1,1,45,""
150,139,15,25,1,1,55,""
151,140,15,25,1,1,65,""
152,141,15,25,1,1,75,""
153,142,15,25,1,1,75,""
154,143,15,26,1,1,45,""
155,144,15,26,1,1,55,""
156,145,15,26,1,1,65,""
157,146,15,26,1,1,75,""
158,147,15,26,1,1,75,""
159,148,15,27,1,1,45,""
160,149,15,27,1,1,55,""
161,150,15,27,1,1,65,""
162,151,15,27,1,1,75,""
163,152,15,27,1,1,75,""
164,153,15,28,1,1,55,""
165,154,15,28,1,1,65,""
166,155,15,28,1,1,75,""
167,156,15,28,1,1,75,""
168,157,15,29,1,1,55,""
169,158,15,29,1,1,65,""
170,159,15,29,1,1,75,""
171,160,15,29,1,1,75,""
172,161,15,30,1,1,55,""
173,162,15,30,1,1,65,""
174,163,15,30,1,1,75,""
175,164,15,30,1,1,75,""
176,165,15,31,1,1,55,""
177,166,15,31,1,1,65,""
178,167,15,31,1,1,75,""
179,168,15,31,1,1,75,""
180,169,15,32,1,1,65,""
181,170,15,32,1,1,75,""
182,171,15,32,1,1,75,""
183,172,15,33,1,1,65,""
184,173,15,33,1,1,75,""
185,174,15,33,1,1,75,""
186,175,15,34,1,1,65,""
187,176,15,34,1,1,75,""
188,177,15,34,1,1,75,""
189,178,15,35,1,1,65,""
190,179,15,35,1,1,75,""
191,180,15,35,1,1,75,""
192,185,15,36,1,1,75,""
193,181,15,36,1,1,75,""
194,182,15,36,1,1,75,""
195,183,15,36,1,1,75,""
196,184,15,36,1,1,75,""
197,287,55,57,"",1,5,""
198,288,55,57,"",1,10,""
199,289,55,57,"",1,15,""
200,290,55,57,"",1,25,""
201,283,55,57,1,"",5,""
202,284,55,57,1,"",10,""
203,285,55,57,1,"",15,""
204,286,55,57,1,"",25,""
205,250,55,56,1,1,30,""
206,251,55,56,1,1,30,""
207,252,55,56,1,1,30,""
208,253,55,56,1,1,30,""
209,254,55,56,1,1,30,""
210,255,55,56,1,1,30,""
211,256,55,56,1,1,30,""
212,257,55,56,1,1,45,""
213,258,55,56,1,1,45,""
214,259,55,56,1,1,45,""
215,260,55,56,1,1,45,""
216,263,55,56,1,1,45,""
217,264,55,56,1,1,45,""
218,265,55,56,1,1,45,""
219,261,55,56,1,1,45,""
220,262,55,56,1,1,45,""
221,266,55,56,1,1,45,""
222,273,55,56,1,1,100,""
223,274,55,56,1,1,100,""
224,10104,66,67,1,1,75,""
225,10105,66,67,"","",350,""
226,10106,66,67,1,1,125,""
227,10107,66,67,1,1,100,""
228,10108,66,67,1,1,350,""
229,10109,66,67,1,1,350,""
230,10114,66,68,1,1,75,""
231,10115,66,68,1,1,100,""
232,10118,66,68,1,1,100,""
233,10117,66,68,1,1,125,""
234,10116,66,68,"","",125,""
235,10123,66,69,1,1,75,""
236,10124,66,69,1,1,125,""
237,10125,66,69,1,1,350,""
238,10134,66,70,1,1,75,""
239,10136,66,70,1,1,125,""
240,10135,66,70,1,1,100,""
241,10137,66,70,"","",350,""
242,10146,66,71,1,1,75,""
243,10147,66,71,1,1,75,""
244,10149,66,71,1,1,125,""
245,10148,66,71,1,1,100,""
246,10154,66,72,1,1,75,""
247,10155,66,72,"","",100,""
248,10156,66,72,1,1,125,""
249,10161,66,73,"",1,75,""
250,10163,66,73,"",1,125,""
251,10162,66,73,"",1,125,""
252,10168,66,74,1,1,75,""
253,10169,66,74,1,1,100,""
254,10170,66,74,"","",100,""
255,10171,66,74,1,1,125,""
256,10176,66,75,1,1,75,""
257,10177,66,75,1,1,100,""
258,10178,66,75,1,1,100,""
259,10179,66,75,1,1,350,""
260,10180,66,75,1,1,125,""
261,10185,66,76,1,1,75,""
262,10186,66,76,1,1,100,""
263,10188,66,76,1,1,125,""
264,10187,66,76,1,1,125,""
265,10193,66,77,1,1,75,""
266,10194,66,77,1,1,100,""
267,10195,66,77,1,1,100,""
268,10197,66,77,1,1,125,""
269,10196,66,77,"","",350,""
270,10202,66,78,1,1,75,""
271,10203,66,78,1,1,125,""
272,10204,66,78,1,1,125,""
273,10205,66,78,"","",350,""
274,10206,66,78,1,1,350,""
275,10219,66,79,1,1,75,""
276,10220,66,79,1,1,100,""
277,10221,66,79,1,1,125,""
278,10222,66,79,"","",125,""
279,10223,66,79,1,1,350,""
280,10224,66,80,1,1,75,""
