"rownum","string","string"
0,"Currency","Currency"
1,"CurrencyEldritch","Eldritch Currency"
2,"CurrencyTainted","Tainted Currency"
3,"CurrencyInfluenced","Influenced Currency"
4,"CurrencyQuality","Quality Currency"
5,"Shards","Currency Shards"
6,"Fragments","Fragments"
7,"FragmentsAtziri","Atziri & Uber Atziri"
8,"FragmentsShaper","Shaper"
9,"FragmentsElder","Elder & Uber Elder"
10,"FragmentsSirus","Awakener"
11,"FragmentsLabyrinth","The Labyrinth"
12,"FragmentsMaven","Maven"
13,"FragmentsRitual","Ritual Fragments"
14,"DeliriumOrbs","Delirium Orbs"
15,"Essences","Essences"
16,"EssencesHatred","Hatred Essences"
17,"EssencesWoe","Woe Essences"
18,"EssencesGreed","Greed Essences"
19,"EssencesContempt","Contempt Essences"
20,"EssencesSorrow","Sorrow Essences"
21,"EssencesAnger","Anger Essences"
22,"EssencesTorment","Torment Essences"
23,"EssencesFear","Fear Essences"
24,"EssencesSuffering","Suffering Essences"
25,"EssencesRage","Rage Essences"
26,"EssencesWrath","Wrath Essences"
27,"EssencesDoubt","Doubt Essences"
28,"EssencesAnguish","Anguish Essences"
29,"EssencesLoathing","Loathing Essences"
30,"EssencesSpite","Spite Essences"
31,"EssenceZeal","Zeal Essences"
32,"EssencesMisery","Misery Essences"
33,"EssencesDread","Dread Essences"
34,"EssencesScorn","Scorn Essences"
35,"EssencesEnvy","Envy Essences"
36,"EssencesSpecial","Special Essences"
37,"Breach","Breach"
38,"BreachSplinters","Breach Splinters"
39,"BreachFragmentXoph","Xoph Breachstones"
40,"BreachFragmentTul","Tul Breachstones"
41,"BreachFragmentEsh","Esh Breachstones"
42,"BreachFragmentUulNetol","Uul-Netol Breachstones"
43,"BreachFragmentChayula","Chayula Breachstones"
44,"BreachBlessings","Breach Blessings"
45,"Legion","Legion"
46,"LegionKarui","Karui Legion Fragments"
47,"LegionEternal","Eternal Empire Legion Fragments"
48,"LegionMaraketh","Maraketh Legion Fragments"
49,"LegionTemplar","Templar Legion Fragments"
50,"LegionVaal","Vaal Legion Fragments"
51,"LegionSplinters","Legion Splinters"
52,"LegionFragments","Legion Emblems"
53,"Delirium","Delirium"
54,"DeliriumSplinters","Simulacrum"
55,"Delve","Delve"
56,"DelveFossils","Fossils"
57,"DelveResonators","Resonators"
58,"DivinationCards","Divination Cards"
59,"DivinationCardsWeaponsArmour","Divination Cards Rewarding Weapons or Armour"
60,"DivinationCardsJewelleryJewels","Divination Cards Rewarding Jewellery or Jewels"
61,"DivinationCardsCurrency","Divination Cards Rewarding Currency"
62,"DivinationCardsGems","Divination Cards Rewarding Gems"
63,"DivinationCardsMapsFragments","Divination Cards Rewarding Maps or Fragments"
64,"DivinationCardsFlasks","Divination Cards Rewarding Flasks"
65,"DivinationCardsMisc","Other Divination Cards"
66,"Scarabs","Scarabs"
67,"ScarabsBreach","Breach Scarabs"
68,"ScarabsMaps","Cartography Scarabs"
69,"ScarabsUniques","Titanic Scarabs"
70,"ScarabsBeasts","Bestiary Scarabs"
71,"ScarabsInfluence","Influence Scarabs"
72,"ScarabsSulphite","Sulphite Scarabs"
73,"ScarabsDivination","Divination Scarabs"
74,"ScarabsTorment","Torment Scarabs"
75,"ScarabsStrongbox","Ambush Scarabs"
76,"ScarabsHarbinger","Harbinger Scarabs"
77,"ScarabsExpedition","Expedition Scarabs"
78,"ScarabsLegion","Legion Scarabs"
79,"ScarabsAbyss","Abyss Scarabs"
80,"ScarabsAnarchy","Anarchy Scarabs"
81,"ScarabsEssence","Essence Scarabs"
82,"ScarabsDomination","Domination Scarabs"
83,"ScarabsRitual","Ritual Scarabs"
84,"ScarabsHarvest","Harvest Scarabs"
85,"ScarabsIncursion","Incursion Scarabs"
86,"ScarabsBetrayal","Betrayal Scarabs"
87,"ScarabsBeyond","Beyond Scarabs"
88,"ScarabsUltimatum","Ultimatum Scarabs"
89,"ScarabsDelirium","Delirium Scarabs"
90,"ScarabsBlight","Blight Scarabs"
91,"ScarabsMisc","Misc. Scarabs"
92,"ScarabsUber","Horned Scarabs"
93,"Blight","Oils"
94,"Ultimatum","Catalysts"
95,"Expedition","Expedition"
96,"ScoutingReports","Scouting Reports"
97,"Harvest","Lifeforce"
98,"Omens","Omens"
99,"Tattoos","Tattoos"
100,"TattoosDex","Dexterity Tattoos"
101,"TattoosStr","Strength Tattoos"
102,"TattoosInt","Intelligence Tattoos"
103,"Kalguur","Runecrafting"
104,"Popular","Popular"
105,"Owned","Owned"
