"rownum","string","i32","[rid]"
0,"absolution_blast",0,[4948]
1,"flame_golem",-3,[8207]
2,"flame_golem",-2,[7224]
3,"flame_golem",-1,[3861]
4,"flame_golem",0,[3860]
5,"flame_golem",1,[3862]
6,"flame_golem_monster",1,[3873]
7,"lightning_golem",-3,[8209]
8,"lightning_golem",-2,[7226]
9,"lightning_golem",-1,[3892]
10,"lightning_golem",0,[3887]
11,"lightning_golem",1,[3888]
12,"ice_golem_monster",1,[3851]
13,"ice_golem",-3,[8206]
14,"ice_golem",-2,[7223]
15,"ice_golem",-1,[3849]
16,"ice_golem",0,[3847]
17,"ice_golem",1,[3848]
18,"stone_golem",-3,[8210]
19,"stone_golem",-2,[7227]
20,"stone_golem",-1,[4133]
21,"stone_golem",0,[4132]
22,"chaos_golem_monster",1,[3655]
23,"chaos_golem",-3,[8208]
24,"chaos_golem",-2,[7225]
25,"chaos_golem",-1,[3885]
26,"chaos_golem",0,[3883]
27,"bone_golem",0,[7196]
28,"bone_golem",1,[7538]
29,"bone_golem",2,[7906]
30,"bone_golem",3,[7918]
31,"agony_crawler",0,[6282]
32,"agony_crawler",1,[6282]
33,"agony_crawler",2,[6282]
34,"agony_crawler",3,[6282]
35,"agony_crawler",4,[6282]
36,"agony_crawler",5,[6282]
37,"agony_crawler",6,[6282]
38,"agony_crawler",7,[6282]
39,"agony_crawler",8,[6282]
40,"agony_crawler",9,[6282]
41,"agony_crawler",10,[6447]
42,"agony_crawler",11,[6284]
43,"agony_crawler",12,[6283]
44,"agony_crawler",13,[6731]
45,"agony_crawler",14,[6885]
46,"agony_crawler",15,[7253]
47,"agony_crawler",16,[7536]
48,"agony_crawler",17,[7539]
49,"agony_crawler",18,[7732]
50,"agony_crawler",19,[7904]
51,"agony_crawler",20,[7950]
52,"purity_champion",0,[1156]
53,"purity_champion",1,[1156]
54,"purity_champion",2,[1156]
55,"purity_champion",3,[1156]
56,"purity_champion",4,[1156]
57,"purity_champion",5,[1156]
58,"purity_champion",6,[1156]
59,"purity_champion",7,[1156]
60,"purity_champion",8,[1156]
61,"purity_champion",9,[1156]
62,"purity_champion",10,[6448]
63,"purity_champion",11,[1157]
64,"purity_champion",12,[1158]
65,"purity_champion",13,[6732]
66,"purity_champion",14,[6886]
67,"purity_champion",15,[7254]
68,"purity_champion",16,[7537]
69,"purity_champion",17,[7540]
70,"purity_champion",18,[7733]
71,"purity_champion",19,[7905]
72,"purity_champion",20,[7951]
