"rownum","BetrayalDialogueCueKey","i32","i32","i32","i32","i32","[i32]","rid","i32","rid","[rid]","rid","bool","[i32]","[rid]","bool","[i32]","rid","[rid]"
0,4,0,0,0,0,0,[],"",10,"",[],"","",[],[],1,[9],2292,[]
1,4,0,0,0,0,1,[],"",100,1,[],"","",[],[],"",[],2293,[]
2,4,0,0,0,0,2,[],"",100,2,[],"","",[],[],"",[],2294,[]
3,4,0,0,0,0,3,[],"",100,4,[],"","",[],[],"",[],2295,[]
4,4,0,0,0,0,4,[],"",100,3,[],"","",[],[],"",[],2296,[]
5,4,0,0,0,0,5,[1],"",300,"",[],"","",[],[],"",[],2297,[]
6,4,0,0,0,0,6,[3],"",300,"",[],"","",[],[],"",[],2298,[]
7,4,0,0,0,0,7,[5],"",300,"",[],"","",[],[],"",[],2299,[]
8,4,0,0,0,0,8,[6],"",300,"",[],"","",[],[],"",[],2300,[]
9,4,0,0,0,0,9,"[2,4]","",300,"",[],"","",[],[],"",[],2301,[]
10,4,0,0,0,0,10,[],"",100,"",[],24,"",[],[],"",[],2302,[]
11,4,0,0,0,0,11,[],"",100,"",[],14,"",[],[],"",[],2303,[]
12,4,0,0,0,0,12,[],"",100,"",[],9,"",[],[],"",[],2304,[]
13,4,0,0,0,0,13,[],"",100,"",[],5,"",[],[],"",[],2305,[]
14,4,0,0,0,0,14,[],"",100,"",[],16,"",[],[],"",[],2306,[]
15,4,0,0,0,13,0,[],"",10,"",[],"","",[],[],1,[],2307,[]
16,4,0,0,0,1,0,[],"",100,1,"[1,2]","","",[],[],"",[],2308,[]
17,4,0,0,0,1,1,[],"",100,2,"[1,2]","","",[],[],"",[],2309,[]
18,4,0,0,0,1,2,[],"",100,4,"[1,2]","","",[],[],"",[],2310,[]
19,4,0,0,0,1,3,[],"",100,3,"[1,2]","","",[],[],"",[],2311,[]
20,4,0,0,0,1,4,[],"",100,"","[1,2]","","",[],[],"",[],2312,[]
21,4,0,0,0,1,5,[],"",100,"","[1,2]","","",[],[],"",[],2313,[]
22,4,0,0,0,1,6,[],1,1000,"","[1,2]","","",[],[],1,[],2314,[]
23,4,0,0,0,1,7,[],3,1000,"","[1,2]","","",[],[],1,[],2315,[]
24,4,0,0,0,1,8,[],5,1000,"","[1,2]","","",[],[],1,[],2316,[]
25,4,0,0,0,1,9,[],8,1000,"","[1,2]","","",[],[],1,[],2317,[]
26,4,0,0,0,1,10,[],12,1000,"","[1,2]","","",[],[],1,[],2318,[]
27,4,0,0,0,1,11,[],"",100,"","[1,2]","","",[],[],"",[],2319,[]
28,4,0,0,0,1,12,[],"",100,1,[0],"","",[],[],"",[],2320,[]
29,4,0,0,0,1,13,[],"",100,2,[0],"","",[],[],"",[],2321,[]
30,4,0,0,0,1,14,[],"",100,4,[0],"","",[],[],"",[],2322,[]
31,4,0,0,0,1,15,[],"",100,3,[0],"","",[],[],"",[],2323,[]
32,4,0,0,0,1,16,[],3,1000,"",[0],"","",[],[],1,[],2324,[]
33,4,0,0,0,1,17,[],5,1000,"",[0],"","",[],[],1,[],2325,[]
34,4,0,0,0,1,18,[],8,1000,"",[0],"","",[],[],1,[],2326,[]
35,4,0,0,0,1,19,[],13,1000,"",[0],"","",[],[],1,[],2327,[]
36,4,0,0,0,1,20,[],14,1000,"",[0],"","",[],[],1,[],2328,[]
37,4,0,0,0,1,21,[],"",100,"",[0],"","",[],[],"",[],2329,[]
38,4,0,0,0,2,0,[],"",100,1,[0],"","",[],[],"",[],2330,[]
39,4,0,0,0,2,1,[],"",100,2,[0],"","",[],[],"",[],2331,[]
40,4,0,0,0,2,2,[],"",100,4,[0],"","",[],[],"",[],2332,[]
41,4,0,0,0,2,3,[],"",100,3,[0],"","",[],[],"",[],2333,[]
42,4,0,0,0,2,4,[],7,1000,"",[0],"","",[],[],1,[],2334,[]
43,4,0,0,0,2,5,[],3,1000,"",[0],"","",[],[],1,[],2335,[]
44,4,0,0,0,2,6,[],10,1000,"",[0],"","",[],[],1,[],2336,[]
45,4,0,0,0,2,7,[],6,1000,"",[0],"","",[],[],1,[],2337,[]
46,4,0,0,0,2,8,[],17,1000,"",[0],"","",[],[],1,[],2338,[]
47,4,0,0,0,2,9,[],"",100,"",[0],"","",[],[],"",[],2339,[]
48,4,0,0,0,1,22,[7],"",100,1,[],"","",[],[],"",[],2340,[]
49,4,0,0,0,1,23,[7],"",100,2,[],"","",[],[],"",[],2341,[]
50,4,0,0,0,1,24,[7],"",100,4,[],"","",[],[],"",[],2342,[]
51,4,0,0,0,1,25,[7],"",100,3,[],"","",[],[],"",[],2343,[]
52,4,0,0,0,1,26,[7],7,1000,"",[],"","",[],[],1,[],2344,[]
53,4,0,0,0,1,27,[7],3,1000,"",[],"","",[],[],1,[],2345,[]
54,4,0,0,0,1,28,[7],8,1000,"",[],"","",[],[],1,[],2346,[]
55,4,0,0,0,1,29,[7],13,1000,"",[],"","",[],[],1,[],2347,[]
56,4,0,0,0,1,30,[7],14,1000,"",[],"","",[],[],1,[],2348,[]
57,4,0,0,0,1,31,[7],"",100,"",[],"","",[],[],"",[],2349,[]
58,4,0,0,0,3,0,[],"",100,1,[],"","",[],[],"",[],2350,[]
59,4,0,0,0,3,1,[],"",100,2,[],"","",[],[],"",[],2351,[]
60,4,0,0,0,3,2,[],"",100,4,[],"","",[],[],"",[],2352,[]
61,4,0,0,0,3,3,[],"",100,3,[],"","",[],[],"",[],2353,[]
