"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile"
0,"ExtraBoss",3733,"",[],""
1,"HardBoss",4118,"",[],""
2,"Lieutenants1_Bull",4197,"",[],""
3,"Lieutenants2_Bull",4200,655,"[500,667]",""
4,"Lieutenants1_Ranged",4195,"",[],""
5,"Lieutenants2_Ranged",4198,655,"[500,667]",""
6,"Lieutenants1_Melee",4196,"",[],""
7,"Lieutenants2_Melee",4199,655,"[500,667]",""
8,"PowerSymbols1_Physical","",543,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol1.ot"
9,"PowerSymbols1_Fire","",537,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol2.ot"
10,"PowerSymbols1_Cold","",539,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol3.ot"
11,"PowerSymbols1_Lightning","",541,"[20,-25]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerSymbol4.ot"
12,"PowerSymbols2_Physical","",544,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad1.ot"
13,"PowerSymbols2_Fire","",538,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad2.ot"
14,"PowerSymbols2_Cold","",540,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad3.ot"
15,"PowerSymbols2_Lightning","",542,"[40,-50,500,400]","Metadata/Terrain/Labyrinth/Objects/PowerSymbols/PowerDoodad4.ot"
16,"ToggleStatuesNormal_Fire","",545,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
17,"ToggleStatuesNormal_Cold","",547,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
18,"ToggleStatuesNormal_Lightning","",549,"[15,-20,10]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
19,"ToggleStatuesNormal_Fire2","",546,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
20,"ToggleStatuesNormal_Cold2","",548,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
21,"ToggleStatuesNormal_Lightning2","",550,"[15,-20,10,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
22,"ToggleStatuesCruel_Fire","",545,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
23,"ToggleStatuesCruel_Cold","",547,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
24,"ToggleStatuesCruel_Lightning","",549,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
25,"ToggleStatuesCruel_Fire2","",546,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
26,"ToggleStatuesCruel_Cold2","",548,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
27,"ToggleStatuesCruel_Lightning2","",550,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
28,"ToggleStatuesMerciless_Fire","",545,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
29,"ToggleStatuesMerciless_Cold","",547,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
30,"ToggleStatuesMerciless_Lightning","",549,"[20,-20,20]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
31,"ToggleStatuesMerciless_Fire2","",546,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
32,"ToggleStatuesMerciless_Cold2","",548,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
33,"ToggleStatuesMerciless_Lightning2","",550,"[20,-20,20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
34,"ToggleStatuesEndgame_Fire","",545,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot"
35,"ToggleStatuesEndgame_Cold","",547,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot"
36,"ToggleStatuesEndgame_Lightning","",549,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot"
37,"ToggleStatuesEndgame_Fire2","",546,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
38,"ToggleStatuesEndgame_Cold2","",548,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
39,"ToggleStatuesEndgame_Lightning2","",550,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
40,"PowerPylonsCruel_Vulnerability",4385,"",[],""
41,"PowerPylonsCruel_TempChains",4383,"",[],""
42,"PowerPylonsCruel_EleWeakness",4387,"",[],""
43,"PowerPylonsCruel_Vulnerability2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
44,"PowerPylonsCruel_TempChains2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
45,"PowerPylonsCruel_EleWeakness2","",655,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
46,"PowerPylonsMerciless_Vulnerability",4384,"",[],""
