"rownum","string","[rid]","[rid]","[rid]","[rid]","[string]","[rid]","[i32]","[rid]","string","i32","i32","[rid]","[rid]","[rid]"
0,"global_auras",[],[],[],[],"[""Default"",""Archon"",""Imp"",""Carnage"",""Trinity"",""SoulNexus"",""ForceField"",""ArcticSkull"",""LightningSkull"",""InfernalSkull"",""Corsair"",""Betrayal"",""Mystic"",""Lava"",""Stygian"",""Celestial"",""Celestial_Tencent1"",""Celestial_Tencent2"",""Celestial_Tencent3"",""Huntsman"",""Madcap"",""Plated"",""Dragon"",""DragonBlue"",""Illusionist"",""Legion"",""Wrangler"",""Wild"",""Lich"",""Harlequin"",""CorruptedEmperor"",""Ringmaster"",""Black"",""White"",""Dragon_Hunter"",""Balefire"",""Dark_Magic"",""Scientist"",""Project"",""Angelic"",""Demonic"",""FrostViking"",""Sunrise"",""Nightfall"",""Darkwood"",""EthercraftSavage"",""EthercraftEnraged"",""EthercraftTranquil"",""EthercraftChaotic"",""DualDragon"",""Misery"",""Suffering"",""Sun"",""Lightbringer"",""Darkshard"",""Merchant"",""Scavenger"",""Overseer""]",[0],"[18079,842,14646,60842,33608,37998,19034,44108,43340,36671,51220,44880,45462,43749,39541,27572,46439,46436,46437,10526,59045,33232,25624,63772,54759,24373,13661,28806,56631,15800,7859,25284,25619,15971,13085,23387,50237,64816,55295,36925,61278,36735,53117,57192,12926,65156,54226,1322,49284,27394,32478,2790,34292,55723,35955,40677,46158,5427]",[],"愀氀",0,0,[],[],[]
1,"anger",[0],[],[],[],"[""Default"",""Alternate"",""Talisman""]",[57],"[18079,25075,50744]",[],"愀氀",0,0,[],[155],[]
2,"hatred",[1],[],[],[],"[""Default"",""Alternate"",""Talisman"",""SmallTalisman""]",[60],"[18079,25075,50744,23449]",[],"愀氀",0,0,[],"[156,157]",[]
3,"wrath",[3],[],[],[],"[""Default"",""Alternate"",""Talisman""]",[64],"[18079,25075,50744]",[],"愀氀",0,0,[],"[158,1114]",[]
4,"haste",[4],[],[],[],"[""Default"",""Alternate"",""Wandering""]",[67],"[18079,25075,11702]",[],"愀氀",0,0,[],"[143,1113]",[]
5,"default_ranged",[],[],[],[],[],[],[],[0],"",0,0,[],"[57,58]",[]
6,"steelskin",[5],[],"[0,3]",[],"[""Default"",""Maven"",""Stygian""]",[70],"[18079,1353,39541]",[],"愀氀",0,0,[],"[1178,1309]",[]
7,"cremation","[8,16,24]",[],[],[],"[""Default"",""Elder"",""Abyss"",""Gore"",""Quicksilver"",""Darkwood"",""VaalOrb"",""VoidEmperor""]",[],"[18079,18332,37812,63064,7534,12926,3918,48015]",[35],"愀氀",0,0,[],"[953,954]",[]
8,"consecrated_path","[32,36,40,44,48,52]",[],[],[],"[""Default"",""Elreon"",""Stygian"",""Celestial""]",[],"[18079,49177,39541,27572]",[],"愀氀",0,0,[],[1079],[]
9,"divine_cry",[56],[0],"[6,7]",[],"[""Default"",""UNUSED"",""Celestial"",""Wolf""]",[],"[18079,64124,27572,45252]",[],"愀氀",0,0,[],[1326],[]
10,"absolution_blast","[59,61,63,65]",[],[],[],"[""Default"",""DefaultMinion""]",[],"[18079,43854]",[],"愀氀",0,0,[0],[1327],[]
11,"ignite",[],[],[],[],"[""Default"",""White"",""Ghostfire"",""Blue"",""Stygian"",""Corsair"",""Blackflame"",""Holy"",""Empyrean"",""PolarisWhite"",""PolarisBlack"",""Glimmerwood"",""Demonic"",""Nightfall"",""BlackflameUnique"",""StygianHoly"",""Celestial"",""CelestialConsecratedPath"",""VoidEmperor"",""Mystic""]",[73],"[18079,15971,49596,52194,39541,51220,37683,27667,17735,41774,36530,61967,61278,57192,20329,739,27572,56350,48015,45462]",[],"ark",0,0,[],[],[]
12,"shock",[],[],[],[],"[""Default"",""Purple"",""Divine"",""Red"",""Empyrean"",""Green"",""Stygian"",""Celestial""]",[93],"[18079,19343,29263,16806,17735,15240,39541,27572]",[],"",0,0,[],[],[]
13,"exposure",[],[],[],[],"[""Default"",""Stygian"",""Celestial""]","[102,101,103]","[18079,39541,27572]",[],"䔀洀瀀礀爀攀愀渀",0,0,[],[],[]
14,"soulfeast","[67,68]",[],[22],[],"[""Default""]",[],[18079],"[43,44,45,46]","愀氀",0,0,[],[1330],[]
15,"mana_void","[69,70,71,72,73,74,75,76,77,78,79]",[],[],[],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1331],[]
16,"storm_rain","[80,81,82]",[3],[],[0],"[""Default""]",[],[18079],[],"愀氀",0,0,[],[1332],[]
17,"igniting_flask","[83,84,86,87,89,85,86,88,89,90,92,93,95,91,92,94,95]",[],"[16,17]",[],"[""Default""]",[],[18079],[47],"愀氀",0,0,[],[1339],[]
18,"infernal_blow","[96,97]",[],[],[],"[""Default"",""Stygian""]","[110,112,114]","[18079,39541]",[],"愀氀",0,0,[],[75],[]
19,"smoke_mine",[100],[],[],[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],"愀氀",0,0,[],[236],[]
20,"chain_hook","[103,105,107,109]",[4],"[8,10]",[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],"愀氀",0,0,[],[1186],[]
