"rownum","Id","Name","Metadata","i32","NPCMasterKey","ShortName","i32","NPCShopKey","NPCAudioKeys1","NPCAudioKeys2","i32","i32","rid","rid","i32"
0,"Metadata/NPC/Act1/Tarkleigh","Tarkleigh","Metadata/NPC/NPC",2565,"","",1,0,[0],[1],18329,-16843010,"","",-16843010
1,"Metadata/NPC/Act1/Nessa","Nessa","Metadata/NPC/NPC",2565,"","",1,11,[2],[3],16035,-16843010,"","",-16843010
2,"Metadata/NPC/Act1/Bestel","Bestel","Metadata/NPC/NPC",2565,"","",1,"",[4],[],56488,-16843010,"","",-16843010
3,"Metadata/NPC/Act1/Doorman","Doorman","Metadata/NPC/NPC",2565,"","",1,"",[],[],31831,-16843010,"","",-16843010
4,"Metadata/NPC/Act1/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC",2565,"","Fairgraves",1,"",[],[5],39720,-16843010,"","",-16843010
5,"Metadata/Monsters/Skeletons/SkeletonBossFairgraves","Captain Fairgraves","Metadata/Monsters/Skeletons/SkeletonBossEmerge",2565,"","Fairgraves",0,"",[],[],47303,-16843010,"","",-16843010
6,"Metadata/NPC/Act1/WoundedExile","Dying Exile","Metadata/NPC/NPC",2565,"","",1,"",[],[],48620,-16843010,"","",-16843010
7,"Metadata/NPC/Act1/Brutus","Brutus, the Warden","Metadata/NPC/NPC",2565,"","Brutus",1,"",[],[],45035,-16843010,"","",-16843010
8,"Metadata/NPC/Act1/Merveil","Merveil","Metadata/NPC/NPC",2565,"","",1,"",[],[],20647,-16843010,"","",-16843010
9,"Metadata/NPC/Act2/Eramir","Eramir","Metadata/NPC/NPC",2565,"","",2,"",[6],[7],5275,-16843010,"","",-16843010
10,"Metadata/NPC/Act2/Yeena","Yeena","Metadata/NPC/NPC",2565,"","",2,12,[8],[9],66,-16843010,"","",-16843010
11,"Metadata/NPC/Act2/Greust","Greust","Metadata/NPC/NPC",2565,"","",2,1,[10],[11],60311,-16843010,"","",-16843010
12,"Metadata/NPC/Act2/Silk","Silk","Metadata/NPC/NPC",2565,"","",2,"",[12],[],60264,-16843010,"","",-16843010
13,"Metadata/Monsters/BanditLeaderInt/BanditLeaderInt","Alira","Metadata/NPC/NPC",2565,"","",2,"",[],[],64364,-16843010,"","",-16843010
14,"Metadata/Monsters/BanditLeaderDexInt/BanditLeaderDexInt","Kraityn","Metadata/NPC/NPC",2565,"","",2,"",[],[],26782,-16843010,"","",-16843010
15,"Metadata/Monsters/BanditLeaderStrDex/BanditLeaderStrDex","Oak","Metadata/NPC/NPC",2565,"","",2,"",[],[],21003,-16843010,"","",-16843010
16,"Metadata/NPC/Act3/Hargan","Hargan","Metadata/NPC/NPC",2565,"","",3,2,[14],[15],54708,-16843010,"","",-16843010
17,"Metadata/NPC/Act3/Dialla","Lady Dialla","Metadata/NPC/NPC",2565,"","Dialla",3,"",[16],[17],12298,-16843010,"","",-16843010
18,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Metadata/NPC/NPC",2565,"","Dialla",3,"",[16],[],1838,-16843010,"","",-16843010
