"rownum","BaseItemTypesKey","bool"
0,16,""
1,0,""
2,2,""
3,10,""
4,17,""
5,25,""
6,26,""
7,27,""
8,28,""
9,205,""
10,206,""
11,207,""
12,208,""
13,209,""
14,210,""
15,211,""
16,212,""
17,213,""
18,214,""
19,11,""
20,12,""
21,7,""
22,8,""
23,20,""
24,21,""
25,9,1
26,13,1
27,24,1
28,38,1
29,37,1
30,19,1
31,22,""
32,5430,1
33,199,1
34,5396,1
35,5397,1
36,5398,1
37,5399,1
38,5400,1
39,5401,1
40,5403,1
41,5402,1
42,5441,1
43,5442,1
44,5443,1
45,5444,1
46,5445,1
47,5446,1
48,5447,1
49,5448,1
50,5449,1
51,5450,1
52,5451,1
53,5452,1
54,5453,1
55,5454,1
56,5455,1
57,5456,1
