"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","LoadingScreen_DDSFile","i32","[i32]","i32","TopologiesKeys","ParentTown_WorldAreasKey","i32","i32","i32","Bosses_MonsterVarietiesKeys","Monsters_MonsterVarietiesKeys","SpawnWeight_TagsKeys","SpawnWeight_Values","IsMapArea","FullClear_AchievementItemsKeys","rid","i32","AchievementItemsKey","ModsKeys","i32","i32","VaalArea_WorldAreasKeys","VaalArea_SpawnChance","Strongbox_SpawnChance","Strongbox_MaxCount","Strongbox_RarityWeight","bool","i32","MaxLevel","AreaType_TagsKeys","i32","i32","IsHideout","i32","i32","i32","i32","Inflection","i32","i32","i32","TagsKeys","IsVaalArea","i32","i32","i32","IsLabyrinthAirlock","IsLabyrinthArea","TwinnedFullClear_AchievementItemsKey","Enter_AchievementItemsKey","i32","i32","i32","TSIFile","rid","i32","i32","i32","WaypointActivation_AchievementItemsKeys","IsUniqueMapArea","IsLabyrinthBossArea","i32","i32","FirstEntry_NPCTextAudioKey","FirstEntry_SoundEffectsKey","FirstEntry_NPCsKey","i32","i32","i32","i32","i32","i32","EnvironmentsKey","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","bool","i32","bool","i32","i32","i32","i32","i32","i32","MetamorphChance","DeliriumChance","HarvestChance","HeistChance","RitualChance","[rid]","UltimatumChance","ExpeditionChance"
0,"NULL","NULL",1,"","",[],0,9693,10,10,"",2565,[],6,[],"",900,2565,2565,[],[],[],[],"",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[],0,0,"",0,0,0,0,"",10000,5000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,15,0,0,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
1,"1_1_town","Lioneye's Watch",1,1,1,"[2,3]",13,9052,0,0,"Art/Textures/Interface/LoadingImages/LionEyesWatch.dds",125,[1],32,[3],"",480,2565,2565,[],[],[],[],"",[],"",0,"",[],200,0,[],0,0,0,[],1,0,100,[],0,0,"",0,0,0,0,"",7000,4000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"",119,"",0,0,0,0,1,0,28,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
2,"1_1_1","The Twilight Strand",1,"","",[1],1,61450,0,0,"Art/Textures/Interface/LoadingImages/Act1.dds",124,[],6,"[0,1,2]",1,90,2565,2565,[976],[],[],[],"",[],"",0,"",[10877],0,0,[],0,0,0,[],"",0,100,[],0,0,"",0,0,0,0,"",7000,4000,0,"[159,169]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,2,0,2,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
3,"1_1_2","The Coast",1,"",1,"[1,5,4]",2,31442,0,0,"Art/Textures/Interface/LoadingImages/Act1.dds",126,[1],6,"[4,5,6,7,8,9,10,11,12]",1,900,2565,2565,[2393],[],[],[],"",[],"",0,"",[],0,0,"[165,164,169]",0,0,0,"[10,90,0,0]","",100,100,[90],0,12,"",0,0,0,0,"",7000,4000,20,[169],"",80,20,0,"","","","",80,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,92,0,2,0,5,60,0,0,0,10000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
4,"1_1_2a","The Tidal Island",1,"","",[3],3,61641,0,3,"Art/Textures/Interface/LoadingImages/Act1.dds",127,[1],6,"[13,14,15,16,17,18,19,20,21,22,23,24,25,26,27]",1,480,2565,2565,[2432],[],[],[],"",[],"",0,"",[],0,0,"[164,165]",0,0,0,"[10,90,0,0]","",100,100,[90],0,12,"",0,0,0,0,"",7000,4000,25,[169],"",40,20,0,"","","","",40,0,10,"","",0,0,0,[],"","",0,0,"","","",0,0,69,0,2,0,7,30,0,0,0,8500,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
5,"1_1_3","The Mud Flats",1,"","","[3,8,6]",4,49149,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",31,[1],6,"[28,29,30,31,32,33,34]",1,900,2565,2565,[411],[],[],[],"",[],"",20,"",[],0,0,"[164,166]",0,0,0,"[10,90,0,0]","",100,100,[90],0,15,"",0,0,0,0,"",7000,4000,30,[169],"",80,20,10,"","","","",80,20,15,"","",0,0,0,[],"","",0,0,"","","",0,0,92,0,2,0,8,60,15,0,0,20000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
6,"1_1_3a","The Fetid Pool",1,"","",[5],5,56912,10,5,"Art/Textures/Interface/LoadingImages/Act1.dds",128,[1],6,"[35,36,37,38]",1,480,228,226,[383],[],[],[],"",[],"",0,"",[],0,0,[164],0,0,0,"[10,90,0,0]","",100,100,[90],0,15,"",0,0,0,0,"",7000,4000,35,"[169,386]","",40,20,0,"","","","",40,20,15,"","",0,0,0,[],"","",0,0,"","","",0,0,92,0,2,0,9,30,15,0,0,10000,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
7,"1_1_4_0","The Flooded Depths",1,"","",[8],6,7020,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",129,[25],6,"[39,40,41,42]",1,480,2565,2565,[481],"[434,443]",[],[],"",[],"",20,"",[],0,0,[164],0,0,0,"[30,60,10,0]","",100,100,[90],0,15,"",0,0,0,0,"",6000,4000,40,"[61,169,385,397]","",80,20,10,"","","","",80,20,20,"","",0,0,0,[],"","",13,0,"","","",0,0,92,0,2,0,10,60,15,0,0,7500,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
8,"1_1_4_1","The Submerged Passage",1,"",1,"[5,9,7]",5,12917,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",28,[25],6,"[43,44,45,46,47,48]",1,900,2565,2565,[466],[434],[],[],"",[],"",20,"",[],0,0,[165],0,0,0,"[30,60,10,0]","",100,100,[90],0,15,"",0,0,0,0,"",6000,4000,50,"[61,169,385,397]","",80,20,15,"","","","",80,20,20,"","",0,0,0,[],"","",13,0,"","","",0,0,92,0,2,0,12,60,15,0,0,18000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
9,"1_1_5","The Ledge",1,"",1,"[8,10]",6,33279,0,4,"Art/Textures/Interface/LoadingImages/Act1.dds",4,[25],6,"[49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64]",1,480,2565,2565,[870],[],[],[],"",[],"",15,"",[],0,0,[167],0,0,0,"[30,60,10,0]","",100,100,[92],0,15,"",0,0,0,0,"",7000,4000,50,[169],"",80,20,40,"","","","",80,20,80,"","",33,0,0,[],"","",13,0,"","","",0,0,92,0,2,0,14,60,15,0,0,25000,"",0,0,0,0,0,"",100,1,41,0,0,0,0,0,0,0,0,0,0,[],100,100
